# event_ticker=KXATPCHALLENGERMATCH-26APR30FOMREH
# final_score=6-2 6-0
# match_winner=Max Hans Rehberg
# fav_player=Max Hans Rehberg
# dog_player=Sergey Fomin
# kalshi_date=2026-04-30
timestamp,Sergey Fomin,Max Hans Rehberg
2026-04-29T17:39:00Z,,68.00
2026-04-29T17:53:00Z,33.00,68.00
2026-04-29T18:18:00Z,34.00,68.00
2026-04-29T18:19:00Z,34.00,68.00
2026-04-29T18:23:00Z,33.00,68.00
2026-04-29T18:24:00Z,34.00,68.00
2026-04-29T18:39:00Z,34.00,68.00
2026-04-29T19:17:00Z,34.00,68.00
2026-04-29T19:57:00Z,33.00,68.00
2026-04-29T20:27:00Z,33.00,68.00
2026-04-29T20:33:00Z,33.00,68.00
2026-04-29T20:36:00Z,33.85,68.00
2026-04-29T21:01:00Z,34.00,68.00
2026-04-29T21:02:00Z,34.00,66.00
2026-04-29T21:14:00Z,34.00,64.00
2026-04-29T21:46:00Z,37.00,64.00
2026-04-29T21:54:00Z,37.00,64.00
2026-04-29T22:00:00Z,37.00,64.00
2026-04-29T22:40:00Z,37.00,64.00
2026-04-29T22:54:00Z,37.00,64.00
2026-04-29T23:01:00Z,37.00,64.00
2026-04-29T23:06:00Z,37.00,64.00
2026-04-29T23:14:00Z,37.00,64.00
2026-04-29T23:55:00Z,37.00,64.00
2026-04-30T00:17:00Z,37.00,64.00
2026-04-30T00:31:00Z,37.00,64.00
2026-04-30T00:46:00Z,37.00,64.00
2026-04-30T01:31:00Z,37.00,64.00
2026-04-30T01:44:00Z,37.00,64.00
2026-04-30T01:46:00Z,37.00,64.00
2026-04-30T01:52:00Z,37.00,64.00
2026-04-30T01:56:00Z,37.00,64.00
2026-04-30T02:08:00Z,37.00,64.00
2026-04-30T02:18:00Z,37.00,64.00
2026-04-30T02:21:00Z,37.00,64.00
2026-04-30T02:22:00Z,37.00,64.00
2026-04-30T02:37:00Z,37.00,64.00
2026-04-30T02:38:00Z,37.00,64.00
2026-04-30T02:43:00Z,37.09,64.00
2026-04-30T02:44:00Z,37.00,64.00
2026-04-30T02:46:00Z,38.00,64.00
2026-04-30T02:51:00Z,37.95,64.00
2026-04-30T02:54:00Z,38.00,64.00
2026-04-30T02:57:00Z,38.00,64.00
2026-04-30T02:58:00Z,37.00,64.00
2026-04-30T03:00:00Z,38.00,64.00
2026-04-30T03:11:00Z,38.00,64.00
2026-04-30T03:15:00Z,38.00,64.00
2026-04-30T03:19:00Z,38.00,62.04
2026-04-30T03:21:00Z,38.00,63.00
2026-04-30T03:25:00Z,38.00,63.00
2026-04-30T03:26:00Z,38.00,63.00
2026-04-30T03:27:00Z,38.00,63.00
2026-04-30T03:33:00Z,38.00,63.00
2026-04-30T03:39:00Z,38.00,63.00
2026-04-30T03:41:00Z,38.00,63.00
2026-04-30T03:42:00Z,38.00,63.00
2026-04-30T04:00:00Z,39.00,63.00
2026-04-30T04:06:00Z,39.00,63.00
2026-04-30T04:14:00Z,39.00,63.00
2026-04-30T04:15:00Z,39.00,63.00
2026-04-30T04:19:00Z,39.00,63.00
2026-04-30T04:20:00Z,39.00,63.00
2026-04-30T04:22:00Z,39.00,63.00
2026-04-30T04:25:00Z,39.00,63.00
2026-04-30T04:30:00Z,39.00,63.00
2026-04-30T04:31:00Z,37.00,63.00
2026-04-30T04:38:00Z,39.00,63.00
2026-04-30T04:42:00Z,39.00,63.00
2026-04-30T04:45:00Z,39.00,63.00
2026-04-30T04:46:00Z,39.00,63.00
2026-04-30T04:47:00Z,39.00,63.00
2026-04-30T04:48:00Z,39.00,62.00
2026-04-30T04:51:00Z,38.00,62.00
2026-04-30T04:52:00Z,38.00,62.00
2026-04-30T04:53:00Z,38.00,63.00
2026-04-30T04:54:00Z,38.43,63.00
2026-04-30T04:56:00Z,38.00,63.00
2026-04-30T04:57:00Z,38.00,63.00
2026-04-30T04:58:00Z,38.00,63.00
2026-04-30T04:59:00Z,38.00,63.00
