# event_ticker=KXATPCHALLENGERMATCH-26FEB24TORBUE
# final_score=7-5 6-1
# score_resolution=5-7 1-6
# match_winner=Juan Bautista Torres
# fav_player=Gonzalo Bueno
# dog_player=Juan Bautista Torres
# kalshi_date=2026-02-24
timestamp,Gonzalo Bueno,Juan Bautista Torres
2026-02-24T05:23:00Z,,64.00
2026-02-24T08:23:00Z,,62.00
2026-02-24T09:28:00Z,54.00,50.00
2026-02-24T10:28:00Z,54.00,50.00
2026-02-24T10:29:00Z,54.00,50.00
2026-02-24T10:31:00Z,54.00,50.00
2026-02-24T10:33:00Z,54.00,50.00
2026-02-24T11:11:00Z,54.00,50.00
2026-02-24T13:02:00Z,54.55,49.00
2026-02-24T13:18:00Z,55.00,49.00
2026-02-24T13:21:00Z,54.00,49.00
2026-02-24T13:31:00Z,56.00,49.00
2026-02-24T13:34:00Z,56.00,47.00
2026-02-24T13:44:00Z,56.00,47.84
2026-02-24T13:45:00Z,56.00,49.21
2026-02-24T13:47:00Z,55.00,49.21
2026-02-24T13:54:00Z,54.00,49.00
2026-02-24T14:02:00Z,54.00,49.00
2026-02-24T14:04:00Z,54.00,49.00
2026-02-24T14:05:00Z,54.00,49.00
2026-02-24T14:11:00Z,54.00,49.00
2026-02-24T14:13:00Z,54.92,49.00
2026-02-24T14:14:00Z,55.71,49.00
2026-02-24T14:15:00Z,56.00,49.00
2026-02-24T14:17:00Z,56.00,47.00
2026-02-24T14:20:00Z,57.00,47.00
2026-02-24T14:21:00Z,57.00,47.00
2026-02-24T14:22:00Z,57.00,47.00
2026-02-24T14:23:00Z,57.00,47.00
2026-02-24T14:24:00Z,57.00,46.00
2026-02-24T14:25:00Z,57.00,46.00
2026-02-24T14:26:00Z,57.00,46.03
2026-02-24T14:27:00Z,57.00,46.04
2026-02-24T14:28:00Z,57.08,46.04
2026-02-24T14:29:00Z,57.87,45.00
2026-02-24T14:30:00Z,60.00,45.00
2026-02-24T14:31:00Z,63.00,40.00
2026-02-24T14:32:00Z,61.01,40.90
2026-02-24T14:33:00Z,63.00,41.00
2026-02-24T14:34:00Z,60.91,42.93
2026-02-24T14:35:00Z,54.82,44.92
2026-02-24T14:36:00Z,55.17,49.57
2026-02-24T14:37:00Z,56.00,48.93
2026-02-24T14:38:00Z,55.74,48.93
2026-02-24T14:39:00Z,62.19,48.93
2026-02-24T14:40:00Z,62.19,41.00
2026-02-24T14:41:00Z,67.33,36.17
2026-02-24T14:42:00Z,60.18,38.62
2026-02-24T14:43:00Z,62.05,42.00
2026-02-24T14:44:00Z,58.00,41.07
2026-02-24T14:45:00Z,54.54,49.00
2026-02-24T14:46:00Z,45.98,52.86
2026-02-24T14:47:00Z,42.00,59.65
2026-02-24T14:48:00Z,42.83,60.00
2026-02-24T14:49:00Z,44.21,56.00
2026-02-24T14:50:00Z,47.04,55.00
2026-02-24T14:51:00Z,47.94,58.58
2026-02-24T14:52:00Z,44.00,60.18
2026-02-24T14:53:00Z,46.00,54.00
2026-02-24T14:54:00Z,48.53,55.00
2026-02-24T14:55:00Z,48.53,56.00
2026-02-24T14:56:00Z,37.27,66.00
2026-02-24T14:57:00Z,39.36,58.90
2026-02-24T14:58:00Z,34.36,61.44
2026-02-24T14:59:00Z,36.54,63.05
2026-02-24T15:00:00Z,40.28,61.00
2026-02-24T15:01:00Z,41.46,59.47
2026-02-24T15:02:00Z,49.23,54.39
2026-02-24T15:03:00Z,53.74,45.99
2026-02-24T15:04:00Z,54.39,47.76
2026-02-24T15:05:00Z,61.99,38.17
2026-02-24T15:06:00Z,67.25,32.71
2026-02-24T15:07:00Z,68.00,33.09
2026-02-24T15:08:00Z,62.71,39.91
2026-02-24T15:09:00Z,63.66,40.81
2026-02-24T15:10:00Z,59.09,43.17
2026-02-24T15:11:00Z,52.93,47.14
2026-02-24T15:12:00Z,53.18,45.35
2026-02-24T15:13:00Z,46.21,53.87
2026-02-24T15:14:00Z,45.46,57.29
2026-02-24T15:15:00Z,40.76,60.46
2026-02-24T15:16:00Z,41.37,57.77
2026-02-24T15:17:00Z,44.60,57.34
2026-02-24T15:18:00Z,45.31,56.80
2026-02-24T15:19:00Z,38.51,64.94
2026-02-24T15:20:00Z,30.79,70.41
2026-02-24T15:21:00Z,30.94,70.07
2026-02-24T15:22:00Z,31.00,71.24
2026-02-24T15:23:00Z,30.80,70.95
2026-02-24T15:24:00Z,30.99,70.25
2026-02-24T15:25:00Z,30.99,71.00
2026-02-24T15:26:00Z,30.92,71.28
2026-02-24T15:27:00Z,35.89,66.04
2026-02-24T15:28:00Z,36.13,65.30
2026-02-24T15:29:00Z,36.57,65.49
2026-02-24T15:30:00Z,37.07,61.44
2026-02-24T15:31:00Z,44.74,62.25
2026-02-24T15:32:00Z,42.35,58.14
2026-02-24T15:33:00Z,41.84,60.38
2026-02-24T15:34:00Z,34.26,69.89
2026-02-24T15:35:00Z,29.68,74.94
2026-02-24T15:36:00Z,19.02,81.81
2026-02-24T15:37:00Z,18.06,83.41
2026-02-24T15:38:00Z,17.35,84.00
2026-02-24T15:39:00Z,18.56,84.87
2026-02-24T15:40:00Z,10.73,89.74
2026-02-24T15:41:00Z,9.46,92.98
2026-02-24T15:42:00Z,4.40,95.36
2026-02-24T15:43:00Z,4.16,96.83
2026-02-24T15:44:00Z,1.91,97.56
2026-02-24T15:45:00Z,1.31,99.00
2026-02-24T15:46:00Z,1.00,99.00
2026-02-24T15:47:00Z,1.00,99.00
2026-02-24T15:48:00Z,1.00,99.00
2026-02-24T15:49:00Z,1.00,99.00
2026-02-24T15:50:00Z,1.00,99.00
2026-02-24T15:51:00Z,1.00,99.00
2026-02-24T15:52:00Z,1.00,99.00
2026-02-24T15:53:00Z,1.00,99.00
2026-02-24T15:54:00Z,1.00,99.00
2026-02-24T15:55:00Z,1.00,99.00
2026-02-24T15:56:00Z,1.00,99.00
2026-02-24T15:57:00Z,1.00,99.00
2026-02-24T15:58:00Z,1.00,99.00
2026-02-24T16:00:00Z,1.00,99.00
2026-02-24T16:01:00Z,1.00,99.00
2026-02-24T16:02:00Z,1.00,99.00
