# event_ticker=KXATPCHALLENGERMATCH-26FEB23PRADAM
# final_score=7-6(5) 6-1
# score_resolution=6-7 1-6
# match_winner=Miguel Damas
# fav_player=Juan Carlos Prado Angelo
# dog_player=Miguel Damas
# kalshi_date=2026-02-23
timestamp,Juan Carlos Prado Angelo,Miguel Damas
2026-02-23T05:16:00Z,,33.00
2026-02-23T05:20:00Z,,33.00
2026-02-23T10:47:00Z,,38.00
2026-02-23T11:56:00Z,58.00,38.00
2026-02-23T12:36:00Z,58.00,48.00
2026-02-23T13:40:00Z,59.00,48.00
2026-02-23T13:46:00Z,59.00,48.00
2026-02-23T13:57:00Z,59.00,48.00
2026-02-23T14:43:00Z,59.00,41.00
2026-02-23T14:50:00Z,59.00,41.00
2026-02-23T15:23:00Z,59.00,41.00
2026-02-23T15:24:00Z,59.00,41.00
2026-02-23T15:30:00Z,59.00,45.00
2026-02-23T15:33:00Z,56.00,45.00
2026-02-23T15:49:00Z,56.00,45.00
2026-02-23T15:54:00Z,54.19,45.00
2026-02-23T15:55:00Z,54.19,48.00
2026-02-23T16:00:00Z,55.00,48.00
2026-02-23T16:04:00Z,55.00,48.00
2026-02-23T16:05:00Z,55.95,48.00
2026-02-23T16:07:00Z,55.95,48.00
2026-02-23T16:09:00Z,56.00,48.00
2026-02-23T16:14:00Z,55.98,48.00
2026-02-23T16:16:00Z,56.00,48.00
2026-02-23T16:23:00Z,56.09,48.00
2026-02-23T16:24:00Z,56.00,48.00
2026-02-23T16:25:00Z,56.00,48.00
2026-02-23T16:26:00Z,56.00,48.00
2026-02-23T16:27:00Z,56.00,48.00
2026-02-23T16:28:00Z,56.73,48.00
2026-02-23T16:30:00Z,56.73,47.98
2026-02-23T16:32:00Z,56.99,47.98
2026-02-23T16:39:00Z,57.00,47.98
2026-02-23T16:42:00Z,57.00,47.98
2026-02-23T16:44:00Z,58.00,47.98
2026-02-23T16:47:00Z,58.90,47.98
2026-02-23T16:48:00Z,58.90,46.00
2026-02-23T16:49:00Z,58.96,46.00
2026-02-23T16:50:00Z,58.00,46.00
