# event_ticker=KXATPCHALLENGERMATCH-26APR29BARNEU
# final_score=7-6(4) 6-4
# score_resolution=7-6 6-4
# match_winner=Lukas Neumayer
# fav_player=Lukas Neumayer
# dog_player=Marcelo Tomas Barrios Vera
# kalshi_date=2026-04-29
timestamp,Marcelo Tomas Barrios Vera,Lukas Neumayer
2026-04-29T01:38:00Z,47.00,
2026-04-29T03:02:00Z,47.00,55.00
2026-04-29T03:13:00Z,47.00,55.00
2026-04-29T03:26:00Z,47.00,55.00
2026-04-29T03:56:00Z,47.00,55.62
2026-04-29T04:08:00Z,47.00,55.00
2026-04-29T04:26:00Z,47.00,55.00
2026-04-29T04:34:00Z,45.00,55.00
2026-04-29T04:55:00Z,45.00,55.10
2026-04-29T05:18:00Z,45.00,55.00
2026-04-29T05:21:00Z,45.00,56.01
2026-04-29T05:37:00Z,45.00,56.00
2026-04-29T07:26:00Z,44.00,57.29
2026-04-29T07:54:00Z,44.00,57.29
2026-04-29T08:33:00Z,44.00,58.00
2026-04-29T08:46:00Z,44.00,58.00
2026-04-29T08:53:00Z,44.00,57.00
2026-04-29T09:13:00Z,44.00,58.00
2026-04-29T09:24:00Z,44.00,58.00
2026-04-29T09:25:00Z,44.00,58.00
2026-04-29T10:11:00Z,44.00,58.00
2026-04-29T10:22:00Z,44.00,58.00
2026-04-29T10:34:00Z,44.00,58.00
2026-04-29T10:35:00Z,44.00,58.00
2026-04-29T10:53:00Z,44.00,58.00
2026-04-29T10:54:00Z,44.00,58.00
2026-04-29T11:05:00Z,43.00,58.00
2026-04-29T11:11:00Z,43.00,58.00
2026-04-29T11:18:00Z,43.00,58.00
2026-04-29T11:19:00Z,44.00,58.00
2026-04-29T11:20:00Z,44.00,58.00
2026-04-29T11:25:00Z,44.00,58.00
2026-04-29T11:28:00Z,44.60,58.00
2026-04-29T11:33:00Z,45.00,58.00
2026-04-29T11:38:00Z,45.00,58.00
2026-04-29T11:41:00Z,44.00,58.00
2026-04-29T11:45:00Z,45.00,58.00
2026-04-29T11:53:00Z,45.00,58.00
2026-04-29T12:13:00Z,44.00,58.00
2026-04-29T12:14:00Z,44.00,58.00
2026-04-29T12:15:00Z,44.00,58.00
2026-04-29T12:16:00Z,44.48,58.00
2026-04-29T12:20:00Z,44.48,58.00
2026-04-29T12:22:00Z,44.48,58.00
2026-04-29T12:25:00Z,44.00,58.00
2026-04-29T12:26:00Z,44.00,58.00
2026-04-29T12:29:00Z,44.13,56.08
2026-04-29T12:30:00Z,46.00,56.08
2026-04-29T12:31:00Z,41.00,59.10
2026-04-29T12:33:00Z,41.00,60.00
2026-04-29T12:34:00Z,42.50,58.00
2026-04-29T12:35:00Z,41.00,58.00
2026-04-29T12:36:00Z,40.00,60.00
2026-04-29T12:37:00Z,44.79,60.00
2026-04-29T12:39:00Z,43.00,60.00
2026-04-29T12:40:00Z,42.50,57.00
2026-04-29T12:41:00Z,46.02,57.00
2026-04-29T12:42:00Z,53.03,45.12
2026-04-29T12:43:00Z,56.00,45.12
2026-04-29T12:44:00Z,51.94,48.37
2026-04-29T12:45:00Z,48.00,55.93
2026-04-29T12:46:00Z,43.03,57.02
2026-04-29T12:47:00Z,43.00,59.46
2026-04-29T12:48:00Z,41.00,59.00
2026-04-29T12:49:00Z,39.04,60.41
2026-04-29T12:50:00Z,39.00,60.41
2026-04-29T12:51:00Z,38.03,60.50
2026-04-29T12:52:00Z,41.77,57.00
2026-04-29T12:53:00Z,40.61,58.50
2026-04-29T12:54:00Z,38.14,62.78
2026-04-29T12:55:00Z,37.57,61.16
2026-04-29T12:56:00Z,34.91,65.11
2026-04-29T12:57:00Z,35.25,65.00
2026-04-29T12:58:00Z,34.37,67.89
2026-04-29T12:59:00Z,25.68,71.66
2026-04-29T13:00:00Z,25.85,74.00
2026-04-29T13:01:00Z,25.00,76.00
