# event_ticker=KXATPCHALLENGERMATCH-26JUN02SACKUM
# final_score=5-7 6-0 6-3
# match_winner=Vitaliy Sachko
# fav_player=Vitaliy Sachko
# dog_player=Jan Kumstat
# kalshi_date=2026-06-02
timestamp,Vitaliy Sachko,Jan Kumstat
2026-06-02T02:25:00Z,66.00,35.00
2026-06-02T03:02:00Z,66.33,35.00
2026-06-02T03:21:00Z,67.00,35.00
2026-06-02T04:10:00Z,67.00,32.00
2026-06-02T04:15:00Z,68.00,32.00
2026-06-02T05:51:00Z,66.00,32.00
2026-06-02T06:15:00Z,68.00,32.00
2026-06-02T06:44:00Z,68.00,32.00
2026-06-02T07:38:00Z,68.00,32.00
2026-06-02T08:26:00Z,68.00,32.00
2026-06-02T09:56:00Z,68.00,35.00
2026-06-02T12:36:00Z,66.00,35.00
2026-06-02T12:43:00Z,66.00,35.00
2026-06-02T12:44:00Z,66.63,35.00
2026-06-02T12:50:00Z,66.00,35.00
2026-06-02T12:52:00Z,66.00,36.00
2026-06-02T12:54:00Z,66.60,36.00
2026-06-02T13:03:00Z,66.00,34.00
2026-06-02T13:04:00Z,68.00,34.00
2026-06-02T13:05:00Z,68.00,35.03
2026-06-02T13:06:00Z,61.98,35.03
2026-06-02T13:07:00Z,59.91,41.12
2026-06-02T13:08:00Z,55.00,46.02
2026-06-02T13:09:00Z,48.67,52.00
2026-06-02T13:10:00Z,48.67,50.00
2026-06-02T13:11:00Z,48.01,52.00
2026-06-02T13:12:00Z,48.01,49.00
2026-06-02T13:13:00Z,51.00,51.00
2026-06-02T13:14:00Z,52.00,48.00
2026-06-02T13:15:00Z,54.56,47.78
2026-06-02T13:16:00Z,57.09,42.43
2026-06-02T13:17:00Z,55.26,45.23
2026-06-02T13:18:00Z,61.69,39.04
2026-06-02T13:19:00Z,66.00,34.76
2026-06-02T13:20:00Z,61.34,37.71
2026-06-02T13:21:00Z,62.42,43.20
2026-06-02T13:22:00Z,60.40,39.53
2026-06-02T13:23:00Z,52.28,48.15
2026-06-02T13:24:00Z,50.00,48.15
2026-06-02T13:25:00Z,48.88,51.00
2026-06-02T13:26:00Z,44.63,54.34
2026-06-02T13:27:00Z,42.00,54.34
2026-06-02T13:28:00Z,43.00,54.34
2026-06-02T13:29:00Z,43.00,56.45
2026-06-02T13:30:00Z,45.04,55.00
2026-06-02T13:31:00Z,45.04,55.00
2026-06-02T13:32:00Z,44.75,55.00
2026-06-02T13:33:00Z,48.50,51.15
2026-06-02T13:34:00Z,54.84,44.35
2026-06-02T13:35:00Z,51.88,48.44
2026-06-02T13:36:00Z,49.81,48.85
2026-06-02T13:37:00Z,46.94,52.90
2026-06-02T13:38:00Z,52.99,47.24
2026-06-02T13:39:00Z,52.90,47.83
2026-06-02T13:40:00Z,52.88,48.03
2026-06-02T13:41:00Z,52.34,47.80
2026-06-02T13:42:00Z,60.53,37.09
2026-06-02T13:43:00Z,64.52,32.05
2026-06-02T13:44:00Z,67.00,33.00
2026-06-02T13:45:00Z,64.90,35.02
2026-06-02T13:46:00Z,68.17,31.00
2026-06-02T13:47:00Z,69.00,29.06
2026-06-02T13:48:00Z,67.00,29.06
2026-06-02T13:49:00Z,67.08,33.50
2026-06-02T13:50:00Z,69.48,30.19
2026-06-02T13:51:00Z,75.52,24.72
2026-06-02T13:52:00Z,74.45,25.33
2026-06-02T13:53:00Z,69.18,31.25
2026-06-02T13:54:00Z,65.00,31.25
2026-06-02T13:55:00Z,57.72,39.29
2026-06-02T13:56:00Z,56.22,43.70
2026-06-02T13:57:00Z,51.19,49.52
2026-06-02T13:58:00Z,43.00,55.80
2026-06-02T13:59:00Z,42.66,56.95
2026-06-02T14:00:00Z,38.39,62.65
2026-06-02T14:01:00Z,36.00,64.00
2026-06-02T14:02:00Z,36.00,65.00
2026-06-02T14:03:00Z,36.00,65.00
2026-06-02T14:04:00Z,36.00,65.02
2026-06-02T14:05:00Z,34.08,67.88
2026-06-02T14:06:00Z,34.63,67.53
2026-06-02T14:07:00Z,35.00,67.08
2026-06-02T14:08:00Z,32.69,65.81
2026-06-02T14:09:00Z,37.43,65.93
2026-06-02T14:10:00Z,34.17,65.47
2026-06-02T14:11:00Z,36.19,64.71
2026-06-02T14:12:00Z,36.49,66.38
2026-06-02T14:13:00Z,35.39,66.17
2026-06-02T14:14:00Z,37.00,66.01
2026-06-02T14:15:00Z,30.49,68.69
2026-06-02T14:16:00Z,35.36,64.76
2026-06-02T14:17:00Z,39.00,61.99
2026-06-02T14:18:00Z,40.34,59.00
2026-06-02T14:19:00Z,42.72,60.33
2026-06-02T14:20:00Z,41.97,59.89
2026-06-02T14:21:00Z,47.94,51.29
2026-06-02T14:22:00Z,49.90,50.00
2026-06-02T14:23:00Z,53.21,45.00
2026-06-02T14:24:00Z,55.92,44.00
2026-06-02T14:25:00Z,56.93,44.25
2026-06-02T14:26:00Z,61.82,42.00
2026-06-02T14:27:00Z,62.04,42.00
2026-06-02T14:28:00Z,63.98,36.81
2026-06-02T14:29:00Z,65.63,34.12
2026-06-02T14:30:00Z,67.00,34.00
2026-06-02T14:31:00Z,67.32,34.00
2026-06-02T14:32:00Z,68.00,33.00
2026-06-02T14:33:00Z,68.25,32.81
2026-06-02T14:34:00Z,69.03,31.06
2026-06-02T14:35:00Z,70.00,29.86
2026-06-02T14:36:00Z,70.22,30.00
2026-06-02T14:37:00Z,70.20,30.01
2026-06-02T14:38:00Z,67.51,31.11
2026-06-02T14:39:00Z,74.83,25.08
2026-06-02T14:40:00Z,73.93,25.91
2026-06-02T14:41:00Z,77.00,24.00
2026-06-02T14:42:00Z,75.20,26.60
2026-06-02T14:43:00Z,74.53,26.43
2026-06-02T14:44:00Z,77.17,25.76
2026-06-02T14:45:00Z,72.10,27.69
2026-06-02T14:46:00Z,72.38,27.89
2026-06-02T14:47:00Z,74.87,25.97
2026-06-02T14:48:00Z,74.21,27.16
2026-06-02T14:49:00Z,76.94,24.12
2026-06-02T14:50:00Z,75.85,24.12
2026-06-02T14:51:00Z,72.07,29.68
2026-06-02T14:52:00Z,68.63,32.17
2026-06-02T14:53:00Z,70.57,32.12
2026-06-02T14:54:00Z,72.51,28.11
2026-06-02T14:55:00Z,72.28,28.46
2026-06-02T14:56:00Z,72.06,28.53
2026-06-02T14:57:00Z,72.96,28.00
2026-06-02T14:58:00Z,77.19,24.27
2026-06-02T14:59:00Z,71.48,27.35
2026-06-02T15:00:00Z,79.74,21.08
2026-06-02T15:01:00Z,88.33,10.62
2026-06-02T15:02:00Z,92.74,7.60
2026-06-02T15:03:00Z,92.81,9.04
2026-06-02T15:04:00Z,95.78,4.12
2026-06-02T15:05:00Z,96.12,3.13
2026-06-02T15:06:00Z,96.10,3.18
2026-06-02T15:07:00Z,95.55,4.73
2026-06-02T15:08:00Z,95.55,4.98
2026-06-02T15:09:00Z,94.57,5.97
2026-06-02T15:10:00Z,92.23,7.53
2026-06-02T15:11:00Z,98.69,3.52
2026-06-02T15:12:00Z,99.00,1.00
2026-06-02T15:13:00Z,99.00,1.00
2026-06-02T15:14:00Z,99.00,1.00
2026-06-02T15:15:00Z,99.00,1.00
2026-06-02T15:16:00Z,99.00,1.00
2026-06-02T15:17:00Z,99.00,1.00
2026-06-02T15:18:00Z,99.00,1.00
2026-06-02T15:19:00Z,99.00,1.00
2026-06-02T15:20:00Z,99.00,1.00
