# event_ticker=KXATPCHALLENGERMATCH-26MAY26FAJSAR
# final_score=6-3 7-5
# score_resolution=3-6 5-7
# match_winner=Peter Fajta
# fav_player=Paulo Andre Saraiva Dos Santos
# dog_player=Peter Fajta
# kalshi_date=2026-05-26
timestamp,Peter Fajta,Paulo Andre Saraiva Dos Santos
2026-05-26T02:31:00Z,,47.00
2026-05-26T04:26:00Z,,47.00
2026-05-26T09:04:00Z,,48.25
2026-05-26T10:15:00Z,55.98,48.25
2026-05-26T10:41:00Z,57.00,46.00
2026-05-26T10:55:00Z,55.00,46.00
2026-05-26T10:57:00Z,55.00,46.00
2026-05-26T11:29:00Z,58.00,46.00
2026-05-26T11:30:00Z,57.00,46.10
2026-05-26T11:34:00Z,57.00,39.28
2026-05-26T11:42:00Z,62.00,39.28
2026-05-26T11:43:00Z,61.00,39.28
2026-05-26T11:44:00Z,59.00,43.00
2026-05-26T11:46:00Z,59.00,43.00
2026-05-26T11:48:00Z,65.00,39.37
2026-05-26T11:50:00Z,55.00,39.37
2026-05-26T11:51:00Z,59.00,39.37
2026-05-26T11:53:00Z,59.00,43.00
2026-05-26T11:54:00Z,59.00,43.00
2026-05-26T12:01:00Z,59.00,43.00
2026-05-26T12:02:00Z,56.00,43.00
2026-05-26T12:04:00Z,56.28,43.00
2026-05-26T12:05:00Z,57.00,43.00
2026-05-26T12:06:00Z,55.00,43.00
2026-05-26T12:08:00Z,57.00,45.00
2026-05-26T12:09:00Z,57.00,45.00
2026-05-26T12:10:00Z,57.87,44.00
2026-05-26T12:11:00Z,62.41,42.00
2026-05-26T12:12:00Z,64.00,42.00
2026-05-26T12:14:00Z,72.44,27.27
2026-05-26T12:15:00Z,76.94,27.27
2026-05-26T12:16:00Z,81.00,27.27
2026-05-26T12:17:00Z,81.00,21.00
2026-05-26T12:18:00Z,81.00,21.00
2026-05-26T12:20:00Z,78.00,21.00
2026-05-26T12:21:00Z,80.00,21.00
2026-05-26T12:22:00Z,81.00,21.00
2026-05-26T12:23:00Z,81.00,23.45
2026-05-26T12:24:00Z,81.00,23.45
2026-05-26T12:25:00Z,81.92,23.45
2026-05-26T12:26:00Z,81.92,16.00
2026-05-26T12:27:00Z,81.92,16.00
2026-05-26T12:28:00Z,81.11,18.63
2026-05-26T12:29:00Z,81.11,20.00
2026-05-26T12:32:00Z,81.00,20.00
2026-05-26T12:33:00Z,76.00,20.58
2026-05-26T12:34:00Z,66.00,28.00
2026-05-26T12:35:00Z,66.50,33.90
2026-05-26T12:36:00Z,64.34,35.00
2026-05-26T12:37:00Z,62.00,38.00
2026-05-26T12:38:00Z,62.00,40.13
2026-05-26T12:39:00Z,62.00,43.25
2026-05-26T12:40:00Z,58.68,43.25
2026-05-26T12:41:00Z,60.00,38.43
2026-05-26T12:42:00Z,62.10,40.00
2026-05-26T12:43:00Z,68.45,36.20
2026-05-26T12:44:00Z,64.00,34.67
2026-05-26T12:45:00Z,60.00,40.00
2026-05-26T12:46:00Z,60.24,40.71
2026-05-26T12:47:00Z,61.02,40.04
2026-05-26T12:48:00Z,61.61,39.00
2026-05-26T12:49:00Z,60.99,40.00
2026-05-26T12:50:00Z,57.90,43.22
2026-05-26T12:51:00Z,57.90,44.00
2026-05-26T12:52:00Z,58.00,44.00
2026-05-26T12:53:00Z,58.00,44.00
2026-05-26T12:54:00Z,61.00,41.99
2026-05-26T12:55:00Z,62.05,40.00
2026-05-26T12:56:00Z,60.14,41.13
2026-05-26T12:57:00Z,63.85,36.70
2026-05-26T12:58:00Z,75.00,27.54
2026-05-26T12:59:00Z,75.69,27.00
2026-05-26T13:00:00Z,78.61,20.76
2026-05-26T13:01:00Z,81.31,18.08
2026-05-26T13:02:00Z,83.23,18.17
2026-05-26T13:03:00Z,88.00,11.34
2026-05-26T13:04:00Z,91.02,10.57
2026-05-26T13:05:00Z,83.27,12.25
2026-05-26T13:06:00Z,87.54,16.90
2026-05-26T13:07:00Z,95.28,5.31
2026-05-26T13:08:00Z,95.02,4.28
2026-05-26T13:09:00Z,97.54,5.36
2026-05-26T13:10:00Z,97.00,3.57
2026-05-26T13:11:00Z,97.51,8.90
2026-05-26T13:12:00Z,97.00,8.90
2026-05-26T13:13:00Z,99.00,1.26
2026-05-26T13:14:00Z,99.00,1.26
2026-05-26T13:16:00Z,99.00,1.26
2026-05-26T13:17:00Z,99.00,1.26
