# event_ticker=KXATPCHALLENGERMATCH-26JUN02DAMDZU
# final_score=6-7(2) 6-4 7-5
# score_resolution=7-6 4-6 5-7
# match_winner=Damir Dzumhur
# fav_player=Miguel Damas
# dog_player=Damir Dzumhur
# kalshi_date=2026-06-02
timestamp,Miguel Damas,Damir Dzumhur
2026-06-02T09:16:00Z,28.93,70.00
2026-06-02T09:17:00Z,25.83,76.25
2026-06-02T09:18:00Z,20.64,80.00
2026-06-02T09:20:00Z,25.05,74.99
2026-06-02T09:21:00Z,24.82,74.99
2026-06-02T09:22:00Z,29.72,71.27
2026-06-02T09:23:00Z,32.97,69.00
2026-06-02T09:24:00Z,33.33,65.50
2026-06-02T09:25:00Z,36.96,63.57
2026-06-02T09:26:00Z,37.00,63.57
2026-06-02T09:27:00Z,33.00,67.00
2026-06-02T09:28:00Z,36.57,63.93
2026-06-02T09:29:00Z,42.00,59.00
2026-06-02T09:30:00Z,43.95,57.90
2026-06-02T09:31:00Z,42.19,59.80
2026-06-02T09:32:00Z,34.00,65.56
2026-06-02T09:33:00Z,34.10,68.00
2026-06-02T09:34:00Z,38.67,62.00
2026-06-02T09:35:00Z,42.00,62.00
2026-06-02T09:36:00Z,36.39,66.73
2026-06-02T09:37:00Z,36.39,60.00
2026-06-02T09:38:00Z,39.97,59.47
2026-06-02T09:39:00Z,34.08,67.00
2026-06-02T09:40:00Z,31.46,69.00
2026-06-02T09:41:00Z,34.15,65.89
2026-06-02T09:42:00Z,36.89,65.21
2026-06-02T09:43:00Z,47.07,54.82
2026-06-02T09:44:00Z,52.24,50.62
2026-06-02T09:45:00Z,52.08,47.42
2026-06-02T09:46:00Z,56.92,47.42
2026-06-02T09:47:00Z,57.00,42.98
2026-06-02T09:48:00Z,57.66,43.00
2026-06-02T09:49:00Z,57.66,43.00
2026-06-02T09:50:00Z,57.66,43.00
2026-06-02T09:51:00Z,54.22,48.00
2026-06-02T09:52:00Z,58.67,39.00
2026-06-02T09:53:00Z,60.00,40.21
2026-06-02T09:54:00Z,54.00,47.00
2026-06-02T09:55:00Z,49.00,49.91
2026-06-02T09:56:00Z,52.00,53.00
2026-06-02T09:57:00Z,51.00,45.00
2026-06-02T09:58:00Z,53.45,48.52
2026-06-02T09:59:00Z,56.00,45.00
2026-06-02T10:00:00Z,53.00,47.03
2026-06-02T10:01:00Z,57.64,43.42
