# event_ticker=KXATPCHALLENGERMATCH-26MAR03CARKOP
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Sandro Kopp
# fav_player=Roberto Carballes Baena
# dog_player=Sandro Kopp
# kalshi_date=2026-03-03
timestamp,Roberto Carballes Baena,Sandro Kopp
2026-03-02T21:10:00Z,85.00,
2026-03-02T21:15:00Z,85.00,
2026-03-02T23:36:00Z,85.00,
2026-03-02T23:38:00Z,85.00,
2026-03-03T00:34:00Z,85.00,17.00
2026-03-03T03:26:00Z,82.00,17.00
2026-03-03T03:43:00Z,82.00,19.00
2026-03-03T04:01:00Z,82.00,19.00
2026-03-03T04:37:00Z,81.00,19.00
2026-03-03T04:53:00Z,82.00,19.00
2026-03-03T05:02:00Z,82.00,19.00
2026-03-03T05:18:00Z,83.00,19.00
2026-03-03T05:34:00Z,83.00,19.00
2026-03-03T05:44:00Z,83.00,17.00
2026-03-03T05:49:00Z,83.00,19.00
2026-03-03T05:54:00Z,83.00,19.00
2026-03-03T06:03:00Z,83.00,19.00
2026-03-03T06:11:00Z,83.00,18.00
2026-03-03T06:40:00Z,83.88,18.00
2026-03-03T06:42:00Z,84.00,18.00
2026-03-03T06:43:00Z,84.00,18.00
2026-03-03T06:58:00Z,84.00,17.00
2026-03-03T07:03:00Z,84.00,17.00
2026-03-03T07:08:00Z,84.00,17.00
2026-03-03T07:12:00Z,84.00,17.00
2026-03-03T07:15:00Z,84.00,17.00
2026-03-03T07:34:00Z,85.00,17.00
2026-03-03T08:05:00Z,85.00,17.00
2026-03-03T08:06:00Z,85.00,17.00
2026-03-03T08:07:00Z,85.00,17.00
2026-03-03T08:08:00Z,85.00,17.00
2026-03-03T08:10:00Z,85.00,19.00
2026-03-03T08:11:00Z,81.00,20.00
2026-03-03T08:12:00Z,82.00,19.25
2026-03-03T08:13:00Z,82.00,21.00
2026-03-03T08:14:00Z,80.00,21.09
2026-03-03T08:15:00Z,80.00,22.00
2026-03-03T08:16:00Z,80.00,22.00
2026-03-03T08:17:00Z,80.00,22.00
2026-03-03T08:18:00Z,80.00,18.57
2026-03-03T08:19:00Z,80.00,22.71
2026-03-03T08:20:00Z,78.59,22.00
2026-03-03T08:21:00Z,78.00,22.23
2026-03-03T08:22:00Z,78.00,23.09
2026-03-03T08:23:00Z,76.00,24.64
2026-03-03T08:24:00Z,77.00,23.09
2026-03-03T08:25:00Z,79.40,23.00
2026-03-03T08:26:00Z,76.88,23.40
2026-03-03T08:27:00Z,64.50,33.16
2026-03-03T08:28:00Z,64.50,39.86
2026-03-03T08:29:00Z,55.00,47.45
2026-03-03T08:30:00Z,53.60,47.95
2026-03-03T08:31:00Z,52.96,47.69
2026-03-03T08:32:00Z,56.00,44.67
2026-03-03T08:33:00Z,57.41,41.88
2026-03-03T08:34:00Z,67.15,39.68
2026-03-03T08:35:00Z,64.93,33.04
2026-03-03T08:36:00Z,68.16,34.78
2026-03-03T08:37:00Z,62.00,34.70
2026-03-03T08:38:00Z,62.00,41.84
2026-03-03T08:39:00Z,54.87,47.36
2026-03-03T08:40:00Z,53.00,47.99
2026-03-03T08:41:00Z,53.00,48.00
2026-03-03T08:42:00Z,55.00,46.00
2026-03-03T08:43:00Z,55.00,44.00
2026-03-03T08:45:00Z,52.00,47.36
2026-03-03T08:46:00Z,51.78,50.37
2026-03-03T08:47:00Z,51.50,48.01
2026-03-03T08:48:00Z,52.63,48.93
2026-03-03T08:49:00Z,52.00,48.93
2026-03-03T08:50:00Z,52.00,48.00
2026-03-03T08:51:00Z,51.04,48.54
2026-03-03T08:52:00Z,51.04,49.00
2026-03-03T08:53:00Z,48.57,50.00
2026-03-03T08:54:00Z,51.00,50.53
2026-03-03T08:55:00Z,50.32,49.99
2026-03-03T08:56:00Z,48.00,49.91
2026-03-03T08:57:00Z,42.37,56.37
2026-03-03T08:58:00Z,30.97,68.04
2026-03-03T08:59:00Z,27.66,70.25
2026-03-03T09:00:00Z,24.27,75.05
2026-03-03T09:01:00Z,24.85,74.92
2026-03-03T09:02:00Z,23.99,75.99
2026-03-03T09:03:00Z,27.92,71.81
2026-03-03T09:04:00Z,28.18,73.00
2026-03-03T09:05:00Z,32.73,68.43
2026-03-03T09:06:00Z,28.70,71.51
2026-03-03T09:07:00Z,24.74,79.08
2026-03-03T09:08:00Z,18.24,81.27
2026-03-03T09:09:00Z,14.00,87.42
2026-03-03T09:10:00Z,10.14,92.72
2026-03-03T09:11:00Z,4.00,95.32
2026-03-03T09:12:00Z,4.90,95.84
2026-03-03T09:13:00Z,1.67,97.75
2026-03-03T09:14:00Z,2.27,97.37
2026-03-03T09:15:00Z,2.27,99.00
2026-03-03T09:16:00Z,2.00,97.27
2026-03-03T09:17:00Z,3.03,98.03
2026-03-03T09:18:00Z,3.03,98.00
2026-03-03T09:19:00Z,2.13,98.80
2026-03-03T09:20:00Z,3.04,97.80
2026-03-03T09:21:00Z,5.03,94.87
2026-03-03T09:22:00Z,4.90,97.84
2026-03-03T09:23:00Z,1.00,98.98
2026-03-03T09:24:00Z,1.00,99.00
2026-03-03T09:28:00Z,1.00,99.00
2026-03-03T09:31:00Z,1.00,99.00
