# event_ticker=KXATPMATCH-25NOV03TABKOV
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Clement Tabur
# fav_player=Aleksandar Kovacevic
# dog_player=Clement Tabur
# kalshi_date=2025-11-03
timestamp,Aleksandar Kovacevic,Clement Tabur
2025-11-03T02:25:00Z,66.00,
2025-11-03T02:32:00Z,66.00,
2025-11-03T02:33:00Z,66.66,
2025-11-03T02:42:00Z,66.00,
2025-11-03T02:48:00Z,66.00,
2025-11-03T02:53:00Z,66.00,
2025-11-03T02:58:00Z,66.00,35.00
2025-11-03T03:18:00Z,66.00,35.00
2025-11-03T03:37:00Z,66.00,35.00
2025-11-03T03:38:00Z,66.00,35.00
2025-11-03T03:40:00Z,66.00,35.00
2025-11-03T03:41:00Z,66.00,35.00
2025-11-03T03:51:00Z,66.00,35.00
2025-11-03T04:20:00Z,66.00,35.00
2025-11-03T04:26:00Z,66.00,35.00
2025-11-03T04:39:00Z,66.00,35.00
2025-11-03T05:00:00Z,66.00,35.00
2025-11-03T05:13:00Z,66.00,35.00
2025-11-03T05:14:00Z,66.00,35.00
2025-11-03T05:15:00Z,66.00,35.00
2025-11-03T05:17:00Z,66.00,35.00
2025-11-03T05:24:00Z,66.00,35.00
2025-11-03T05:31:00Z,66.00,35.00
2025-11-03T05:35:00Z,66.00,35.00
2025-11-03T05:40:00Z,66.00,35.00
2025-11-03T05:44:00Z,66.00,35.00
2025-11-03T06:04:00Z,66.00,35.00
2025-11-03T06:11:00Z,64.09,35.00
2025-11-03T06:17:00Z,64.09,35.00
2025-11-03T06:18:00Z,66.00,34.00
2025-11-03T06:19:00Z,66.00,34.00
2025-11-03T06:25:00Z,66.00,34.00
2025-11-03T06:33:00Z,65.00,34.00
2025-11-03T06:40:00Z,65.00,34.00
2025-11-03T06:57:00Z,65.00,34.00
2025-11-03T06:58:00Z,65.00,34.00
2025-11-03T07:11:00Z,65.00,34.00
2025-11-03T07:16:00Z,65.00,34.00
2025-11-03T07:40:00Z,65.00,34.00
2025-11-03T07:46:00Z,65.00,35.00
2025-11-03T07:57:00Z,65.00,35.00
2025-11-03T07:59:00Z,65.00,35.00
2025-11-03T08:06:00Z,65.00,35.00
2025-11-03T08:21:00Z,65.00,35.00
2025-11-03T08:31:00Z,65.00,35.00
2025-11-03T08:32:00Z,65.00,35.00
2025-11-03T08:38:00Z,65.00,35.00
2025-11-03T09:19:00Z,65.00,35.00
2025-11-03T09:36:00Z,65.00,35.00
2025-11-03T09:50:00Z,65.00,35.00
2025-11-03T09:56:00Z,65.00,36.00
2025-11-03T09:59:00Z,65.00,36.00
2025-11-03T10:00:00Z,65.00,36.00
2025-11-03T10:01:00Z,65.00,36.00
2025-11-03T10:27:00Z,65.00,36.00
2025-11-03T10:31:00Z,65.00,36.00
2025-11-03T10:56:00Z,65.00,36.00
2025-11-03T10:59:00Z,65.00,36.00
2025-11-03T11:10:00Z,65.00,36.00
2025-11-03T11:26:00Z,65.00,36.00
2025-11-03T11:29:00Z,65.00,36.00
2025-11-03T11:48:00Z,65.00,36.00
2025-11-03T11:55:00Z,65.00,36.00
2025-11-03T11:56:00Z,65.32,36.00
2025-11-03T12:05:00Z,66.00,36.00
2025-11-03T12:07:00Z,66.00,36.00
2025-11-03T12:21:00Z,66.00,36.00
2025-11-03T12:22:00Z,66.00,36.00
2025-11-03T12:33:00Z,66.00,36.00
2025-11-03T12:42:00Z,66.00,36.00
2025-11-03T12:45:00Z,66.00,36.00
2025-11-03T12:55:00Z,66.00,35.00
2025-11-03T12:58:00Z,66.00,35.00
2025-11-03T13:04:00Z,66.00,35.00
2025-11-03T13:06:00Z,65.00,35.00
2025-11-03T13:08:00Z,66.00,35.00
2025-11-03T13:16:00Z,66.00,35.00
2025-11-03T13:20:00Z,66.00,35.00
2025-11-03T13:25:00Z,66.00,35.00
2025-11-03T13:29:00Z,66.00,35.00
2025-11-03T13:31:00Z,66.00,35.00
2025-11-03T13:36:00Z,64.00,35.00
2025-11-03T13:44:00Z,66.00,35.00
2025-11-03T13:50:00Z,65.00,35.00
2025-11-03T13:53:00Z,66.00,35.00
2025-11-03T13:54:00Z,65.00,35.00
2025-11-03T13:55:00Z,65.00,36.00
2025-11-03T13:56:00Z,65.19,36.00
2025-11-03T13:57:00Z,66.00,36.00
2025-11-03T13:58:00Z,64.00,35.01
2025-11-03T13:59:00Z,63.25,37.67
2025-11-03T14:00:00Z,61.76,39.03
2025-11-03T14:02:00Z,61.76,39.00
2025-11-03T14:03:00Z,65.65,39.00
2025-11-03T14:04:00Z,70.60,37.52
2025-11-03T14:05:00Z,61.00,37.12
2025-11-03T14:06:00Z,63.00,39.00
2025-11-03T14:07:00Z,61.05,38.00
2025-11-03T14:08:00Z,61.00,41.00
2025-11-03T14:09:00Z,61.00,41.00
2025-11-03T14:10:00Z,62.77,40.78
2025-11-03T14:11:00Z,62.00,38.00
2025-11-03T14:12:00Z,62.00,35.58
2025-11-03T14:13:00Z,63.00,36.04
2025-11-03T14:14:00Z,65.70,39.00
2025-11-03T14:15:00Z,62.00,39.00
2025-11-03T14:16:00Z,60.02,42.65
2025-11-03T14:17:00Z,53.00,47.69
2025-11-03T14:18:00Z,40.66,62.00
2025-11-03T14:19:00Z,35.00,65.37
2025-11-03T14:20:00Z,34.00,66.60
2025-11-03T14:21:00Z,34.00,67.00
2025-11-03T14:22:00Z,33.43,69.00
2025-11-03T14:23:00Z,32.00,68.23
2025-11-03T14:24:00Z,31.12,68.23
2025-11-03T14:25:00Z,33.98,69.46
2025-11-03T14:26:00Z,34.00,65.52
2025-11-03T14:27:00Z,34.00,67.03
2025-11-03T14:28:00Z,32.00,70.14
2025-11-03T14:29:00Z,29.19,71.69
2025-11-03T14:30:00Z,29.00,73.00
2025-11-03T14:31:00Z,25.00,73.00
2025-11-03T14:32:00Z,25.89,73.00
2025-11-03T14:33:00Z,24.31,73.69
2025-11-03T14:34:00Z,29.00,70.00
2025-11-03T14:35:00Z,33.24,69.38
2025-11-03T14:36:00Z,42.19,64.04
2025-11-03T14:37:00Z,46.41,55.10
2025-11-03T14:38:00Z,38.85,59.90
2025-11-03T14:39:00Z,33.31,67.00
