# event_ticker=KXATPCHALLENGERMATCH-26APR23HEMKAS
# final_score=6-1 6-4
# match_winner=Calvin Hemery
# fav_player=Calvin Hemery
# dog_player=Maks Kasnikowski
# kalshi_date=2026-04-23
timestamp,Calvin Hemery,Maks Kasnikowski
2026-04-23T05:17:00Z,,55.00
2026-04-23T09:02:00Z,,90.00
2026-04-23T13:52:00Z,,59.00
2026-04-23T14:02:00Z,,60.00
2026-04-23T14:22:00Z,,61.00
2026-04-23T14:37:00Z,38.00,61.00
2026-04-23T15:32:00Z,38.00,61.00
2026-04-23T15:34:00Z,38.00,61.00
2026-04-23T16:03:00Z,38.00,59.00
2026-04-23T16:11:00Z,40.00,59.00
2026-04-23T16:23:00Z,40.00,62.00
2026-04-23T16:24:00Z,40.00,63.00
2026-04-23T16:25:00Z,40.00,63.00
2026-04-23T16:28:00Z,40.00,63.00
2026-04-23T16:29:00Z,40.00,59.00
2026-04-23T16:30:00Z,41.00,59.00
2026-04-23T16:35:00Z,41.00,68.00
2026-04-23T16:36:00Z,39.00,68.00
2026-04-23T16:37:00Z,39.00,67.77
2026-04-23T16:38:00Z,39.00,64.00
2026-04-23T16:40:00Z,38.00,64.00
2026-04-23T16:42:00Z,38.00,62.00
2026-04-23T16:43:00Z,39.00,61.98
2026-04-23T16:44:00Z,39.00,61.05
2026-04-23T16:45:00Z,41.00,62.86
2026-04-23T16:46:00Z,39.00,61.00
2026-04-23T16:47:00Z,41.03,57.99
2026-04-23T16:48:00Z,41.00,62.00
2026-04-23T16:49:00Z,39.00,63.00
2026-04-23T16:50:00Z,42.00,58.00
2026-04-23T16:51:00Z,44.00,58.00
2026-04-23T16:52:00Z,44.99,55.13
2026-04-23T16:53:00Z,50.68,50.65
2026-04-23T16:54:00Z,50.12,48.22
2026-04-23T16:55:00Z,50.76,51.03
2026-04-23T16:56:00Z,57.48,41.67
2026-04-23T16:57:00Z,63.78,38.00
2026-04-23T16:58:00Z,61.00,38.14
2026-04-23T16:59:00Z,52.55,44.70
2026-04-23T17:00:00Z,51.00,50.32
2026-04-23T17:01:00Z,52.81,46.24
2026-04-23T17:02:00Z,57.33,43.52
2026-04-23T17:03:00Z,62.09,37.16
2026-04-23T17:04:00Z,62.09,37.00
2026-04-23T17:05:00Z,64.82,36.00
2026-04-23T17:06:00Z,63.03,36.52
2026-04-23T17:07:00Z,63.03,35.00
2026-04-23T17:08:00Z,63.03,34.90
2026-04-23T17:09:00Z,68.69,32.26
2026-04-23T17:10:00Z,67.01,33.00
2026-04-23T17:11:00Z,67.01,34.00
2026-04-23T17:12:00Z,67.01,33.00
2026-04-23T17:13:00Z,67.01,29.38
2026-04-23T17:14:00Z,69.10,31.00
2026-04-23T17:15:00Z,70.44,29.67
2026-04-23T17:16:00Z,74.00,24.00
2026-04-23T17:17:00Z,75.00,24.10
2026-04-23T17:18:00Z,76.00,24.89
2026-04-23T17:19:00Z,76.27,24.99
2026-04-23T17:20:00Z,76.03,24.00
2026-04-23T17:21:00Z,77.00,24.00
2026-04-23T17:22:00Z,77.00,23.99
2026-04-23T17:23:00Z,77.00,24.00
2026-04-23T17:24:00Z,76.62,24.00
2026-04-23T17:25:00Z,77.00,24.00
2026-04-23T17:26:00Z,76.00,24.00
2026-04-23T17:27:00Z,77.00,23.99
2026-04-23T17:28:00Z,74.30,23.17
2026-04-23T17:29:00Z,73.81,26.06
2026-04-23T17:30:00Z,75.00,25.21
2026-04-23T17:31:00Z,75.00,24.00
2026-04-23T17:32:00Z,75.70,25.73
2026-04-23T17:33:00Z,73.65,27.00
2026-04-23T17:34:00Z,73.65,27.00
2026-04-23T17:35:00Z,73.51,27.62
2026-04-23T17:36:00Z,72.00,28.00
2026-04-23T17:37:00Z,69.34,33.52
2026-04-23T17:38:00Z,69.17,29.00
2026-04-23T17:39:00Z,70.00,30.10
2026-04-23T17:40:00Z,72.39,28.44
2026-04-23T17:41:00Z,70.56,29.86
2026-04-23T17:42:00Z,69.33,30.16
2026-04-23T17:43:00Z,70.30,30.37
2026-04-23T17:44:00Z,69.27,30.83
2026-04-23T17:45:00Z,68.11,31.87
2026-04-23T17:46:00Z,70.00,29.65
2026-04-23T17:47:00Z,73.54,25.90
2026-04-23T17:48:00Z,80.77,21.86
2026-04-23T17:49:00Z,83.09,18.79
2026-04-23T17:50:00Z,81.41,23.87
2026-04-23T17:51:00Z,74.22,26.54
2026-04-23T17:52:00Z,71.00,31.86
2026-04-23T17:53:00Z,68.10,32.00
2026-04-23T17:54:00Z,71.56,28.80
2026-04-23T17:55:00Z,72.36,28.57
2026-04-23T17:56:00Z,75.37,23.06
2026-04-23T17:57:00Z,81.61,19.57
2026-04-23T17:58:00Z,86.69,10.88
2026-04-23T17:59:00Z,81.01,22.11
2026-04-23T18:00:00Z,76.87,26.51
2026-04-23T18:01:00Z,81.59,17.44
2026-04-23T18:02:00Z,94.39,6.13
2026-04-23T18:03:00Z,95.67,5.00
2026-04-23T18:04:00Z,97.03,1.82
2026-04-23T18:05:00Z,95.03,4.15
2026-04-23T18:06:00Z,92.55,9.10
2026-04-23T18:07:00Z,97.98,1.33
2026-04-23T18:08:00Z,99.00,1.33
2026-04-23T18:09:00Z,99.00,1.33
2026-04-23T18:10:00Z,99.00,1.33
2026-04-23T18:11:00Z,99.00,1.33
2026-04-23T18:12:00Z,99.00,1.33
2026-04-23T18:13:00Z,99.00,1.00
