# event_ticker=KXATPCHALLENGERMATCH-26FEB22KUKLOF
# final_score=1-0 RET
# match_winner=Mikhail Kukushkin
# fav_player=George Loffhagen
# dog_player=Mikhail Kukushkin
# kalshi_date=2026-02-22
timestamp,George Loffhagen,Mikhail Kukushkin
2026-02-24T04:57:00Z,43.00,
2026-02-24T05:48:00Z,43.00,60.00
2026-02-24T06:11:00Z,43.00,60.00
2026-02-24T06:17:00Z,43.00,60.00
2026-02-24T06:19:00Z,43.00,60.00
2026-02-24T06:41:00Z,40.00,60.00
2026-02-24T08:20:00Z,42.00,60.00
2026-02-24T10:12:00Z,42.00,62.00
2026-02-24T11:09:00Z,42.00,61.00
2026-02-24T11:13:00Z,42.00,61.00
2026-02-24T11:19:00Z,42.00,61.00
2026-02-24T11:23:00Z,42.00,61.00
2026-02-24T11:30:00Z,42.00,61.00
2026-02-24T11:36:00Z,42.00,61.00
2026-02-24T11:45:00Z,41.00,61.00
2026-02-24T11:47:00Z,41.00,61.24
2026-02-24T11:56:00Z,41.00,62.00
2026-02-24T12:00:00Z,41.00,60.00
2026-02-24T12:01:00Z,41.00,60.00
2026-02-24T12:02:00Z,41.00,60.00
2026-02-24T12:03:00Z,41.00,60.87
2026-02-24T12:06:00Z,35.00,67.00
2026-02-24T12:07:00Z,32.00,67.00
2026-02-24T12:09:00Z,32.00,74.00
2026-02-24T12:10:00Z,32.00,74.00
2026-02-24T12:11:00Z,14.35,84.62
2026-02-24T12:12:00Z,39.00,64.00
