# event_ticker=KXATPMATCH-26MAY17MENSTR
# final_score=7-6(3) 6-2
# score_resolution=7-6 6-2
# match_winner=Jakub Mensik
# fav_player=Jakub Mensik
# dog_player=Jan-Lennard Struff
# kalshi_date=2026-05-17
timestamp,Jakub Mensik,Jan-Lennard Struff
2026-05-18T05:58:00Z,74.00,
2026-05-18T06:08:00Z,74.00,
2026-05-18T06:16:00Z,74.00,
2026-05-18T06:19:00Z,74.00,
2026-05-18T06:21:00Z,74.00,27.00
2026-05-18T07:08:00Z,74.00,27.00
2026-05-18T07:33:00Z,74.00,27.00
2026-05-18T07:44:00Z,74.00,27.00
2026-05-18T07:48:00Z,74.00,27.00
2026-05-18T07:51:00Z,74.00,27.00
2026-05-18T08:41:00Z,74.00,26.00
2026-05-18T08:44:00Z,74.00,26.00
2026-05-18T08:48:00Z,74.00,26.00
2026-05-18T10:51:00Z,74.00,26.00
2026-05-18T11:27:00Z,74.00,26.00
2026-05-18T11:55:00Z,74.00,26.00
2026-05-18T11:56:00Z,74.00,26.00
2026-05-18T11:58:00Z,74.00,26.00
2026-05-18T12:26:00Z,74.00,26.00
2026-05-18T12:36:00Z,75.00,26.00
2026-05-18T12:48:00Z,75.00,26.57
2026-05-18T12:53:00Z,75.00,26.57
2026-05-18T12:56:00Z,75.00,26.57
2026-05-18T13:14:00Z,75.00,26.57
2026-05-18T13:24:00Z,75.00,26.57
2026-05-18T13:28:00Z,75.00,26.57
2026-05-18T13:33:00Z,75.00,26.57
2026-05-18T13:34:00Z,74.00,26.57
2026-05-18T13:48:00Z,75.00,26.57
2026-05-18T14:03:00Z,75.00,26.57
2026-05-18T14:26:00Z,75.00,26.00
2026-05-18T14:27:00Z,75.00,26.00
2026-05-18T14:32:00Z,75.00,26.00
2026-05-18T14:33:00Z,75.00,26.00
2026-05-18T14:37:00Z,75.00,26.00
2026-05-18T14:38:00Z,75.00,26.00
2026-05-18T14:39:00Z,75.00,26.00
2026-05-18T14:40:00Z,75.00,26.00
2026-05-18T14:44:00Z,75.00,26.00
2026-05-18T14:52:00Z,75.00,26.00
2026-05-18T14:59:00Z,75.00,26.00
2026-05-18T15:06:00Z,75.00,26.00
2026-05-18T15:09:00Z,75.00,26.00
