# event_ticker=KXATPMATCH-26MAY12MEDLAN
# final_score=7-5 6-4
# score_resolution=5-7 4-6
# match_winner=Martin Landaluce
# fav_player=Hamad Medjedovic
# dog_player=Martin Landaluce
# kalshi_date=2026-05-12
timestamp,Hamad Medjedovic,Martin Landaluce
2026-05-12T04:53:00Z,,41.00
2026-05-12T05:09:00Z,,41.00
2026-05-12T05:13:00Z,60.00,41.00
2026-05-12T05:22:00Z,60.00,41.00
2026-05-12T05:26:00Z,60.00,41.00
2026-05-12T05:27:00Z,60.00,41.00
2026-05-12T05:28:00Z,60.00,41.00
2026-05-12T05:29:00Z,60.00,41.00
2026-05-12T05:31:00Z,60.00,41.00
2026-05-12T05:32:00Z,60.00,41.00
2026-05-12T05:35:00Z,60.00,41.00
2026-05-12T05:37:00Z,60.00,41.00
2026-05-12T05:39:00Z,60.00,41.00
2026-05-12T05:40:00Z,60.00,41.00
2026-05-12T05:41:00Z,60.00,41.00
2026-05-12T05:43:00Z,60.00,41.00
2026-05-12T05:44:00Z,60.00,41.00
2026-05-12T05:45:00Z,60.00,41.00
2026-05-12T05:46:00Z,60.00,41.00
2026-05-12T05:47:00Z,60.00,41.00
2026-05-12T05:48:00Z,60.00,41.00
2026-05-12T05:49:00Z,60.00,41.00
2026-05-12T05:50:00Z,60.00,40.00
2026-05-12T05:51:00Z,60.00,41.00
2026-05-12T05:55:00Z,60.00,41.00
2026-05-12T05:56:00Z,60.00,41.00
2026-05-12T05:57:00Z,60.00,41.00
2026-05-12T05:58:00Z,60.00,41.00
2026-05-12T06:03:00Z,60.00,41.00
2026-05-12T06:05:00Z,60.00,41.00
2026-05-12T06:06:00Z,60.00,41.00
2026-05-12T06:10:00Z,60.00,41.00
2026-05-12T06:11:00Z,60.00,41.00
2026-05-12T06:15:00Z,60.00,41.00
2026-05-12T06:16:00Z,60.00,41.00
2026-05-12T06:20:00Z,60.00,41.00
2026-05-12T06:21:00Z,60.00,41.00
2026-05-12T06:22:00Z,60.00,41.00
2026-05-12T06:23:00Z,60.00,41.00
2026-05-12T06:24:00Z,60.00,41.00
2026-05-12T06:25:00Z,60.00,41.00
2026-05-12T06:26:00Z,60.00,41.00
2026-05-12T06:29:00Z,60.00,41.00
2026-05-12T06:36:00Z,60.00,41.00
2026-05-12T06:38:00Z,60.00,41.00
2026-05-12T06:40:00Z,60.00,41.00
2026-05-12T06:41:00Z,60.00,41.00
2026-05-12T06:44:00Z,60.00,41.00
2026-05-12T06:48:00Z,60.00,41.00
2026-05-12T06:49:00Z,60.00,41.00
2026-05-12T06:54:00Z,60.00,41.00
2026-05-12T06:56:00Z,60.00,41.00
2026-05-12T06:57:00Z,60.00,41.00
2026-05-12T07:00:00Z,60.00,41.00
2026-05-12T07:02:00Z,60.00,41.00
2026-05-12T07:07:00Z,60.00,41.00
2026-05-12T07:08:00Z,60.00,41.00
2026-05-12T07:10:00Z,60.00,41.00
2026-05-12T07:13:00Z,60.00,41.00
2026-05-12T07:16:00Z,60.00,41.00
2026-05-12T07:19:00Z,60.00,41.00
