# event_ticker=KXATPCHALLENGERMATCH-26JUN05WALLEG
# final_score=6-2 6-2
# match_winner=Adam Walton
# fav_player=Adam Walton
# dog_player=Timo Legout
# kalshi_date=2026-06-05
timestamp,Adam Walton,Timo Legout
2026-06-05T08:03:00Z,85.00,
2026-06-05T08:26:00Z,85.00,
2026-06-05T08:51:00Z,84.00,
2026-06-05T11:08:00Z,84.00,17.00
2026-06-05T11:40:00Z,84.00,17.00
2026-06-05T11:48:00Z,84.00,17.00
2026-06-05T11:49:00Z,84.00,18.00
2026-06-05T12:13:00Z,83.00,18.00
2026-06-05T13:05:00Z,83.00,18.00
2026-06-05T13:24:00Z,83.00,18.00
2026-06-05T13:31:00Z,82.00,18.00
2026-06-05T13:37:00Z,83.00,18.00
2026-06-05T13:55:00Z,83.00,18.00
2026-06-05T14:02:00Z,83.00,18.00
2026-06-05T14:10:00Z,83.00,18.00
2026-06-05T14:32:00Z,83.00,18.00
2026-06-05T14:53:00Z,83.00,18.00
2026-06-05T15:03:00Z,83.00,18.00
2026-06-05T15:10:00Z,83.00,18.00
2026-06-05T15:19:00Z,83.00,18.00
2026-06-05T15:22:00Z,83.00,18.00
2026-06-05T15:29:00Z,83.00,18.00
2026-06-05T15:35:00Z,83.00,18.00
2026-06-05T15:36:00Z,83.00,18.00
2026-06-05T15:37:00Z,83.00,18.00
2026-06-05T15:38:00Z,83.00,18.00
2026-06-05T15:40:00Z,83.00,17.00
2026-06-05T15:50:00Z,83.88,17.00
2026-06-05T15:51:00Z,84.00,17.00
2026-06-05T15:54:00Z,84.00,17.00
2026-06-05T15:56:00Z,84.00,17.00
2026-06-05T16:07:00Z,84.00,17.00
2026-06-05T16:10:00Z,84.00,17.00
2026-06-05T16:11:00Z,84.00,17.00
2026-06-05T16:20:00Z,84.00,17.00
2026-06-05T16:27:00Z,84.00,17.00
2026-06-05T16:28:00Z,84.00,17.00
2026-06-05T16:38:00Z,85.00,17.00
2026-06-05T16:39:00Z,85.00,17.00
2026-06-05T16:40:00Z,85.00,17.00
2026-06-05T16:49:00Z,85.00,17.00
2026-06-05T16:52:00Z,85.00,17.00
2026-06-05T16:53:00Z,85.00,17.00
2026-06-05T16:55:00Z,85.00,17.00
2026-06-05T16:56:00Z,85.00,17.00
2026-06-05T16:57:00Z,85.00,17.00
2026-06-05T17:03:00Z,85.00,17.00
2026-06-05T17:05:00Z,85.00,17.00
2026-06-05T17:06:00Z,85.00,17.00
2026-06-05T17:08:00Z,85.00,17.00
2026-06-05T17:14:00Z,85.00,17.00
2026-06-05T17:16:00Z,85.48,17.00
2026-06-05T17:17:00Z,85.48,17.00
2026-06-05T17:19:00Z,85.48,17.00
2026-06-05T17:24:00Z,85.00,17.00
2026-06-05T17:26:00Z,85.00,17.00
2026-06-05T17:31:00Z,84.00,16.00
2026-06-05T17:33:00Z,84.00,17.00
2026-06-05T17:36:00Z,84.00,17.00
