# event_ticker=KXATPCHALLENGERMATCH-26MAR12BORDUC
# final_score=3-6 6-4 6-2
# match_winner=Nuno Borges
# fav_player=Nuno Borges
# dog_player=James Duckworth
# kalshi_date=2026-03-12
timestamp,Nuno Borges,James Duckworth
2026-03-12T06:36:00Z,66.00,36.00
2026-03-12T11:09:00Z,66.00,29.00
2026-03-12T12:10:00Z,75.00,29.00
2026-03-12T12:51:00Z,74.00,29.00
2026-03-12T12:52:00Z,74.00,29.00
2026-03-12T13:08:00Z,74.00,29.00
2026-03-12T13:17:00Z,74.00,29.00
2026-03-12T13:42:00Z,74.00,29.00
2026-03-12T15:02:00Z,73.00,29.00
2026-03-12T15:22:00Z,74.00,29.00
2026-03-12T16:23:00Z,74.00,29.00
2026-03-12T16:56:00Z,74.00,29.00
2026-03-12T17:05:00Z,74.00,27.00
2026-03-12T17:49:00Z,73.00,29.00
2026-03-12T17:56:00Z,74.00,29.00
2026-03-12T17:57:00Z,74.00,29.00
2026-03-12T17:59:00Z,74.00,27.00
2026-03-12T18:01:00Z,74.00,27.00
2026-03-12T18:03:00Z,74.00,28.00
2026-03-12T18:04:00Z,73.00,28.22
2026-03-12T18:07:00Z,74.00,28.22
2026-03-12T18:08:00Z,74.00,28.22
2026-03-12T18:11:00Z,73.00,29.00
2026-03-12T18:12:00Z,73.12,29.00
2026-03-12T18:13:00Z,71.64,29.08
2026-03-12T18:14:00Z,71.00,29.99
2026-03-12T18:15:00Z,71.00,28.00
2026-03-12T18:16:00Z,71.00,29.73
2026-03-12T18:17:00Z,70.00,32.00
2026-03-12T18:18:00Z,67.22,35.00
2026-03-12T18:19:00Z,69.00,34.02
2026-03-12T18:20:00Z,57.26,39.10
2026-03-12T18:21:00Z,51.68,51.26
2026-03-12T18:22:00Z,50.00,53.30
2026-03-12T18:23:00Z,47.97,53.04
2026-03-12T18:24:00Z,48.00,53.62
2026-03-12T18:25:00Z,51.17,50.93
2026-03-12T18:26:00Z,50.54,50.04
2026-03-12T18:27:00Z,47.60,55.76
2026-03-12T18:28:00Z,46.00,55.20
2026-03-12T18:29:00Z,45.00,58.05
2026-03-12T18:30:00Z,44.53,56.76
