# event_ticker=KXATPMATCH-26APR12LANMUS
# final_score=7-5 6-2
# match_winner=Lorenzo Musetti
# fav_player=Lorenzo Musetti
# dog_player=Martin Landaluce
# kalshi_date=2026-04-12
timestamp,Lorenzo Musetti,Martin Landaluce
2026-04-13T23:20:00Z,79.00,
2026-04-13T23:25:00Z,79.00,22.00
2026-04-13T23:30:00Z,78.00,22.00
2026-04-13T23:36:00Z,79.00,22.00
2026-04-13T23:38:00Z,79.00,22.00
2026-04-13T23:50:00Z,79.00,22.00
2026-04-13T23:54:00Z,79.00,22.00
2026-04-13T23:56:00Z,79.00,21.90
2026-04-14T00:08:00Z,79.00,21.90
2026-04-14T00:18:00Z,79.00,22.00
2026-04-14T00:28:00Z,79.00,22.00
2026-04-14T00:42:00Z,79.00,22.00
2026-04-14T00:47:00Z,79.00,22.00
2026-04-14T00:49:00Z,79.00,22.00
2026-04-14T00:56:00Z,79.00,22.00
2026-04-14T01:04:00Z,79.00,22.00
2026-04-14T01:29:00Z,79.00,22.00
2026-04-14T01:35:00Z,79.00,22.00
2026-04-14T02:01:00Z,78.00,22.00
2026-04-14T02:15:00Z,80.00,22.00
2026-04-14T02:26:00Z,80.00,22.00
2026-04-14T02:32:00Z,80.00,22.00
2026-04-14T02:34:00Z,80.00,22.00
2026-04-14T02:41:00Z,80.00,22.00
2026-04-14T02:50:00Z,80.00,22.00
2026-04-14T02:51:00Z,80.00,22.00
2026-04-14T02:52:00Z,80.00,22.00
2026-04-14T02:54:00Z,80.00,22.00
2026-04-14T02:58:00Z,80.00,22.00
2026-04-14T03:04:00Z,80.00,22.00
2026-04-14T03:05:00Z,80.00,22.00
2026-04-14T03:07:00Z,80.00,22.00
2026-04-14T03:12:00Z,80.00,22.00
2026-04-14T03:23:00Z,80.00,22.00
2026-04-14T03:24:00Z,79.00,22.00
2026-04-14T03:25:00Z,79.00,22.00
2026-04-14T03:26:00Z,79.00,21.00
2026-04-14T03:37:00Z,80.00,21.00
2026-04-14T03:41:00Z,80.00,21.00
2026-04-14T03:42:00Z,80.00,21.00
2026-04-14T03:45:00Z,80.00,21.00
2026-04-14T04:04:00Z,80.00,21.00
2026-04-14T04:14:00Z,80.00,21.00
2026-04-14T04:23:00Z,80.00,21.00
2026-04-14T04:24:00Z,80.00,21.00
2026-04-14T04:26:00Z,80.00,21.00
2026-04-14T04:27:00Z,80.00,21.00
2026-04-14T04:31:00Z,80.00,21.00
2026-04-14T04:43:00Z,80.00,21.00
2026-04-14T05:08:00Z,80.00,21.00
2026-04-14T05:09:00Z,80.00,21.00
2026-04-14T05:20:00Z,80.00,21.00
2026-04-14T05:22:00Z,80.00,21.00
2026-04-14T05:23:00Z,80.00,21.00
2026-04-14T05:24:00Z,80.00,21.00
2026-04-14T05:35:00Z,80.00,20.69
2026-04-14T05:37:00Z,80.00,20.00
2026-04-14T05:38:00Z,80.00,20.00
2026-04-14T05:41:00Z,80.00,20.00
2026-04-14T05:42:00Z,80.00,20.00
2026-04-14T05:44:00Z,80.00,20.00
2026-04-14T05:50:00Z,80.00,20.00
