# event_ticker=KXATPMATCH-26MAR17MULBER
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Matteo Berrettini
# fav_player=Alexandre Muller
# dog_player=Matteo Berrettini
# kalshi_date=2026-03-17
timestamp,Alexandre Muller,Matteo Berrettini
2026-03-19T09:04:00Z,22.00,
2026-03-19T09:31:00Z,22.00,
2026-03-19T10:32:00Z,22.00,80.00
2026-03-19T10:42:00Z,22.00,80.00
2026-03-19T11:19:00Z,22.00,80.00
2026-03-19T11:29:00Z,22.00,80.00
2026-03-19T13:08:00Z,22.00,80.00
2026-03-19T13:09:00Z,22.00,80.00
2026-03-19T14:01:00Z,22.00,80.00
2026-03-19T14:13:00Z,22.00,80.00
2026-03-19T14:24:00Z,22.00,80.00
2026-03-19T14:31:00Z,22.00,80.00
2026-03-19T14:55:00Z,21.00,80.00
2026-03-19T14:56:00Z,21.00,80.00
2026-03-19T15:31:00Z,21.00,80.00
2026-03-19T16:13:00Z,21.00,79.00
2026-03-19T16:17:00Z,21.00,79.00
2026-03-19T16:26:00Z,21.00,79.00
2026-03-19T16:32:00Z,21.00,80.00
2026-03-19T16:34:00Z,21.00,80.00
2026-03-19T16:45:00Z,21.00,80.00
2026-03-19T16:55:00Z,21.00,80.00
2026-03-19T16:58:00Z,21.00,80.00
2026-03-19T17:01:00Z,21.00,80.00
2026-03-19T17:05:00Z,21.00,80.00
2026-03-19T17:14:00Z,21.00,80.00
2026-03-19T17:19:00Z,21.00,80.00
2026-03-19T17:22:00Z,21.00,79.00
2026-03-19T17:27:00Z,21.00,79.00
2026-03-19T17:31:00Z,21.00,80.00
2026-03-19T17:38:00Z,21.00,79.00
2026-03-19T17:42:00Z,21.00,80.00
2026-03-19T17:43:00Z,21.00,80.00
2026-03-19T17:45:00Z,21.00,80.00
2026-03-19T17:46:00Z,21.00,79.00
2026-03-19T17:48:00Z,21.00,79.00
2026-03-19T17:50:00Z,21.00,80.00
2026-03-19T18:07:00Z,21.00,80.00
2026-03-19T18:10:00Z,21.00,80.00
