# event_ticker=KXATPCHALLENGERMATCH-26FEB23BUDBER
# final_score=6-1 6-4
# score_resolution=1-6 4-6
# match_winner=Nicolai Budkov Kjaer
# fav_player=Henry Bernet
# dog_player=Nicolai Budkov Kjaer
# kalshi_date=2026-02-23
timestamp,Henry Bernet,Nicolai Budkov Kjaer
2026-02-23T06:31:00Z,45.00,60.00
2026-02-23T08:03:00Z,45.00,70.00
2026-02-23T08:04:00Z,45.00,70.00
2026-02-23T08:05:00Z,33.00,70.09
2026-02-23T08:06:00Z,33.00,70.00
2026-02-23T08:50:00Z,33.00,70.50
2026-02-23T09:19:00Z,33.00,63.33
2026-02-23T10:18:00Z,34.00,65.00
2026-02-23T10:26:00Z,34.00,66.00
2026-02-23T11:54:00Z,34.00,66.00
2026-02-23T12:34:00Z,34.00,66.00
2026-02-23T12:48:00Z,34.00,66.00
2026-02-23T12:52:00Z,34.00,66.00
2026-02-23T12:59:00Z,34.00,66.00
2026-02-23T13:12:00Z,34.00,65.00
2026-02-23T13:14:00Z,36.00,65.00
2026-02-23T13:19:00Z,37.00,65.00
2026-02-23T13:40:00Z,37.00,66.00
2026-02-23T13:42:00Z,37.00,66.00
2026-02-23T13:46:00Z,37.00,66.00
2026-02-23T14:03:00Z,38.00,66.00
2026-02-23T14:10:00Z,38.00,66.00
2026-02-23T14:12:00Z,38.00,66.00
2026-02-23T14:15:00Z,38.00,66.00
2026-02-23T14:43:00Z,38.00,66.00
2026-02-23T14:44:00Z,38.00,66.00
2026-02-23T14:45:00Z,38.00,67.00
2026-02-23T14:47:00Z,36.00,66.97
2026-02-23T14:48:00Z,37.00,67.00
2026-02-23T14:57:00Z,36.00,67.00
2026-02-23T15:04:00Z,36.00,67.00
2026-02-23T15:14:00Z,36.00,67.00
2026-02-23T15:15:00Z,36.00,67.00
2026-02-23T15:22:00Z,36.00,67.00
2026-02-23T15:24:00Z,36.00,67.00
2026-02-23T15:36:00Z,36.00,67.00
2026-02-23T15:38:00Z,36.00,67.00
2026-02-23T15:41:00Z,36.00,67.00
2026-02-23T15:44:00Z,36.00,67.00
2026-02-23T15:50:00Z,36.00,67.00
2026-02-23T15:58:00Z,36.00,67.00
2026-02-23T16:04:00Z,33.00,67.00
2026-02-23T16:05:00Z,33.00,67.00
2026-02-23T16:11:00Z,33.00,67.19
2026-02-23T16:12:00Z,33.00,68.00
2026-02-23T16:13:00Z,33.00,68.00
2026-02-23T16:15:00Z,33.00,68.00
2026-02-23T16:20:00Z,33.00,68.00
2026-02-23T16:30:00Z,33.00,68.00
2026-02-23T16:39:00Z,33.00,68.00
2026-02-23T16:40:00Z,33.00,68.00
2026-02-23T16:45:00Z,33.00,68.00
2026-02-23T16:46:00Z,33.00,68.00
2026-02-23T16:48:00Z,33.00,68.00
2026-02-23T16:50:00Z,33.00,68.00
2026-02-23T16:56:00Z,33.00,68.00
2026-02-23T16:57:00Z,33.00,68.00
2026-02-23T16:59:00Z,35.00,68.00
2026-02-23T17:02:00Z,33.36,69.00
2026-02-23T17:03:00Z,34.00,69.00
2026-02-23T17:04:00Z,33.00,69.97
2026-02-23T17:05:00Z,33.00,69.34
2026-02-23T17:06:00Z,30.17,70.41
2026-02-23T17:07:00Z,31.98,70.06
2026-02-23T17:08:00Z,29.36,71.99
2026-02-23T17:09:00Z,30.85,70.35
2026-02-23T17:10:00Z,30.87,70.38
2026-02-23T17:11:00Z,27.66,74.31
2026-02-23T17:12:00Z,29.07,74.03
2026-02-23T17:13:00Z,24.49,75.99
2026-02-23T17:14:00Z,26.57,73.52
2026-02-23T17:15:00Z,25.36,76.92
2026-02-23T17:16:00Z,23.23,79.72
2026-02-23T17:17:00Z,23.26,78.61
2026-02-23T17:18:00Z,24.59,75.89
2026-02-23T17:19:00Z,24.39,76.41
2026-02-23T17:20:00Z,15.50,85.48
2026-02-23T17:21:00Z,12.81,88.58
2026-02-23T17:22:00Z,17.00,83.76
2026-02-23T17:23:00Z,18.68,81.18
2026-02-23T17:24:00Z,16.78,85.30
2026-02-23T17:25:00Z,16.78,85.23
2026-02-23T17:26:00Z,12.85,87.35
2026-02-23T17:27:00Z,12.00,89.49
2026-02-23T17:28:00Z,9.51,91.46
2026-02-23T17:29:00Z,8.00,93.49
2026-02-23T17:30:00Z,7.19,92.09
2026-02-23T17:31:00Z,7.57,93.00
2026-02-23T17:32:00Z,7.76,92.47
2026-02-23T17:33:00Z,7.59,93.13
2026-02-23T17:34:00Z,5.70,93.82
2026-02-23T17:35:00Z,7.46,94.05
2026-02-23T17:36:00Z,7.18,93.00
2026-02-23T17:37:00Z,6.48,93.68
2026-02-23T17:38:00Z,7.59,93.24
2026-02-23T17:39:00Z,7.00,93.41
2026-02-23T17:40:00Z,7.35,92.95
2026-02-23T17:41:00Z,7.21,92.95
2026-02-23T17:42:00Z,8.00,92.96
2026-02-23T17:43:00Z,7.25,93.93
2026-02-23T17:44:00Z,7.12,93.98
2026-02-23T17:45:00Z,7.58,94.02
2026-02-23T17:46:00Z,8.30,93.86
2026-02-23T17:47:00Z,7.49,92.42
2026-02-23T17:48:00Z,8.03,94.03
2026-02-23T17:49:00Z,9.27,92.16
2026-02-23T17:50:00Z,9.76,92.62
2026-02-23T17:51:00Z,7.31,93.84
2026-02-23T17:52:00Z,7.39,93.00
2026-02-23T17:53:00Z,5.01,95.14
2026-02-23T17:54:00Z,4.32,95.78
2026-02-23T17:55:00Z,5.30,94.22
2026-02-23T17:56:00Z,6.04,93.66
2026-02-23T17:57:00Z,3.56,96.69
2026-02-23T17:58:00Z,3.30,97.48
2026-02-23T17:59:00Z,2.05,97.69
2026-02-23T18:00:00Z,1.04,98.41
2026-02-23T18:01:00Z,1.50,99.00
2026-02-23T18:02:00Z,1.00,98.90
2026-02-23T18:03:00Z,1.07,99.00
2026-02-23T18:04:00Z,1.96,98.18
2026-02-23T18:05:00Z,2.00,98.08
2026-02-23T18:06:00Z,2.38,97.59
2026-02-23T18:07:00Z,3.78,96.15
2026-02-23T18:08:00Z,6.59,95.67
