# event_ticker=KXATPCHALLENGERMATCH-26MAR23PRADUT
# final_score=6-4 7-6(6)
# score_resolution=6-4 7-6
# match_winner=Juan Carlos Prado Angelo
# fav_player=Juan Carlos Prado Angelo
# dog_player=Daniel Dutra Da Silva
# kalshi_date=2026-03-23
timestamp,Juan Carlos Prado Angelo,Daniel Dutra Da Silva
2026-03-23T06:52:00Z,82.00,
2026-03-23T10:24:00Z,67.00,
2026-03-23T13:29:00Z,68.00,
2026-03-23T14:46:00Z,68.00,34.00
2026-03-23T15:20:00Z,68.00,34.00
2026-03-23T16:21:00Z,69.00,34.00
2026-03-23T16:36:00Z,69.00,34.00
2026-03-23T16:55:00Z,69.00,34.00
2026-03-23T17:22:00Z,69.00,34.00
2026-03-23T17:30:00Z,69.00,34.00
2026-03-23T17:50:00Z,69.00,34.00
2026-03-23T17:55:00Z,69.00,34.00
2026-03-23T17:57:00Z,70.00,34.00
2026-03-23T18:02:00Z,68.87,34.00
2026-03-23T18:03:00Z,69.11,34.00
2026-03-23T18:09:00Z,67.00,34.00
2026-03-23T18:10:00Z,65.00,34.00
2026-03-23T18:11:00Z,64.00,37.11
2026-03-23T18:12:00Z,63.00,37.11
2026-03-23T18:13:00Z,59.00,46.90
2026-03-23T18:14:00Z,59.00,54.00
2026-03-23T18:15:00Z,50.56,54.33
2026-03-23T18:16:00Z,50.56,50.00
2026-03-23T18:18:00Z,55.00,42.00
2026-03-23T18:19:00Z,59.78,40.00
2026-03-23T18:20:00Z,59.78,42.85
2026-03-23T18:21:00Z,52.05,45.00
2026-03-23T18:22:00Z,57.00,45.09
2026-03-23T18:23:00Z,47.02,52.94
2026-03-23T18:24:00Z,40.00,59.67
2026-03-23T18:25:00Z,39.00,62.00
2026-03-23T18:26:00Z,38.73,62.00
2026-03-23T18:27:00Z,38.41,62.00
2026-03-23T18:28:00Z,38.04,62.89
2026-03-23T18:29:00Z,42.37,60.59
2026-03-23T18:30:00Z,42.08,59.73
2026-03-23T18:31:00Z,46.81,56.39
2026-03-23T18:32:00Z,51.55,48.72
2026-03-23T18:33:00Z,46.99,54.84
2026-03-23T18:34:00Z,43.46,60.77
2026-03-23T18:35:00Z,38.00,63.00
2026-03-23T18:36:00Z,39.69,62.58
2026-03-23T18:37:00Z,42.12,60.53
2026-03-23T18:38:00Z,42.18,57.95
2026-03-23T18:39:00Z,44.06,59.57
2026-03-23T18:40:00Z,36.53,63.87
2026-03-23T18:41:00Z,36.00,64.88
2026-03-23T18:42:00Z,36.00,65.00
2026-03-23T18:43:00Z,36.00,65.00
2026-03-23T18:44:00Z,36.00,65.00
2026-03-23T18:45:00Z,37.18,66.75
2026-03-23T18:46:00Z,40.89,58.88
2026-03-23T18:47:00Z,40.46,59.44
2026-03-23T18:48:00Z,41.78,59.69
2026-03-23T18:49:00Z,42.05,56.58
2026-03-23T18:50:00Z,43.59,57.50
2026-03-23T18:51:00Z,39.00,58.98
2026-03-23T18:52:00Z,47.37,59.08
2026-03-23T18:53:00Z,54.84,45.57
2026-03-23T18:54:00Z,58.05,42.12
2026-03-23T18:55:00Z,59.74,43.00
2026-03-23T18:56:00Z,59.00,41.00
2026-03-23T18:57:00Z,59.61,40.00
2026-03-23T18:58:00Z,64.50,40.00
2026-03-23T18:59:00Z,67.69,32.42
2026-03-23T19:00:00Z,67.16,29.02
2026-03-23T19:01:00Z,71.99,30.00
2026-03-23T19:02:00Z,66.75,31.74
2026-03-23T19:03:00Z,66.00,33.01
2026-03-23T19:04:00Z,62.49,37.17
2026-03-23T19:05:00Z,61.00,37.00
2026-03-23T19:06:00Z,61.00,37.66
2026-03-23T19:07:00Z,63.35,35.81
2026-03-23T19:08:00Z,68.80,31.43
2026-03-23T19:09:00Z,71.00,31.43
2026-03-23T19:10:00Z,66.00,36.19
2026-03-23T19:11:00Z,65.99,35.00
2026-03-23T19:12:00Z,64.14,31.60
2026-03-23T19:13:00Z,63.77,31.60
2026-03-23T19:14:00Z,63.77,35.00
2026-03-23T19:15:00Z,60.23,37.00
2026-03-23T19:16:00Z,61.00,37.00
2026-03-23T19:17:00Z,63.00,38.00
2026-03-23T19:18:00Z,61.68,40.87
2026-03-23T19:19:00Z,64.14,35.08
2026-03-23T19:20:00Z,67.00,33.08
2026-03-23T19:21:00Z,66.00,34.05
2026-03-23T19:22:00Z,66.03,34.00
2026-03-23T19:23:00Z,66.35,34.00
2026-03-23T19:24:00Z,67.00,34.00
2026-03-23T19:25:00Z,67.00,34.00
2026-03-23T19:26:00Z,67.00,34.66
2026-03-23T19:27:00Z,64.40,36.00
2026-03-23T19:28:00Z,59.82,39.64
2026-03-23T19:29:00Z,59.82,41.57
2026-03-23T19:30:00Z,58.27,42.11
2026-03-23T19:31:00Z,56.55,45.00
2026-03-23T19:32:00Z,52.06,50.26
2026-03-23T19:33:00Z,56.24,40.84
2026-03-23T19:34:00Z,63.68,36.00
2026-03-23T19:35:00Z,63.68,36.00
2026-03-23T19:36:00Z,75.10,29.24
2026-03-23T19:37:00Z,76.43,23.15
2026-03-23T19:38:00Z,82.36,17.00
2026-03-23T19:39:00Z,82.16,17.00
2026-03-23T19:40:00Z,83.05,16.74
2026-03-23T19:41:00Z,86.31,13.97
2026-03-23T19:42:00Z,87.76,13.97
2026-03-23T19:43:00Z,90.77,10.60
2026-03-23T19:44:00Z,91.58,10.00
2026-03-23T19:45:00Z,91.44,10.09
2026-03-23T19:46:00Z,91.58,10.55
2026-03-23T19:47:00Z,91.71,8.51
2026-03-23T19:48:00Z,91.71,11.00
2026-03-23T19:49:00Z,86.59,14.90
2026-03-23T19:50:00Z,92.34,14.90
