# event_ticker=KXATPCHALLENGERMATCH-26APR28JERJOH
# final_score=6-1 6-3
# match_winner=Garrett Johns
# fav_player=Garrett Johns
# dog_player=Jan Jermar
# kalshi_date=2026-04-28
timestamp,Jan Jermar,Garrett Johns
2026-04-28T05:21:00Z,9.00,
2026-04-28T07:46:00Z,9.00,
2026-04-28T09:35:00Z,9.00,
2026-04-28T10:02:00Z,9.00,
2026-04-28T10:09:00Z,9.00,
2026-04-28T10:25:00Z,9.00,
2026-04-28T10:34:00Z,9.00,
2026-04-28T10:39:00Z,6.22,
2026-04-28T10:41:00Z,7.00,93.00
2026-04-28T10:42:00Z,5.54,93.35
2026-04-28T10:43:00Z,5.00,96.00
2026-04-28T10:44:00Z,5.00,96.00
2026-04-28T10:45:00Z,7.00,96.00
2026-04-28T10:47:00Z,8.79,96.00
2026-04-28T10:48:00Z,7.00,94.00
2026-04-28T10:49:00Z,7.00,94.00
2026-04-28T10:50:00Z,6.00,93.00
2026-04-28T10:51:00Z,9.82,91.38
2026-04-28T10:52:00Z,9.24,91.00
2026-04-28T10:53:00Z,9.00,93.63
2026-04-28T10:54:00Z,5.00,95.20
2026-04-28T10:56:00Z,4.86,95.20
2026-04-28T10:57:00Z,4.86,96.00
2026-04-28T10:59:00Z,4.66,97.00
2026-04-28T11:00:00Z,3.00,97.00
2026-04-28T11:02:00Z,4.00,97.00
2026-04-28T11:03:00Z,4.00,97.00
2026-04-28T11:04:00Z,2.00,97.00
2026-04-28T11:05:00Z,2.00,98.00
2026-04-28T11:06:00Z,2.00,98.00
2026-04-28T11:07:00Z,3.00,98.00
2026-04-28T11:08:00Z,2.94,98.00
2026-04-28T11:09:00Z,2.00,98.00
2026-04-28T11:10:00Z,3.52,98.00
2026-04-28T11:11:00Z,3.52,99.00
2026-04-28T11:12:00Z,2.95,98.00
2026-04-28T11:13:00Z,2.05,98.00
2026-04-28T11:14:00Z,2.00,99.00
2026-04-28T11:15:00Z,2.00,99.00
2026-04-28T11:16:00Z,2.00,99.00
2026-04-28T11:21:00Z,2.00,99.00
2026-04-28T11:23:00Z,1.00,99.00
2026-04-28T11:24:00Z,1.00,99.00
2026-04-28T11:25:00Z,1.00,99.00
2026-04-28T11:26:00Z,1.00,99.00
2026-04-28T11:33:00Z,1.00,99.00
2026-04-28T11:34:00Z,1.00,99.00
