# event_ticker=KXATPCHALLENGERMATCH-26MAR31FATBON
# final_score=7-6(1) 6-3
# score_resolution=6-7 3-6
# match_winner=Nerman Fatic
# fav_player=Federico Bondioli
# dog_player=Nerman Fatic
# kalshi_date=2026-03-31
timestamp,Federico Bondioli,Nerman Fatic
2026-04-02T02:16:00Z,55.00,
2026-04-02T03:53:00Z,55.24,
2026-04-02T04:31:00Z,55.24,46.00
2026-04-02T04:54:00Z,55.24,46.00
2026-04-02T05:06:00Z,56.00,46.00
2026-04-02T06:00:00Z,56.00,46.00
2026-04-02T06:55:00Z,56.00,46.00
2026-04-02T09:18:00Z,56.00,46.00
2026-04-02T09:46:00Z,56.00,46.00
2026-04-02T09:50:00Z,56.00,46.00
2026-04-02T10:03:00Z,56.00,46.00
2026-04-02T10:08:00Z,56.00,46.00
2026-04-02T10:16:00Z,56.00,46.00
2026-04-02T10:27:00Z,56.00,46.00
2026-04-02T10:31:00Z,56.00,46.00
2026-04-02T10:32:00Z,56.00,46.00
2026-04-02T10:36:00Z,56.00,46.00
2026-04-02T10:41:00Z,56.00,47.00
2026-04-02T10:47:00Z,56.00,47.00
2026-04-02T10:59:00Z,54.00,47.00
2026-04-02T11:00:00Z,54.00,47.00
2026-04-02T11:01:00Z,54.00,48.00
2026-04-02T11:08:00Z,54.00,48.00
2026-04-02T11:12:00Z,54.00,48.00
2026-04-02T11:18:00Z,54.00,48.63
2026-04-02T11:23:00Z,53.41,48.63
2026-04-02T11:40:00Z,51.00,48.63
2026-04-02T11:48:00Z,54.00,48.63
2026-04-02T12:04:00Z,55.00,48.63
2026-04-02T12:11:00Z,55.00,48.63
2026-04-02T12:12:00Z,55.00,48.63
2026-04-02T12:17:00Z,55.00,47.00
2026-04-02T12:19:00Z,54.41,47.00
2026-04-02T12:26:00Z,55.00,47.00
2026-04-02T12:28:00Z,56.00,47.00
2026-04-02T12:29:00Z,56.00,47.09
2026-04-02T12:31:00Z,56.00,47.00
2026-04-02T12:37:00Z,59.28,42.00
2026-04-02T12:40:00Z,56.00,41.00
2026-04-02T12:41:00Z,57.00,46.92
2026-04-02T12:42:00Z,57.00,47.64
2026-04-02T12:44:00Z,61.33,41.50
2026-04-02T12:45:00Z,54.67,48.41
2026-04-02T12:46:00Z,54.67,45.00
2026-04-02T12:47:00Z,63.36,42.04
2026-04-02T12:48:00Z,61.98,45.70
2026-04-02T12:50:00Z,57.74,47.00
2026-04-02T12:51:00Z,63.00,45.07
2026-04-02T12:52:00Z,63.00,44.00
2026-04-02T12:53:00Z,56.11,46.64
2026-04-02T12:54:00Z,57.00,46.17
2026-04-02T12:55:00Z,52.17,46.35
2026-04-02T12:56:00Z,50.09,49.86
2026-04-02T12:57:00Z,52.87,49.20
2026-04-02T12:58:00Z,55.52,46.68
2026-04-02T12:59:00Z,53.62,48.30
2026-04-02T13:00:00Z,50.86,51.82
2026-04-02T13:01:00Z,50.55,50.36
2026-04-02T13:02:00Z,50.98,51.30
2026-04-02T13:03:00Z,54.97,46.36
2026-04-02T13:04:00Z,54.72,48.12
2026-04-02T13:05:00Z,58.54,42.51
2026-04-02T13:06:00Z,63.05,37.81
2026-04-02T13:07:00Z,65.19,39.91
2026-04-02T13:08:00Z,61.98,37.37
2026-04-02T13:09:00Z,57.49,45.81
2026-04-02T13:10:00Z,55.29,43.96
2026-04-02T13:11:00Z,64.62,42.94
2026-04-02T13:12:00Z,61.64,40.18
2026-04-02T13:13:00Z,56.11,45.16
2026-04-02T13:14:00Z,59.24,42.58
2026-04-02T13:15:00Z,66.61,33.57
2026-04-02T13:16:00Z,70.00,29.71
2026-04-02T13:17:00Z,67.25,34.18
2026-04-02T13:18:00Z,61.30,42.41
2026-04-02T13:19:00Z,65.93,32.97
2026-04-02T13:20:00Z,64.47,37.32
2026-04-02T13:21:00Z,70.55,31.87
2026-04-02T13:22:00Z,68.46,31.10
2026-04-02T13:23:00Z,68.00,41.13
2026-04-02T13:24:00Z,68.17,33.01
2026-04-02T13:25:00Z,69.91,33.37
2026-04-02T13:26:00Z,67.16,33.77
2026-04-02T13:27:00Z,68.53,33.80
2026-04-02T13:28:00Z,65.04,36.75
2026-04-02T13:29:00Z,63.29,37.95
2026-04-02T13:30:00Z,67.58,36.31
2026-04-02T13:31:00Z,62.00,39.99
2026-04-02T13:32:00Z,55.04,46.20
2026-04-02T13:33:00Z,60.27,37.80
2026-04-02T13:34:00Z,56.45,42.34
2026-04-02T13:35:00Z,51.53,49.11
2026-04-02T13:36:00Z,48.78,51.75
2026-04-02T13:37:00Z,46.98,54.40
2026-04-02T13:38:00Z,49.71,49.87
2026-04-02T13:39:00Z,53.87,45.91
2026-04-02T13:40:00Z,60.78,41.19
2026-04-02T13:41:00Z,57.76,43.04
2026-04-02T13:42:00Z,61.20,39.21
2026-04-02T13:43:00Z,55.84,46.55
2026-04-02T13:44:00Z,63.41,42.11
2026-04-02T13:45:00Z,64.99,40.93
2026-04-02T13:46:00Z,63.24,36.40
2026-04-02T13:47:00Z,61.32,40.69
2026-04-02T13:48:00Z,54.37,46.31
2026-04-02T13:49:00Z,52.02,49.96
2026-04-02T13:50:00Z,51.17,49.90
2026-04-02T13:51:00Z,47.46,47.69
2026-04-02T13:52:00Z,42.82,58.53
2026-04-02T13:53:00Z,40.57,61.77
2026-04-02T13:54:00Z,40.38,59.91
2026-04-02T13:55:00Z,49.57,51.97
2026-04-02T13:56:00Z,49.31,50.20
2026-04-02T13:57:00Z,55.15,46.59
2026-04-02T13:58:00Z,57.50,42.27
2026-04-02T13:59:00Z,57.87,42.23
2026-04-02T14:00:00Z,54.13,48.28
2026-04-02T14:01:00Z,55.63,49.24
2026-04-02T14:02:00Z,55.47,42.58
2026-04-02T14:03:00Z,57.83,45.75
2026-04-02T14:04:00Z,54.23,46.68
2026-04-02T14:05:00Z,49.75,51.51
2026-04-02T14:06:00Z,50.05,50.86
2026-04-02T14:07:00Z,55.16,45.60
2026-04-02T14:08:00Z,59.07,41.00
2026-04-02T14:09:00Z,59.13,43.56
2026-04-02T14:10:00Z,55.85,44.83
2026-04-02T14:11:00Z,54.98,44.51
2026-04-02T14:12:00Z,52.69,47.07
2026-04-02T14:13:00Z,52.92,48.26
2026-04-02T14:14:00Z,53.94,50.36
2026-04-02T14:15:00Z,57.02,46.83
2026-04-02T14:16:00Z,61.54,41.43
2026-04-02T14:17:00Z,62.07,38.27
2026-04-02T14:18:00Z,58.22,42.11
2026-04-02T14:19:00Z,53.63,48.84
2026-04-02T14:20:00Z,47.99,53.40
2026-04-02T14:21:00Z,41.18,61.82
2026-04-02T14:22:00Z,34.24,65.54
2026-04-02T14:23:00Z,32.94,67.20
2026-04-02T14:24:00Z,32.92,66.75
2026-04-02T14:25:00Z,33.31,66.30
2026-04-02T14:26:00Z,34.58,66.25
2026-04-02T14:27:00Z,31.86,68.40
2026-04-02T14:28:00Z,31.73,69.26
2026-04-02T14:29:00Z,27.97,73.34
2026-04-02T14:30:00Z,18.44,82.47
2026-04-02T14:31:00Z,15.95,84.46
2026-04-02T14:32:00Z,13.53,86.94
2026-04-02T14:33:00Z,11.85,88.89
2026-04-02T14:34:00Z,11.61,89.72
2026-04-02T14:35:00Z,14.37,86.25
2026-04-02T14:36:00Z,14.99,85.99
2026-04-02T14:37:00Z,20.91,81.97
2026-04-02T14:38:00Z,21.84,77.61
2026-04-02T14:39:00Z,19.18,80.84
2026-04-02T14:40:00Z,15.45,86.44
2026-04-02T14:41:00Z,13.61,86.95
2026-04-02T14:42:00Z,14.73,85.10
2026-04-02T14:43:00Z,13.54,87.44
2026-04-02T14:44:00Z,11.49,89.58
2026-04-02T14:45:00Z,13.46,85.46
2026-04-02T14:46:00Z,16.81,84.97
2026-04-02T14:47:00Z,12.07,86.49
2026-04-02T14:48:00Z,9.39,90.45
2026-04-02T14:49:00Z,12.08,88.68
2026-04-02T14:50:00Z,12.70,88.93
2026-04-02T14:51:00Z,12.10,88.60
2026-04-02T14:52:00Z,12.31,88.60
2026-04-02T14:53:00Z,9.11,92.33
2026-04-02T14:54:00Z,5.49,94.74
2026-04-02T14:55:00Z,3.58,97.34
2026-04-02T14:56:00Z,1.80,98.31
2026-04-02T14:57:00Z,1.95,97.48
2026-04-02T14:58:00Z,1.95,99.00
2026-04-02T14:59:00Z,1.95,99.00
2026-04-02T15:00:00Z,1.95,99.00
2026-04-02T15:01:00Z,1.95,99.00
2026-04-02T15:02:00Z,1.95,99.00
