# event_ticker=KXATPCHALLENGERMATCH-26MAR24SAKJOR
# final_score=6-1 1-6 7-5
# score_resolution=1-6 6-1 5-7
# match_winner=Stefanos Sakellaridis
# fav_player=David Jorda Sanchis
# dog_player=Stefanos Sakellaridis
# kalshi_date=2026-03-24
timestamp,David Jorda Sanchis,Stefanos Sakellaridis
2026-03-24T05:21:00Z,,60.00
2026-03-24T06:03:00Z,39.00,60.00
2026-03-24T06:54:00Z,39.00,60.00
2026-03-24T08:01:00Z,41.00,60.00
2026-03-24T08:09:00Z,41.00,60.69
2026-03-24T08:23:00Z,41.00,61.00
2026-03-24T08:35:00Z,41.00,61.00
2026-03-24T09:06:00Z,41.00,61.00
2026-03-24T09:07:00Z,39.00,61.00
2026-03-24T09:51:00Z,40.00,61.00
2026-03-24T09:56:00Z,40.00,61.00
2026-03-24T10:27:00Z,40.00,61.00
2026-03-24T10:59:00Z,40.00,61.00
2026-03-24T11:49:00Z,40.00,61.00
2026-03-24T11:59:00Z,40.00,61.00
2026-03-24T12:08:00Z,40.00,61.00
2026-03-24T12:14:00Z,40.00,61.00
2026-03-24T12:16:00Z,40.00,61.00
2026-03-24T12:23:00Z,40.00,61.86
2026-03-24T12:27:00Z,40.00,62.00
2026-03-24T12:29:00Z,40.00,62.67
2026-03-24T13:56:00Z,39.00,62.68
2026-03-24T13:59:00Z,39.11,62.68
2026-03-24T14:12:00Z,40.00,62.68
2026-03-24T14:20:00Z,40.00,62.00
2026-03-24T14:23:00Z,40.00,62.00
2026-03-24T14:26:00Z,40.00,62.00
2026-03-24T14:32:00Z,40.00,62.00
2026-03-24T15:00:00Z,40.00,62.00
2026-03-24T15:26:00Z,39.00,62.00
2026-03-24T15:59:00Z,39.00,62.00
2026-03-24T16:05:00Z,39.00,62.00
2026-03-24T16:18:00Z,39.00,62.86
2026-03-24T16:22:00Z,39.00,63.00
2026-03-24T16:27:00Z,39.00,63.00
2026-03-24T16:28:00Z,39.00,63.00
2026-03-24T16:29:00Z,37.00,63.00
2026-03-24T16:30:00Z,37.00,63.00
2026-03-24T16:31:00Z,37.00,63.00
2026-03-24T16:32:00Z,40.00,63.00
2026-03-24T16:33:00Z,37.33,63.00
2026-03-24T16:43:00Z,37.33,63.00
2026-03-24T16:45:00Z,37.33,63.00
2026-03-24T16:47:00Z,37.33,63.00
2026-03-24T16:48:00Z,37.33,59.31
2026-03-24T16:49:00Z,37.33,56.00
2026-03-24T16:51:00Z,44.00,56.00
2026-03-24T16:54:00Z,44.00,58.00
2026-03-24T16:55:00Z,44.00,58.00
2026-03-24T16:57:00Z,44.00,58.00
