# event_ticker=KXATPCHALLENGERMATCH-26APR14PURZIN
# final_score=4-6 7-6(6) 6-1
# score_resolution=6-4 6-7 1-6
# match_winner=Tyler Zink
# fav_player=Saba Purtseladze
# dog_player=Tyler Zink
# kalshi_date=2026-04-14
timestamp,Saba Purtseladze,Tyler Zink
2026-04-14T10:30:00Z,,73.00
2026-04-14T12:54:00Z,,76.00
2026-04-14T13:14:00Z,,81.00
2026-04-14T14:08:00Z,,81.00
2026-04-14T16:06:00Z,,83.00
2026-04-14T16:13:00Z,,83.00
2026-04-14T17:06:00Z,19.00,83.00
2026-04-14T18:14:00Z,19.00,84.00
2026-04-14T18:19:00Z,19.00,84.00
2026-04-14T18:23:00Z,19.00,84.00
2026-04-14T18:47:00Z,19.00,84.00
2026-04-14T18:49:00Z,19.00,83.00
2026-04-14T18:58:00Z,19.00,83.00
2026-04-14T19:06:00Z,19.00,79.00
2026-04-14T19:16:00Z,19.00,83.00
2026-04-14T19:29:00Z,19.00,83.00
2026-04-14T19:35:00Z,19.89,83.00
2026-04-14T19:48:00Z,19.75,83.00
2026-04-14T19:56:00Z,19.75,83.00
2026-04-14T20:14:00Z,19.00,83.00
2026-04-14T20:15:00Z,19.00,83.00
2026-04-14T20:21:00Z,19.00,83.00
2026-04-14T20:25:00Z,17.80,83.00
2026-04-14T20:26:00Z,19.00,83.00
2026-04-14T20:27:00Z,19.00,83.00
2026-04-14T20:32:00Z,19.00,83.00
2026-04-14T20:33:00Z,19.00,83.00
2026-04-14T20:34:00Z,19.00,83.00
2026-04-14T20:35:00Z,18.39,83.09
2026-04-14T20:36:00Z,18.96,82.11
2026-04-14T20:37:00Z,20.82,81.45
2026-04-14T20:38:00Z,23.33,78.72
2026-04-14T20:39:00Z,16.38,83.00
2026-04-14T20:40:00Z,15.41,84.73
2026-04-14T20:41:00Z,14.00,84.73
2026-04-14T20:42:00Z,13.96,85.07
2026-04-14T20:43:00Z,11.51,88.00
2026-04-14T20:44:00Z,11.80,87.47
2026-04-14T20:45:00Z,13.00,87.47
2026-04-14T20:46:00Z,15.45,85.00
2026-04-14T20:47:00Z,16.22,85.00
2026-04-14T20:48:00Z,15.88,84.02
