# event_ticker=KXATPCHALLENGERMATCH-26APR22HAMWEI
# final_score=6-4 6-1
# match_winner=Samir Hamza Reguig
# fav_player=Samir Hamza Reguig
# dog_player=Oscar Weightman
# kalshi_date=2026-04-22
timestamp,Samir Hamza Reguig,Oscar Weightman
2026-04-22T06:08:00Z,,50.00
2026-04-22T06:18:00Z,,55.00
2026-04-22T06:38:00Z,,55.95
2026-04-22T07:12:00Z,35.00,55.95
2026-04-22T09:56:00Z,35.00,70.00
2026-04-22T10:16:00Z,31.00,70.00
2026-04-22T12:13:00Z,32.00,70.00
2026-04-22T12:16:00Z,31.00,70.00
2026-04-22T12:39:00Z,32.00,70.00
2026-04-22T13:23:00Z,31.00,71.00
2026-04-22T13:47:00Z,31.00,71.00
2026-04-22T14:57:00Z,31.00,71.00
2026-04-22T15:11:00Z,31.00,73.00
2026-04-22T16:30:00Z,31.00,73.00
2026-04-22T16:44:00Z,30.44,73.00
2026-04-22T16:46:00Z,30.44,70.00
2026-04-22T16:47:00Z,25.56,73.00
2026-04-22T16:48:00Z,29.00,73.00
2026-04-22T16:50:00Z,33.00,73.00
2026-04-22T16:52:00Z,34.00,66.00
2026-04-22T16:54:00Z,38.00,67.67
2026-04-22T16:55:00Z,38.00,67.00
2026-04-22T16:56:00Z,38.00,66.00
2026-04-22T16:57:00Z,38.00,66.00
2026-04-22T16:58:00Z,38.00,64.14
2026-04-22T16:59:00Z,43.93,55.40
2026-04-22T17:00:00Z,45.77,52.17
2026-04-22T17:01:00Z,46.00,53.43
2026-04-22T17:02:00Z,46.01,54.00
2026-04-22T17:03:00Z,44.24,54.00
2026-04-22T17:04:00Z,46.42,53.38
2026-04-22T17:05:00Z,45.88,53.80
2026-04-22T17:06:00Z,47.19,52.18
2026-04-22T17:07:00Z,50.65,49.22
2026-04-22T17:08:00Z,48.29,53.43
2026-04-22T17:09:00Z,46.22,53.64
2026-04-22T17:10:00Z,44.44,55.62
2026-04-22T17:11:00Z,46.04,55.62
2026-04-22T17:12:00Z,35.00,64.93
2026-04-22T17:13:00Z,35.00,66.00
2026-04-22T17:14:00Z,40.27,58.96
2026-04-22T17:15:00Z,46.07,59.00
2026-04-22T17:16:00Z,44.74,59.10
2026-04-22T17:17:00Z,40.52,58.88
2026-04-22T17:18:00Z,36.08,64.89
2026-04-22T17:19:00Z,36.00,64.89
2026-04-22T17:20:00Z,41.90,60.00
2026-04-22T17:21:00Z,46.83,54.40
2026-04-22T17:22:00Z,47.34,52.53
2026-04-22T17:23:00Z,45.17,54.70
2026-04-22T17:24:00Z,44.93,57.00
2026-04-22T17:25:00Z,44.93,55.63
2026-04-22T17:26:00Z,38.14,61.67
2026-04-22T17:27:00Z,38.66,61.53
2026-04-22T17:28:00Z,36.37,62.83
2026-04-22T17:29:00Z,45.28,56.76
2026-04-22T17:30:00Z,48.00,51.36
2026-04-22T17:32:00Z,59.20,41.52
2026-04-22T17:33:00Z,61.74,38.76
2026-04-22T17:34:00Z,68.68,28.91
2026-04-22T17:35:00Z,73.99,26.74
2026-04-22T17:36:00Z,74.00,27.00
2026-04-22T17:37:00Z,73.01,27.00
2026-04-22T17:38:00Z,73.01,28.00
2026-04-22T17:39:00Z,72.33,28.00
2026-04-22T17:40:00Z,75.03,25.06
2026-04-22T17:41:00Z,70.03,29.36
2026-04-22T17:42:00Z,68.52,32.11
2026-04-22T17:43:00Z,63.67,37.79
2026-04-22T17:44:00Z,60.01,40.96
2026-04-22T17:45:00Z,65.88,34.96
2026-04-22T17:46:00Z,73.65,25.81
2026-04-22T17:47:00Z,74.25,25.27
2026-04-22T17:48:00Z,79.99,21.67
2026-04-22T17:49:00Z,81.00,19.06
2026-04-22T17:50:00Z,82.77,18.65
2026-04-22T17:51:00Z,82.72,18.81
2026-04-22T17:52:00Z,85.00,20.81
2026-04-22T17:53:00Z,84.13,15.69
2026-04-22T17:54:00Z,88.94,8.50
2026-04-22T17:55:00Z,93.00,6.10
2026-04-22T17:56:00Z,95.17,4.29
2026-04-22T17:57:00Z,96.22,3.51
2026-04-22T17:58:00Z,97.00,3.00
2026-04-22T17:59:00Z,96.98,3.08
2026-04-22T18:00:00Z,96.00,4.00
2026-04-22T18:01:00Z,96.98,3.17
2026-04-22T18:02:00Z,98.98,2.79
2026-04-22T18:03:00Z,99.00,1.00
2026-04-22T18:04:00Z,99.00,1.00
2026-04-22T18:07:00Z,99.00,1.00
