# event_ticker=KXATPMATCH-25JUL16RUUSTR
# final_score=7-5 7-6(6)
# score_resolution=7-5 7-6
# match_winner=Casper Ruud
# fav_player=Casper Ruud
# dog_player=Dominic Stricker
# kalshi_date=2025-07-16
timestamp,Casper Ruud,Dominic Stricker
2025-07-16T02:48:00Z,75.00,23.31
2025-07-16T02:49:00Z,72.00,23.31
2025-07-16T02:56:00Z,75.00,23.31
2025-07-16T03:24:00Z,75.00,23.31
2025-07-16T03:46:00Z,75.00,23.31
2025-07-16T03:58:00Z,75.00,23.31
2025-07-16T04:05:00Z,75.00,23.31
2025-07-16T04:09:00Z,75.00,23.31
2025-07-16T04:15:00Z,74.00,23.31
2025-07-16T04:20:00Z,75.00,23.31
2025-07-16T04:43:00Z,75.00,23.31
2025-07-16T04:53:00Z,75.39,23.31
2025-07-16T05:07:00Z,76.00,23.31
2025-07-16T05:52:00Z,76.00,25.00
2025-07-16T05:55:00Z,76.00,25.00
2025-07-16T06:05:00Z,76.00,25.00
2025-07-16T06:59:00Z,76.00,25.00
2025-07-16T12:01:00Z,77.00,25.00
2025-07-16T12:06:00Z,77.00,25.00
2025-07-16T12:13:00Z,77.00,25.00
2025-07-16T12:20:00Z,77.00,25.00
2025-07-16T12:25:00Z,77.09,25.00
2025-07-16T12:26:00Z,78.00,25.00
2025-07-16T12:33:00Z,77.00,25.00
2025-07-16T12:34:00Z,77.48,25.00
2025-07-16T12:36:00Z,77.00,25.00
2025-07-16T12:40:00Z,77.00,24.00
2025-07-16T12:43:00Z,77.00,24.00
2025-07-16T12:49:00Z,77.00,24.00
2025-07-16T12:50:00Z,77.00,24.00
2025-07-16T13:01:00Z,77.00,20.00
2025-07-16T13:02:00Z,77.00,22.96
2025-07-16T13:04:00Z,77.78,22.96
2025-07-16T13:06:00Z,78.00,22.96
2025-07-16T13:07:00Z,78.00,22.96
2025-07-16T13:08:00Z,78.00,24.00
2025-07-16T13:10:00Z,78.00,24.00
2025-07-16T13:11:00Z,79.00,24.00
2025-07-16T13:12:00Z,79.00,24.00
2025-07-16T13:15:00Z,78.00,24.00
2025-07-16T13:16:00Z,78.00,24.00
2025-07-16T13:19:00Z,78.81,24.00
2025-07-16T13:21:00Z,79.00,23.00
2025-07-16T13:22:00Z,79.00,23.00
2025-07-16T13:24:00Z,79.00,27.00
2025-07-16T13:25:00Z,80.55,27.00
2025-07-16T13:27:00Z,81.22,29.00
2025-07-16T13:28:00Z,85.31,20.00
2025-07-16T13:29:00Z,84.54,28.53
2025-07-16T13:30:00Z,84.00,28.53
2025-07-16T13:31:00Z,84.00,20.19
2025-07-16T13:33:00Z,87.00,19.94
2025-07-16T13:34:00Z,83.82,19.94
2025-07-16T13:35:00Z,83.82,22.00
2025-07-16T13:37:00Z,83.82,21.00
2025-07-16T13:40:00Z,85.00,21.00
2025-07-16T13:41:00Z,80.00,21.00
2025-07-16T13:43:00Z,80.00,24.00
2025-07-16T13:44:00Z,78.00,24.00
2025-07-16T13:46:00Z,75.00,24.00
2025-07-16T13:47:00Z,75.00,27.56
2025-07-16T13:49:00Z,69.95,31.02
2025-07-16T13:50:00Z,59.47,40.98
2025-07-16T13:51:00Z,57.47,44.00
2025-07-16T13:52:00Z,61.97,41.32
2025-07-16T13:53:00Z,67.06,32.00
2025-07-16T13:54:00Z,70.48,26.00
2025-07-16T13:56:00Z,82.35,25.00
2025-07-16T13:57:00Z,78.17,24.00
2025-07-16T13:58:00Z,66.00,28.31
2025-07-16T13:59:00Z,67.90,28.31
2025-07-16T14:00:00Z,72.00,43.03
2025-07-16T14:01:00Z,78.26,43.03
2025-07-16T14:03:00Z,78.26,27.44
2025-07-16T14:04:00Z,75.07,28.00
2025-07-16T14:05:00Z,75.07,33.01
2025-07-16T14:06:00Z,82.74,33.42
2025-07-16T14:07:00Z,77.46,24.04
2025-07-16T14:08:00Z,78.29,24.00
2025-07-16T14:09:00Z,82.00,17.70
2025-07-16T14:10:00Z,85.97,17.70
2025-07-16T14:11:00Z,81.47,20.41
2025-07-16T14:12:00Z,82.09,20.53
2025-07-16T14:13:00Z,86.73,20.90
2025-07-16T14:14:00Z,90.00,11.63
2025-07-16T14:15:00Z,94.00,16.00
2025-07-16T14:16:00Z,92.00,16.00
2025-07-16T14:17:00Z,90.86,11.30
2025-07-16T14:19:00Z,90.00,11.65
2025-07-16T14:20:00Z,92.00,11.65
2025-07-16T14:21:00Z,92.00,11.65
2025-07-16T14:23:00Z,91.00,10.00
2025-07-16T14:24:00Z,96.38,10.63
2025-07-16T14:25:00Z,96.38,14.31
2025-07-16T14:26:00Z,90.00,14.31
2025-07-16T14:27:00Z,86.22,12.03
2025-07-16T14:29:00Z,91.34,9.64
2025-07-16T14:30:00Z,90.00,10.00
2025-07-16T14:31:00Z,90.00,11.00
2025-07-16T14:32:00Z,91.00,12.00
2025-07-16T14:33:00Z,90.81,12.00
2025-07-16T14:34:00Z,90.81,11.75
2025-07-16T14:35:00Z,92.00,11.00
2025-07-16T14:37:00Z,91.01,11.00
2025-07-16T14:38:00Z,91.25,10.83
2025-07-16T14:39:00Z,91.25,11.26
2025-07-16T14:41:00Z,94.00,8.00
2025-07-16T14:42:00Z,94.00,8.00
2025-07-16T14:43:00Z,94.00,8.00
2025-07-16T14:44:00Z,95.36,8.00
2025-07-16T14:45:00Z,93.49,6.00
2025-07-16T14:46:00Z,93.49,10.00
2025-07-16T14:47:00Z,93.49,10.00
2025-07-16T14:48:00Z,93.58,10.00
2025-07-16T14:49:00Z,94.00,10.00
2025-07-16T14:51:00Z,93.00,9.00
2025-07-16T14:52:00Z,91.93,10.55
2025-07-16T14:53:00Z,89.00,11.00
2025-07-16T14:54:00Z,91.00,11.00
