# event_ticker=KXATPCHALLENGERMATCH-26FEB10BARPEN
# final_score=7-6(8) 4-6 6-3
# score_resolution=6-7 6-4 3-6
# match_winner=Hynek Barton
# fav_player=Ryan Peniston
# dog_player=Hynek Barton
# kalshi_date=2026-02-10
timestamp,Ryan Peniston,Hynek Barton
2026-02-10T07:32:00Z,83.00,
2026-02-10T11:59:00Z,83.00,60.00
2026-02-10T12:55:00Z,40.00,60.00
2026-02-10T12:57:00Z,40.00,60.00
2026-02-10T13:35:00Z,40.00,60.00
2026-02-10T13:52:00Z,40.00,60.00
2026-02-10T14:03:00Z,36.00,60.00
2026-02-10T14:04:00Z,38.90,60.00
2026-02-10T14:05:00Z,38.90,63.95
2026-02-10T14:07:00Z,38.90,64.00
2026-02-10T14:08:00Z,38.90,64.00
2026-02-10T14:10:00Z,38.90,64.00
2026-02-10T14:26:00Z,39.00,64.00
2026-02-10T14:27:00Z,39.31,64.00
2026-02-10T14:28:00Z,39.50,64.00
2026-02-10T14:30:00Z,39.67,61.00
2026-02-10T14:31:00Z,39.67,61.95
2026-02-10T14:32:00Z,39.29,62.98
2026-02-10T14:33:00Z,37.98,61.98
2026-02-10T14:34:00Z,34.00,63.99
2026-02-10T14:35:00Z,38.00,64.00
2026-02-10T14:36:00Z,33.00,64.00
2026-02-10T14:37:00Z,33.52,65.00
2026-02-10T14:38:00Z,37.06,69.41
2026-02-10T14:39:00Z,37.06,74.00
2026-02-10T14:40:00Z,37.06,72.08
2026-02-10T14:41:00Z,26.05,72.00
2026-02-10T14:42:00Z,27.26,74.65
2026-02-10T14:43:00Z,26.75,76.00
2026-02-10T14:44:00Z,25.02,74.80
2026-02-10T14:45:00Z,26.91,73.00
2026-02-10T14:46:00Z,24.14,75.97
2026-02-10T14:47:00Z,24.00,77.00
2026-02-10T14:48:00Z,25.00,71.36
2026-02-10T14:49:00Z,28.00,72.00
2026-02-10T14:50:00Z,28.04,73.91
2026-02-10T14:51:00Z,25.22,77.77
2026-02-10T14:52:00Z,20.01,79.00
2026-02-10T14:53:00Z,23.00,79.00
2026-02-10T14:54:00Z,25.43,78.44
2026-02-10T14:55:00Z,26.00,77.00
2026-02-10T14:56:00Z,24.00,75.00
2026-02-10T14:57:00Z,24.00,74.83
2026-02-10T14:58:00Z,27.70,78.78
2026-02-10T14:59:00Z,28.40,69.40
2026-02-10T15:00:00Z,30.90,69.89
2026-02-10T15:01:00Z,29.05,70.83
2026-02-10T15:02:00Z,25.86,74.45
2026-02-10T15:03:00Z,36.47,60.30
2026-02-10T15:04:00Z,42.00,60.91
2026-02-10T15:05:00Z,42.31,56.00
2026-02-10T15:06:00Z,48.19,55.52
2026-02-10T15:07:00Z,50.38,50.82
2026-02-10T15:08:00Z,49.04,52.41
2026-02-10T15:09:00Z,47.96,51.55
2026-02-10T15:10:00Z,44.39,56.36
2026-02-10T15:11:00Z,44.93,57.00
2026-02-10T15:12:00Z,47.58,54.79
2026-02-10T15:13:00Z,51.98,52.78
2026-02-10T15:14:00Z,52.90,49.00
2026-02-10T15:15:00Z,52.74,50.33
2026-02-10T15:16:00Z,48.02,52.00
2026-02-10T15:17:00Z,58.48,43.18
2026-02-10T15:18:00Z,56.51,48.54
2026-02-10T15:19:00Z,46.50,53.47
2026-02-10T15:20:00Z,46.95,53.00
2026-02-10T15:21:00Z,50.39,49.18
2026-02-10T15:22:00Z,46.54,55.12
2026-02-10T15:23:00Z,48.42,53.00
2026-02-10T15:24:00Z,52.00,49.00
2026-02-10T15:25:00Z,58.39,49.58
2026-02-10T15:26:00Z,54.42,52.49
2026-02-10T15:27:00Z,44.05,57.80
2026-02-10T15:28:00Z,44.60,54.23
2026-02-10T15:29:00Z,39.74,61.55
2026-02-10T15:30:00Z,40.01,65.72
2026-02-10T15:31:00Z,28.82,71.85
2026-02-10T15:32:00Z,35.11,68.23
2026-02-10T15:33:00Z,33.80,60.71
2026-02-10T15:34:00Z,29.58,75.63
2026-02-10T15:35:00Z,39.93,60.16
2026-02-10T15:36:00Z,44.76,54.97
2026-02-10T15:37:00Z,41.74,64.05
2026-02-10T15:38:00Z,32.93,70.64
2026-02-10T15:39:00Z,21.80,79.07
2026-02-10T15:40:00Z,18.68,83.66
2026-02-10T15:41:00Z,22.59,79.21
2026-02-10T15:42:00Z,32.06,75.70
2026-02-10T15:43:00Z,29.08,73.00
2026-02-10T15:44:00Z,32.80,74.59
2026-02-10T15:45:00Z,23.71,83.55
2026-02-10T15:46:00Z,29.95,74.78
2026-02-10T15:47:00Z,27.13,76.33
2026-02-10T15:48:00Z,20.42,80.33
2026-02-10T15:49:00Z,17.72,84.51
2026-02-10T15:50:00Z,18.20,83.68
2026-02-10T15:51:00Z,10.93,86.75
2026-02-10T15:52:00Z,11.80,88.37
2026-02-10T15:53:00Z,10.51,90.90
2026-02-10T15:54:00Z,9.20,91.14
2026-02-10T15:55:00Z,6.97,95.74
2026-02-10T15:56:00Z,6.07,94.98
2026-02-10T15:57:00Z,6.07,94.00
2026-02-10T15:58:00Z,6.66,93.34
2026-02-10T15:59:00Z,6.15,94.45
2026-02-10T16:00:00Z,7.53,92.74
2026-02-10T16:01:00Z,4.97,95.21
2026-02-10T16:02:00Z,6.11,94.61
2026-02-10T16:03:00Z,4.60,95.98
2026-02-10T16:04:00Z,3.14,96.16
2026-02-10T16:05:00Z,2.21,96.35
2026-02-10T16:06:00Z,4.64,96.95
2026-02-10T16:07:00Z,5.00,96.00
2026-02-10T16:08:00Z,8.23,92.20
2026-02-10T16:09:00Z,14.79,86.32
2026-02-10T16:10:00Z,17.06,84.00
2026-02-10T16:11:00Z,17.75,80.80
2026-02-10T16:12:00Z,19.33,82.32
2026-02-10T16:13:00Z,22.07,79.83
2026-02-10T16:14:00Z,21.79,76.69
2026-02-10T16:15:00Z,22.98,78.07
2026-02-10T16:16:00Z,24.85,77.21
2026-02-10T16:17:00Z,21.79,79.02
2026-02-10T16:18:00Z,39.79,61.89
2026-02-10T16:19:00Z,41.22,59.83
2026-02-10T16:20:00Z,43.48,60.42
2026-02-10T16:21:00Z,42.77,59.33
2026-02-10T16:22:00Z,47.85,52.59
2026-02-10T16:23:00Z,47.13,54.06
2026-02-10T16:24:00Z,47.11,54.00
2026-02-10T16:25:00Z,47.36,53.79
2026-02-10T16:26:00Z,49.27,53.24
2026-02-10T16:27:00Z,51.28,48.86
2026-02-10T16:28:00Z,62.12,42.25
2026-02-10T16:29:00Z,53.23,41.27
2026-02-10T16:30:00Z,44.20,57.52
2026-02-10T16:31:00Z,45.33,62.80
2026-02-10T16:32:00Z,41.49,61.39
2026-02-10T16:33:00Z,46.07,61.13
2026-02-10T16:34:00Z,45.30,60.61
2026-02-10T16:35:00Z,43.75,58.36
2026-02-10T16:36:00Z,46.76,58.26
2026-02-10T16:37:00Z,51.29,51.82
2026-02-10T16:38:00Z,50.03,54.43
2026-02-10T16:39:00Z,49.79,54.65
2026-02-10T16:40:00Z,49.33,56.41
2026-02-10T16:41:00Z,45.51,55.81
2026-02-10T16:42:00Z,45.98,56.68
2026-02-10T16:43:00Z,40.07,61.26
2026-02-10T16:44:00Z,40.15,62.61
2026-02-10T16:45:00Z,43.93,56.40
2026-02-10T16:46:00Z,42.48,63.73
2026-02-10T16:47:00Z,32.98,67.30
2026-02-10T16:48:00Z,25.68,72.59
2026-02-10T16:49:00Z,17.34,83.75
2026-02-10T16:50:00Z,19.11,82.37
2026-02-10T16:51:00Z,16.34,86.40
2026-02-10T16:52:00Z,10.94,90.63
2026-02-10T16:53:00Z,9.63,91.67
2026-02-10T16:54:00Z,6.53,93.53
2026-02-10T16:55:00Z,9.72,91.84
2026-02-10T16:56:00Z,13.03,87.83
2026-02-10T16:57:00Z,9.47,92.28
2026-02-10T16:58:00Z,8.22,92.02
2026-02-10T16:59:00Z,11.93,87.10
2026-02-10T17:00:00Z,6.75,93.65
2026-02-10T17:01:00Z,5.92,95.01
2026-02-10T17:02:00Z,5.34,95.05
2026-02-10T17:03:00Z,6.47,93.96
2026-02-10T17:04:00Z,6.65,93.39
2026-02-10T17:05:00Z,6.64,93.61
2026-02-10T17:06:00Z,6.33,94.51
2026-02-10T17:07:00Z,5.11,96.34
2026-02-10T17:08:00Z,2.66,98.02
2026-02-10T17:09:00Z,1.00,99.00
2026-02-10T17:10:00Z,1.00,99.00
2026-02-10T17:11:00Z,1.00,99.00
2026-02-10T17:12:00Z,1.00,99.00
2026-02-10T17:13:00Z,1.00,99.00
