# event_ticker=KXATPCHALLENGERMATCH-26MAY26BERKOP
# final_score=7-5 7-6(3)
# score_resolution=7-5 7-6
# match_winner=Sandro Kopp
# fav_player=Sandro Kopp
# dog_player=Tomasz Berkieta
# kalshi_date=2026-05-26
timestamp,Tomasz Berkieta,Sandro Kopp
2026-05-26T02:31:00Z,32.00,
2026-05-26T10:13:00Z,32.00,69.00
2026-05-26T10:41:00Z,33.00,70.00
2026-05-26T11:09:00Z,33.00,70.00
2026-05-26T11:20:00Z,30.00,70.00
2026-05-26T11:22:00Z,29.05,71.00
2026-05-26T11:24:00Z,26.00,71.00
2026-05-26T11:25:00Z,26.00,71.00
2026-05-26T11:26:00Z,29.00,71.00
2026-05-26T11:28:00Z,33.00,71.00
2026-05-26T11:29:00Z,29.00,65.50
2026-05-26T11:30:00Z,29.00,71.73
2026-05-26T11:31:00Z,29.00,70.00
2026-05-26T11:33:00Z,33.00,70.00
2026-05-26T11:36:00Z,30.00,67.00
2026-05-26T11:37:00Z,30.00,67.00
2026-05-26T11:39:00Z,32.00,67.00
2026-05-26T11:42:00Z,32.00,72.00
2026-05-26T11:43:00Z,32.00,69.00
2026-05-26T11:44:00Z,28.00,71.48
2026-05-26T11:45:00Z,31.96,68.05
2026-05-26T11:46:00Z,34.49,68.05
2026-05-26T11:47:00Z,34.29,68.05
2026-05-26T11:48:00Z,36.48,65.00
2026-05-26T11:51:00Z,35.00,66.00
2026-05-26T11:52:00Z,35.00,66.00
2026-05-26T11:53:00Z,36.00,66.00
2026-05-26T11:55:00Z,40.56,59.68
2026-05-26T11:56:00Z,36.86,62.74
2026-05-26T11:57:00Z,37.00,65.66
2026-05-26T11:58:00Z,37.00,68.00
2026-05-26T12:00:00Z,37.00,71.00
2026-05-26T12:01:00Z,23.15,75.63
2026-05-26T12:02:00Z,21.00,79.00
2026-05-26T12:04:00Z,24.00,79.00
2026-05-26T12:06:00Z,23.83,76.67
2026-05-26T12:07:00Z,28.71,65.76
2026-05-26T12:08:00Z,28.71,66.30
2026-05-26T12:09:00Z,28.71,58.00
2026-05-26T12:10:00Z,43.00,58.00
2026-05-26T12:11:00Z,44.76,55.50
2026-05-26T12:12:00Z,47.01,56.54
2026-05-26T12:13:00Z,45.22,54.84
2026-05-26T12:14:00Z,41.76,60.42
2026-05-26T12:15:00Z,31.59,68.31
2026-05-26T12:16:00Z,31.59,73.95
2026-05-26T12:17:00Z,31.59,80.00
2026-05-26T12:18:00Z,31.59,80.24
2026-05-26T12:19:00Z,15.16,85.00
2026-05-26T12:20:00Z,14.98,88.12
2026-05-26T12:21:00Z,14.98,83.02
2026-05-26T12:22:00Z,15.00,82.88
2026-05-26T12:23:00Z,15.00,86.00
2026-05-26T12:24:00Z,15.00,86.00
2026-05-26T12:25:00Z,15.00,87.00
2026-05-26T12:26:00Z,15.00,87.00
2026-05-26T12:27:00Z,14.50,88.00
2026-05-26T12:28:00Z,14.50,89.00
2026-05-26T12:29:00Z,14.50,90.07
2026-05-26T12:30:00Z,8.00,93.00
2026-05-26T12:31:00Z,7.25,93.00
2026-05-26T12:32:00Z,7.00,93.02
2026-05-26T12:33:00Z,7.00,93.00
2026-05-26T12:34:00Z,7.00,94.01
2026-05-26T12:35:00Z,5.00,95.41
2026-05-26T12:36:00Z,4.00,96.23
2026-05-26T12:37:00Z,4.55,96.23
2026-05-26T12:38:00Z,2.00,96.29
2026-05-26T12:41:00Z,3.00,99.00
2026-05-26T12:42:00Z,4.08,98.00
2026-05-26T12:43:00Z,5.00,96.05
2026-05-26T12:44:00Z,6.00,95.00
2026-05-26T12:45:00Z,7.77,93.05
2026-05-26T12:46:00Z,8.00,93.68
2026-05-26T12:47:00Z,8.00,93.00
2026-05-26T12:48:00Z,8.00,94.05
2026-05-26T12:49:00Z,6.00,95.00
2026-05-26T12:50:00Z,5.00,95.00
2026-05-26T12:51:00Z,5.00,96.00
2026-05-26T12:52:00Z,3.73,96.42
2026-05-26T12:53:00Z,5.97,95.75
2026-05-26T12:54:00Z,6.38,94.08
2026-05-26T12:55:00Z,8.00,94.08
2026-05-26T12:56:00Z,7.94,95.20
2026-05-26T12:57:00Z,11.82,88.35
2026-05-26T12:58:00Z,17.30,84.54
2026-05-26T12:59:00Z,18.88,81.81
2026-05-26T13:00:00Z,17.41,85.11
2026-05-26T13:01:00Z,17.25,84.67
2026-05-26T13:02:00Z,16.61,88.08
2026-05-26T13:03:00Z,15.57,85.37
2026-05-26T13:04:00Z,15.89,81.68
2026-05-26T13:05:00Z,25.92,73.95
2026-05-26T13:06:00Z,27.96,74.00
2026-05-26T13:07:00Z,23.88,79.99
2026-05-26T13:08:00Z,18.98,82.43
2026-05-26T13:09:00Z,19.93,81.63
2026-05-26T13:10:00Z,17.02,85.19
2026-05-26T13:11:00Z,21.84,77.76
2026-05-26T13:12:00Z,24.00,77.00
2026-05-26T13:13:00Z,27.01,73.22
2026-05-26T13:14:00Z,30.53,73.82
2026-05-26T13:15:00Z,23.08,78.14
2026-05-26T13:16:00Z,25.60,77.96
2026-05-26T13:17:00Z,17.05,80.87
2026-05-26T13:18:00Z,12.47,89.24
2026-05-26T13:19:00Z,7.78,93.71
2026-05-26T13:20:00Z,8.46,89.70
2026-05-26T13:21:00Z,5.36,94.11
2026-05-26T13:22:00Z,5.46,96.75
2026-05-26T13:23:00Z,1.90,98.21
2026-05-26T13:24:00Z,1.90,99.00
2026-05-26T13:25:00Z,1.90,99.00
