# event_ticker=KXATPMATCH-26FEB16ZAYPOP
# final_score=6-0 6-2
# match_winner=Alexei Popyrin
# fav_player=Alexei Popyrin
# dog_player=Mubarak Shannan Zayid
# kalshi_date=2026-02-16
timestamp,Alexei Popyrin,Mubarak Shannan Zayid
2026-02-15T22:59:00Z,94.00,7.00
2026-02-15T23:06:00Z,94.00,7.00
2026-02-15T23:17:00Z,94.00,6.00
2026-02-15T23:18:00Z,94.00,9.00
2026-02-15T23:34:00Z,94.00,5.33
2026-02-15T23:50:00Z,95.26,5.33
2026-02-15T23:58:00Z,99.00,5.33
2026-02-16T00:11:00Z,99.00,5.00
2026-02-16T00:12:00Z,99.00,3.00
2026-02-16T00:17:00Z,92.00,3.00
2026-02-16T00:24:00Z,92.00,9.65
2026-02-16T00:51:00Z,92.00,4.00
2026-02-16T00:53:00Z,98.00,4.00
2026-02-16T00:55:00Z,98.00,4.00
2026-02-16T00:56:00Z,98.00,4.00
2026-02-16T01:03:00Z,98.00,4.00
2026-02-16T01:05:00Z,98.00,4.00
2026-02-16T01:06:00Z,98.00,4.00
2026-02-16T01:09:00Z,98.00,4.00
2026-02-16T01:11:00Z,98.00,3.00
2026-02-16T01:13:00Z,98.00,4.00
2026-02-16T01:24:00Z,98.00,4.00
2026-02-16T01:27:00Z,98.00,4.00
2026-02-16T01:28:00Z,98.00,4.00
2026-02-16T01:35:00Z,98.00,4.00
2026-02-16T01:37:00Z,98.00,4.00
2026-02-16T01:39:00Z,98.00,4.00
2026-02-16T01:40:00Z,98.00,5.00
2026-02-16T01:42:00Z,98.00,6.00
2026-02-16T01:45:00Z,98.00,2.90
2026-02-16T01:46:00Z,98.00,6.89
2026-02-16T02:08:00Z,98.00,5.00
2026-02-16T02:15:00Z,98.00,5.00
2026-02-16T02:16:00Z,98.00,8.76
2026-02-16T02:23:00Z,98.00,7.00
2026-02-16T02:30:00Z,98.00,9.00
2026-02-16T02:32:00Z,96.00,9.00
2026-02-16T02:42:00Z,96.00,7.00
2026-02-16T02:43:00Z,96.00,7.00
2026-02-16T02:44:00Z,96.00,9.90
2026-02-16T02:53:00Z,96.00,9.90
2026-02-16T02:56:00Z,96.00,3.00
2026-02-16T03:04:00Z,96.00,3.00
2026-02-16T03:09:00Z,96.00,6.00
2026-02-16T03:10:00Z,96.00,6.00
2026-02-16T03:12:00Z,96.00,7.57
2026-02-16T03:13:00Z,96.00,6.00
2026-02-16T03:15:00Z,96.00,8.85
2026-02-16T03:18:00Z,95.00,8.85
2026-02-16T03:19:00Z,95.00,8.60
2026-02-16T03:20:00Z,92.00,8.60
2026-02-16T03:21:00Z,92.00,9.00
2026-02-16T03:22:00Z,95.00,9.00
2026-02-16T03:23:00Z,95.00,9.00
2026-02-16T03:27:00Z,95.83,9.00
2026-02-16T03:31:00Z,96.00,9.00
2026-02-16T03:40:00Z,96.00,9.00
2026-02-16T03:44:00Z,96.00,5.00
2026-02-16T03:45:00Z,94.00,5.00
2026-02-16T03:46:00Z,94.00,5.00
2026-02-16T03:49:00Z,94.00,5.00
2026-02-16T03:50:00Z,94.00,5.00
2026-02-16T03:52:00Z,94.00,5.00
2026-02-16T03:53:00Z,96.90,5.00
2026-02-16T03:59:00Z,96.90,5.00
2026-02-16T04:00:00Z,96.90,5.00
2026-02-16T04:02:00Z,96.90,5.00
2026-02-16T04:03:00Z,96.90,3.95
2026-02-16T04:06:00Z,96.90,5.00
2026-02-16T04:11:00Z,97.00,5.00
2026-02-16T04:12:00Z,97.00,5.00
2026-02-16T04:26:00Z,97.00,7.60
2026-02-16T04:35:00Z,97.00,7.00
2026-02-16T04:36:00Z,97.00,7.00
2026-02-16T04:43:00Z,97.00,7.00
2026-02-16T04:44:00Z,97.00,7.00
2026-02-16T04:46:00Z,97.00,7.00
2026-02-16T04:48:00Z,97.00,3.00
2026-02-16T04:55:00Z,97.00,7.00
2026-02-16T05:10:00Z,97.00,7.00
2026-02-16T05:24:00Z,97.00,6.00
2026-02-16T05:25:00Z,97.00,7.87
2026-02-16T05:26:00Z,97.00,7.00
2026-02-16T05:28:00Z,97.00,7.00
2026-02-16T05:29:00Z,97.00,6.00
2026-02-16T05:32:00Z,97.00,7.00
2026-02-16T05:34:00Z,97.00,7.00
2026-02-16T05:38:00Z,97.00,6.00
2026-02-16T05:45:00Z,97.00,6.00
2026-02-16T05:54:00Z,97.00,5.31
2026-02-16T06:02:00Z,97.00,7.54
2026-02-16T06:12:00Z,97.00,7.54
2026-02-16T06:19:00Z,97.00,5.73
2026-02-16T06:25:00Z,93.00,6.00
2026-02-16T06:28:00Z,93.00,6.00
2026-02-16T06:33:00Z,93.00,3.46
2026-02-16T06:39:00Z,93.00,4.00
2026-02-16T06:43:00Z,93.00,4.16
2026-02-16T06:44:00Z,93.00,5.84
2026-02-16T06:51:00Z,93.00,7.29
2026-02-16T06:52:00Z,93.00,7.47
2026-02-16T07:06:00Z,93.00,6.00
2026-02-16T07:14:00Z,93.00,9.79
2026-02-16T07:22:00Z,97.00,9.79
2026-02-16T07:31:00Z,97.00,6.00
2026-02-16T07:33:00Z,97.00,6.00
2026-02-16T07:42:00Z,97.00,6.00
