# event_ticker=KXATPMATCH-25OCT27DARCAZ
# final_score=7-6(5) 7-6(4)
# score_resolution=7-6 7-6
# match_winner=Arthur Cazaux
# fav_player=Arthur Cazaux
# dog_player=Luciano Darderi
# kalshi_date=2025-10-27
timestamp,Arthur Cazaux,Luciano Darderi
2025-10-26T23:54:00Z,69.00,
2025-10-27T00:39:00Z,69.00,
2025-10-27T00:41:00Z,69.00,
2025-10-27T01:10:00Z,69.00,33.00
2025-10-27T01:55:00Z,69.00,33.00
2025-10-27T02:03:00Z,69.00,33.00
2025-10-27T02:26:00Z,69.00,33.00
2025-10-27T02:31:00Z,69.00,33.00
2025-10-27T02:32:00Z,69.00,33.00
2025-10-27T02:47:00Z,69.00,33.00
2025-10-27T03:08:00Z,69.00,33.00
2025-10-27T03:20:00Z,69.00,32.00
2025-10-27T03:24:00Z,69.00,33.00
2025-10-27T03:38:00Z,69.00,33.00
2025-10-27T03:42:00Z,69.00,33.00
2025-10-27T03:46:00Z,69.00,33.00
2025-10-27T03:48:00Z,69.00,33.00
2025-10-27T03:52:00Z,69.00,33.00
2025-10-27T04:03:00Z,69.00,33.00
2025-10-27T04:08:00Z,69.00,33.00
2025-10-27T04:12:00Z,68.00,33.00
2025-10-27T04:14:00Z,69.00,33.00
2025-10-27T04:18:00Z,69.00,33.00
2025-10-27T04:24:00Z,69.00,33.00
2025-10-27T04:27:00Z,69.00,33.00
2025-10-27T04:30:00Z,69.00,33.00
2025-10-27T04:34:00Z,69.00,33.00
2025-10-27T04:41:00Z,69.00,33.00
2025-10-27T04:45:00Z,69.00,33.00
2025-10-27T04:56:00Z,69.00,33.00
2025-10-27T05:16:00Z,69.00,33.00
2025-10-27T05:20:00Z,69.00,33.00
2025-10-27T05:23:00Z,69.00,33.00
2025-10-27T05:24:00Z,68.00,33.00
2025-10-27T05:30:00Z,69.00,33.00
2025-10-27T05:34:00Z,69.00,33.00
2025-10-27T05:42:00Z,69.00,33.00
2025-10-27T05:44:00Z,69.00,33.00
2025-10-27T05:49:00Z,69.00,33.00
2025-10-27T05:54:00Z,69.00,33.00
2025-10-27T06:00:00Z,69.00,33.00
2025-10-27T06:14:00Z,69.00,33.00
2025-10-27T06:19:00Z,69.00,33.00
2025-10-27T06:22:00Z,69.00,33.00
2025-10-27T06:24:00Z,69.00,33.00
2025-10-27T06:34:00Z,69.00,33.00
2025-10-27T06:46:00Z,69.00,33.00
2025-10-27T06:59:00Z,69.00,33.00
2025-10-27T07:02:00Z,69.00,33.00
2025-10-27T07:10:00Z,68.00,33.00
2025-10-27T07:11:00Z,67.00,33.00
2025-10-27T07:12:00Z,68.00,33.00
2025-10-27T07:23:00Z,68.00,33.00
2025-10-27T07:24:00Z,68.00,33.00
2025-10-27T07:36:00Z,68.00,33.00
2025-10-27T07:37:00Z,68.00,33.00
2025-10-27T07:39:00Z,68.00,33.00
2025-10-27T07:42:00Z,68.00,33.00
2025-10-27T07:44:00Z,68.00,33.00
