# event_ticker=KXATPCHALLENGERMATCH-26APR28GIUBIT
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Massimo Giunta
# fav_player=Constantin Bittoun Kouzmine
# dog_player=Massimo Giunta
# kalshi_date=2026-04-28
timestamp,Massimo Giunta,Constantin Bittoun Kouzmine
2026-04-28T07:15:00Z,84.00,
2026-04-28T09:42:00Z,61.00,
2026-04-28T11:42:00Z,68.00,
2026-04-28T13:07:00Z,68.00,32.00
2026-04-28T15:40:00Z,68.00,33.00
2026-04-28T15:55:00Z,69.00,33.00
2026-04-28T16:30:00Z,69.00,33.00
2026-04-28T16:55:00Z,67.03,33.00
2026-04-28T16:58:00Z,67.03,33.00
2026-04-28T17:00:00Z,68.00,33.00
2026-04-28T17:29:00Z,68.00,33.00
2026-04-28T17:42:00Z,68.00,33.00
2026-04-28T17:50:00Z,68.00,32.41
2026-04-28T17:54:00Z,70.00,32.41
2026-04-28T17:56:00Z,76.37,28.00
2026-04-28T17:57:00Z,74.10,28.00
2026-04-28T17:58:00Z,68.13,31.53
2026-04-28T17:59:00Z,65.00,36.00
2026-04-28T18:00:00Z,63.00,39.00
2026-04-28T18:03:00Z,63.00,34.68
2026-04-28T18:04:00Z,63.00,37.00
2026-04-28T18:05:00Z,63.00,39.00
2026-04-28T18:06:00Z,62.00,40.00
2026-04-28T18:07:00Z,58.00,44.87
2026-04-28T18:08:00Z,49.00,50.88
2026-04-28T18:09:00Z,59.00,43.00
2026-04-28T18:10:00Z,58.00,45.00
2026-04-28T18:11:00Z,58.00,45.14
2026-04-28T18:12:00Z,57.99,40.00
2026-04-28T18:13:00Z,64.00,40.00
2026-04-28T18:14:00Z,64.00,38.00
2026-04-28T18:15:00Z,64.00,40.00
2026-04-28T18:17:00Z,57.69,43.00
2026-04-28T18:18:00Z,55.00,44.23
2026-04-28T18:19:00Z,53.00,46.57
2026-04-28T18:20:00Z,55.82,42.00
2026-04-28T18:21:00Z,59.00,41.00
2026-04-28T18:22:00Z,59.00,40.00
2026-04-28T18:23:00Z,60.00,40.00
2026-04-28T18:24:00Z,57.00,42.00
2026-04-28T18:25:00Z,57.00,45.00
2026-04-28T18:26:00Z,57.00,45.00
2026-04-28T18:27:00Z,57.76,46.00
2026-04-28T18:28:00Z,54.02,46.99
2026-04-28T18:29:00Z,58.44,44.00
2026-04-28T18:30:00Z,60.15,40.99
2026-04-28T18:31:00Z,58.35,41.95
2026-04-28T18:32:00Z,66.95,33.37
2026-04-28T18:33:00Z,77.98,25.99
2026-04-28T18:34:00Z,79.00,20.72
2026-04-28T18:35:00Z,79.00,19.00
2026-04-28T18:36:00Z,78.00,20.50
2026-04-28T18:37:00Z,80.38,17.50
2026-04-28T18:38:00Z,82.33,17.00
2026-04-28T18:39:00Z,82.33,18.00
2026-04-28T18:40:00Z,83.00,18.00
2026-04-28T18:41:00Z,82.59,18.00
2026-04-28T18:42:00Z,82.59,17.26
2026-04-28T18:43:00Z,83.00,18.00
2026-04-28T18:45:00Z,80.76,18.00
2026-04-28T18:47:00Z,81.00,20.00
2026-04-28T18:48:00Z,82.00,20.18
2026-04-28T18:49:00Z,79.00,23.00
2026-04-28T18:50:00Z,79.00,22.89
2026-04-28T18:51:00Z,76.07,24.36
2026-04-28T18:52:00Z,76.00,23.95
2026-04-28T18:53:00Z,76.00,19.23
2026-04-28T18:54:00Z,80.00,20.00
2026-04-28T18:55:00Z,79.99,21.00
2026-04-28T18:56:00Z,76.00,22.06
2026-04-28T18:57:00Z,76.00,24.77
2026-04-28T18:58:00Z,76.00,24.28
2026-04-28T18:59:00Z,74.80,27.87
2026-04-28T19:00:00Z,72.00,29.48
2026-04-28T19:01:00Z,62.08,36.14
2026-04-28T19:02:00Z,60.85,43.00
2026-04-28T19:03:00Z,63.67,35.60
2026-04-28T19:04:00Z,63.67,31.37
2026-04-28T19:05:00Z,68.36,30.75
2026-04-28T19:06:00Z,74.17,25.33
2026-04-28T19:07:00Z,75.00,26.14
2026-04-28T19:08:00Z,73.05,30.62
2026-04-28T19:09:00Z,75.36,24.87
2026-04-28T19:10:00Z,77.81,24.87
2026-04-28T19:11:00Z,77.78,18.94
2026-04-28T19:12:00Z,76.00,25.00
2026-04-28T19:13:00Z,76.00,25.00
2026-04-28T19:14:00Z,76.00,25.00
2026-04-28T19:15:00Z,79.37,27.00
2026-04-28T19:16:00Z,78.97,21.21
2026-04-28T19:17:00Z,84.39,17.82
2026-04-28T19:18:00Z,88.16,11.20
2026-04-28T19:19:00Z,93.35,6.19
2026-04-28T19:20:00Z,96.72,5.94
2026-04-28T19:21:00Z,97.05,3.14
2026-04-28T19:22:00Z,96.99,3.46
2026-04-28T19:23:00Z,94.20,8.51
2026-04-28T19:24:00Z,94.30,5.25
2026-04-28T19:25:00Z,97.86,3.42
2026-04-28T19:26:00Z,96.37,4.00
2026-04-28T19:27:00Z,98.98,1.74
2026-04-28T19:28:00Z,98.98,1.00
