# event_ticker=KXATPCHALLENGERMATCH-26MAR24MARSAN
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Pedro Martinez
# fav_player=Carlos Sanchez Jover
# dog_player=Pedro Martinez
# kalshi_date=2026-03-24
timestamp,Carlos Sanchez Jover,Pedro Martinez
2026-03-24T00:27:00Z,,73.00
2026-03-24T04:43:00Z,,74.00
2026-03-24T05:43:00Z,26.00,74.00
2026-03-24T06:57:00Z,26.00,74.00
2026-03-24T07:13:00Z,26.00,74.00
2026-03-24T07:52:00Z,26.00,74.00
2026-03-24T08:18:00Z,26.00,74.40
2026-03-24T08:51:00Z,26.00,75.00
2026-03-24T09:03:00Z,26.00,75.00
2026-03-24T09:11:00Z,26.00,75.00
2026-03-24T10:01:00Z,26.00,75.00
2026-03-24T10:21:00Z,26.00,75.00
2026-03-24T10:39:00Z,26.00,75.58
2026-03-24T10:43:00Z,26.00,76.00
2026-03-24T10:45:00Z,26.00,75.00
2026-03-24T10:52:00Z,26.00,75.00
2026-03-24T10:58:00Z,26.00,75.00
2026-03-24T10:59:00Z,26.00,75.00
2026-03-24T11:00:00Z,26.00,77.00
2026-03-24T11:02:00Z,26.00,76.00
2026-03-24T11:35:00Z,26.00,76.00
2026-03-24T11:36:00Z,26.00,76.00
2026-03-24T11:50:00Z,26.00,75.00
2026-03-24T11:52:00Z,26.00,75.00
2026-03-24T11:53:00Z,26.00,75.00
2026-03-24T11:54:00Z,26.00,75.00
2026-03-24T11:55:00Z,28.00,74.00
2026-03-24T11:56:00Z,31.00,74.97
2026-03-24T11:57:00Z,29.00,73.00
2026-03-24T11:58:00Z,24.00,78.00
2026-03-24T11:59:00Z,22.00,80.00
2026-03-24T12:00:00Z,20.00,80.00
2026-03-24T12:01:00Z,17.11,80.00
2026-03-24T12:02:00Z,17.00,80.00
2026-03-24T12:04:00Z,18.00,88.00
2026-03-24T12:05:00Z,18.00,85.00
2026-03-24T12:06:00Z,20.51,85.00
2026-03-24T12:07:00Z,20.51,88.19
2026-03-24T12:09:00Z,20.51,88.00
2026-03-24T12:10:00Z,20.51,86.00
2026-03-24T12:12:00Z,10.00,88.05
2026-03-24T12:13:00Z,10.00,85.46
2026-03-24T12:15:00Z,14.00,85.46
2026-03-24T12:16:00Z,14.00,87.00
2026-03-24T12:17:00Z,15.00,88.72
2026-03-24T12:18:00Z,11.00,87.16
2026-03-24T12:19:00Z,11.00,89.00
2026-03-24T12:20:00Z,14.06,87.00
2026-03-24T12:21:00Z,16.40,88.07
2026-03-24T12:23:00Z,16.40,86.99
2026-03-24T12:24:00Z,16.40,89.00
2026-03-24T12:25:00Z,11.00,90.00
2026-03-24T12:26:00Z,11.00,89.00
2026-03-24T12:27:00Z,11.00,89.00
2026-03-24T12:29:00Z,11.00,93.00
2026-03-24T12:30:00Z,11.00,93.70
2026-03-24T12:31:00Z,11.77,88.41
2026-03-24T12:32:00Z,11.77,87.00
2026-03-24T12:33:00Z,14.00,88.00
2026-03-24T12:34:00Z,13.00,88.00
2026-03-24T12:35:00Z,14.54,88.68
2026-03-24T12:36:00Z,10.00,88.68
2026-03-24T12:39:00Z,11.00,88.68
2026-03-24T12:40:00Z,26.87,90.00
2026-03-24T12:41:00Z,26.87,82.00
2026-03-24T12:42:00Z,26.87,91.00
2026-03-24T12:43:00Z,7.51,96.94
2026-03-24T12:44:00Z,6.20,95.01
2026-03-24T12:45:00Z,5.00,93.00
2026-03-24T12:46:00Z,9.34,93.27
2026-03-24T12:47:00Z,11.60,93.27
2026-03-24T12:49:00Z,6.00,95.14
2026-03-24T12:51:00Z,6.00,95.00
2026-03-24T12:52:00Z,6.00,95.11
2026-03-24T12:53:00Z,6.00,96.00
2026-03-24T12:54:00Z,6.30,94.00
2026-03-24T12:55:00Z,5.00,95.56
2026-03-24T12:56:00Z,4.20,96.02
2026-03-24T12:57:00Z,3.02,97.67
2026-03-24T12:58:00Z,3.00,97.00
2026-03-24T12:59:00Z,3.00,96.94
2026-03-24T13:00:00Z,2.00,99.00
2026-03-24T13:01:00Z,1.00,99.00
2026-03-24T13:03:00Z,1.00,99.00
2026-03-24T13:05:00Z,1.00,99.00
2026-03-24T13:07:00Z,1.00,99.00
2026-03-24T13:08:00Z,1.00,99.00
2026-03-24T13:10:00Z,1.00,99.00
2026-03-24T13:12:00Z,1.00,99.00
2026-03-24T13:13:00Z,1.00,99.00
2026-03-24T13:15:00Z,1.00,99.00
2026-03-24T13:16:00Z,1.00,99.00
2026-03-24T13:17:00Z,1.00,99.00
2026-03-24T13:18:00Z,1.00,99.00
2026-03-24T13:19:00Z,1.00,99.00
