# event_ticker=KXATPCHALLENGERMATCH-26MAY14FERSTR
# final_score=6-1 6-4
# match_winner=Arthur Fery
# fav_player=Arthur Fery
# dog_player=Dominic Stricker
# kalshi_date=2026-05-14
timestamp,Arthur Fery,Dominic Stricker
2026-05-14T00:47:00Z,53.00,
2026-05-14T00:54:00Z,53.00,
2026-05-14T01:11:00Z,52.00,
2026-05-14T03:38:00Z,52.00,52.00
2026-05-14T03:51:00Z,52.00,52.88
2026-05-14T03:57:00Z,52.00,52.00
2026-05-14T04:10:00Z,50.00,52.00
2026-05-14T04:11:00Z,50.00,52.00
2026-05-14T04:45:00Z,50.00,52.00
2026-05-14T04:47:00Z,50.00,52.00
2026-05-14T05:14:00Z,50.00,52.00
2026-05-14T05:26:00Z,50.00,52.49
2026-05-14T05:38:00Z,50.00,52.00
2026-05-14T05:39:00Z,50.00,52.62
2026-05-14T05:45:00Z,50.00,52.62
2026-05-14T05:56:00Z,50.00,52.62
2026-05-14T06:03:00Z,50.00,52.92
2026-05-14T06:15:00Z,50.00,53.00
2026-05-14T06:24:00Z,50.00,53.00
2026-05-14T06:40:00Z,50.00,53.00
2026-05-14T06:57:00Z,50.00,53.00
2026-05-14T09:02:00Z,50.00,55.88
2026-05-14T09:03:00Z,50.00,55.00
2026-05-14T09:06:00Z,50.00,55.00
2026-05-14T09:07:00Z,49.00,55.00
2026-05-14T09:09:00Z,49.00,52.00
2026-05-14T09:11:00Z,48.00,52.00
2026-05-14T09:12:00Z,48.00,49.00
2026-05-14T09:13:00Z,53.98,49.00
2026-05-14T09:14:00Z,53.98,47.00
2026-05-14T09:15:00Z,55.00,44.00
2026-05-14T09:16:00Z,55.00,51.00
2026-05-14T09:17:00Z,55.00,48.28
2026-05-14T09:18:00Z,55.67,42.15
2026-05-14T09:19:00Z,57.66,42.00
2026-05-14T09:20:00Z,63.95,34.31
2026-05-14T09:21:00Z,66.00,34.00
2026-05-14T09:22:00Z,60.00,34.00
2026-05-14T09:23:00Z,61.21,38.00
2026-05-14T09:24:00Z,61.21,40.00
2026-05-14T09:25:00Z,63.00,40.98
2026-05-14T09:26:00Z,64.63,34.00
2026-05-14T09:27:00Z,64.63,38.00
2026-05-14T09:28:00Z,65.39,33.00
2026-05-14T09:29:00Z,68.00,33.00
2026-05-14T09:30:00Z,68.00,31.56
2026-05-14T09:31:00Z,71.87,31.56
2026-05-14T09:32:00Z,75.19,23.04
2026-05-14T09:33:00Z,79.00,22.00
2026-05-14T09:34:00Z,80.00,22.00
2026-05-14T09:35:00Z,80.00,20.24
2026-05-14T09:36:00Z,81.00,20.00
2026-05-14T09:37:00Z,82.00,20.00
2026-05-14T09:39:00Z,81.00,20.00
2026-05-14T09:40:00Z,78.03,23.00
2026-05-14T09:41:00Z,75.25,25.00
2026-05-14T09:43:00Z,75.25,20.89
2026-05-14T09:45:00Z,81.00,21.00
2026-05-14T09:46:00Z,81.00,19.98
2026-05-14T09:47:00Z,79.00,20.55
2026-05-14T09:48:00Z,79.00,24.00
2026-05-14T09:49:00Z,76.00,25.00
2026-05-14T09:50:00Z,73.00,26.00
2026-05-14T09:51:00Z,72.98,30.03
2026-05-14T09:52:00Z,75.45,24.00
2026-05-14T09:53:00Z,77.00,22.00
2026-05-14T09:54:00Z,80.00,19.00
2026-05-14T09:55:00Z,84.42,15.05
2026-05-14T09:56:00Z,90.31,11.89
2026-05-14T09:57:00Z,86.09,15.00
2026-05-14T09:58:00Z,91.00,9.00
2026-05-14T09:59:00Z,88.00,10.55
2026-05-14T10:00:00Z,87.01,15.90
2026-05-14T10:01:00Z,83.57,17.44
2026-05-14T10:02:00Z,79.00,20.55
2026-05-14T10:03:00Z,77.00,24.00
2026-05-14T10:04:00Z,81.01,16.11
2026-05-14T10:05:00Z,79.00,21.78
2026-05-14T10:06:00Z,75.00,27.05
2026-05-14T10:07:00Z,75.00,29.00
2026-05-14T10:08:00Z,73.00,29.00
2026-05-14T10:09:00Z,71.97,28.70
2026-05-14T10:10:00Z,74.00,25.05
2026-05-14T10:11:00Z,70.00,28.06
2026-05-14T10:12:00Z,72.33,28.06
2026-05-14T10:13:00Z,76.88,24.74
2026-05-14T10:14:00Z,77.09,24.08
2026-05-14T10:15:00Z,79.97,23.39
2026-05-14T10:16:00Z,76.83,24.38
2026-05-14T10:17:00Z,75.44,25.12
2026-05-14T10:18:00Z,75.22,24.00
2026-05-14T10:19:00Z,76.63,22.40
2026-05-14T10:20:00Z,71.00,22.40
2026-05-14T10:21:00Z,73.19,28.97
2026-05-14T10:22:00Z,73.19,23.00
2026-05-14T10:23:00Z,73.19,23.00
2026-05-14T10:24:00Z,81.87,18.04
2026-05-14T10:25:00Z,89.03,9.20
2026-05-14T10:26:00Z,95.44,6.80
2026-05-14T10:27:00Z,96.00,4.27
2026-05-14T10:28:00Z,97.00,2.83
2026-05-14T10:29:00Z,95.83,4.81
2026-05-14T10:30:00Z,97.49,6.27
2026-05-14T10:31:00Z,96.26,3.44
2026-05-14T10:32:00Z,95.41,6.61
2026-05-14T10:33:00Z,98.90,1.18
2026-05-14T10:34:00Z,99.00,1.00
2026-05-14T10:36:00Z,99.00,1.00
