# event_ticker=KXATPCHALLENGERMATCH-26MAY13BARBAS
# final_score=6-1 6-4
# score_resolution=1-6 4-6
# match_winner=Tomas Barrios Vera
# fav_player=Nishesh Basavareddy
# dog_player=Marcelo Tomas Barrios Vera
# kalshi_date=2026-05-13
timestamp,Marcelo Tomas Barrios Vera,Nishesh Basavareddy
2026-05-13T00:52:00Z,59.44,41.00
2026-05-13T00:59:00Z,59.44,41.00
2026-05-13T01:14:00Z,59.44,39.00
2026-05-13T01:24:00Z,62.00,39.00
2026-05-13T02:11:00Z,62.00,39.00
2026-05-13T02:21:00Z,62.00,38.36
2026-05-13T02:31:00Z,62.00,38.36
2026-05-13T02:37:00Z,63.53,38.36
2026-05-13T02:46:00Z,64.00,38.36
2026-05-13T02:48:00Z,64.00,38.36
2026-05-13T02:57:00Z,64.00,38.00
2026-05-13T03:04:00Z,65.00,38.00
2026-05-13T03:52:00Z,65.00,38.00
2026-05-13T04:05:00Z,64.00,38.00
2026-05-13T04:22:00Z,64.00,38.00
2026-05-13T04:26:00Z,64.00,38.00
2026-05-13T04:31:00Z,64.00,38.00
2026-05-13T04:34:00Z,64.00,38.00
2026-05-13T04:50:00Z,64.00,38.00
2026-05-13T04:52:00Z,64.00,38.00
2026-05-13T05:08:00Z,64.00,38.00
2026-05-13T05:14:00Z,64.00,38.00
2026-05-13T05:15:00Z,64.00,38.00
2026-05-13T05:26:00Z,63.00,38.00
2026-05-13T05:29:00Z,63.00,38.00
2026-05-13T06:04:00Z,63.00,38.00
2026-05-13T06:05:00Z,63.00,38.00
2026-05-13T06:06:00Z,63.00,38.00
2026-05-13T06:20:00Z,63.00,38.00
2026-05-13T06:22:00Z,63.00,39.32
2026-05-13T06:36:00Z,63.00,40.00
2026-05-13T06:55:00Z,63.00,40.00
2026-05-13T07:01:00Z,62.00,40.00
2026-05-13T07:32:00Z,62.00,40.00
2026-05-13T07:40:00Z,62.00,40.00
2026-05-13T07:51:00Z,62.00,39.00
2026-05-13T08:01:00Z,62.00,40.00
2026-05-13T08:17:00Z,62.00,40.00
2026-05-13T09:19:00Z,62.00,40.00
2026-05-13T09:58:00Z,62.00,40.00
2026-05-13T10:02:00Z,61.00,40.00
2026-05-13T10:07:00Z,61.00,40.00
2026-05-13T10:09:00Z,61.00,40.00
2026-05-13T10:10:00Z,61.00,40.00
2026-05-13T10:12:00Z,61.00,40.00
2026-05-13T10:13:00Z,61.50,40.00
2026-05-13T10:14:00Z,65.25,39.00
2026-05-13T10:16:00Z,65.25,37.51
2026-05-13T10:19:00Z,67.00,37.51
2026-05-13T10:21:00Z,73.40,31.00
2026-05-13T10:22:00Z,73.40,26.00
2026-05-13T10:23:00Z,76.00,26.00
2026-05-13T10:24:00Z,72.00,26.00
2026-05-13T10:26:00Z,72.00,26.00
2026-05-13T10:27:00Z,72.00,26.00
2026-05-13T10:28:00Z,72.00,25.65
2026-05-13T10:29:00Z,73.00,26.00
2026-05-13T10:30:00Z,73.00,24.50
2026-05-13T10:31:00Z,73.00,25.00
2026-05-13T10:32:00Z,73.00,26.00
2026-05-13T10:33:00Z,76.15,26.00
2026-05-13T10:35:00Z,78.00,26.00
2026-05-13T10:37:00Z,78.00,23.07
2026-05-13T10:38:00Z,78.00,23.07
2026-05-13T10:39:00Z,78.00,23.07
2026-05-13T10:40:00Z,80.53,20.00
2026-05-13T10:41:00Z,83.57,20.00
2026-05-13T10:42:00Z,85.00,20.00
2026-05-13T10:43:00Z,85.00,15.04
2026-05-13T10:44:00Z,85.00,15.00
2026-05-13T10:46:00Z,85.00,15.00
2026-05-13T10:47:00Z,85.00,15.00
2026-05-13T10:48:00Z,88.96,11.35
2026-05-13T10:49:00Z,90.41,9.00
2026-05-13T10:51:00Z,92.14,7.01
2026-05-13T10:52:00Z,94.00,5.69
2026-05-13T10:53:00Z,95.00,7.00
2026-05-13T10:54:00Z,94.00,5.16
2026-05-13T10:55:00Z,93.00,5.16
2026-05-13T10:56:00Z,93.00,10.59
2026-05-13T10:57:00Z,89.00,10.96
2026-05-13T10:58:00Z,83.00,16.00
2026-05-13T10:59:00Z,84.36,13.00
2026-05-13T11:00:00Z,91.23,7.54
2026-05-13T11:02:00Z,92.25,8.77
2026-05-13T11:03:00Z,91.00,11.00
2026-05-13T11:04:00Z,93.99,7.00
2026-05-13T11:05:00Z,93.00,6.00
2026-05-13T11:06:00Z,96.00,4.00
2026-05-13T11:07:00Z,94.00,6.00
2026-05-13T11:08:00Z,93.91,6.00
2026-05-13T11:09:00Z,93.00,6.00
2026-05-13T11:40:00Z,98.96,1.00
2026-05-13T11:41:00Z,99.00,1.00
