# event_ticker=KXATPCHALLENGERMATCH-26APR14BOSOLI
# final_score=4-6 6-4 6-3
# score_resolution=6-4 4-6 3-6
# match_winner=Pedro Boscardin Dias
# fav_player=Genaro Alberto Olivieri
# dog_player=Pedro Boscardin Dias
# kalshi_date=2026-04-14
timestamp,Genaro Alberto Olivieri,Pedro Boscardin Dias
2026-04-14T14:22:00Z,,47.00
2026-04-14T15:17:00Z,55.00,47.00
2026-04-14T15:34:00Z,56.00,47.00
2026-04-14T15:38:00Z,56.00,45.00
2026-04-14T15:39:00Z,57.00,44.00
2026-04-14T15:40:00Z,57.00,45.00
2026-04-14T15:41:00Z,57.00,45.00
2026-04-14T16:05:00Z,57.00,45.00
2026-04-14T16:12:00Z,57.00,45.00
2026-04-14T16:56:00Z,57.00,45.00
2026-04-14T16:59:00Z,57.00,45.00
2026-04-14T17:02:00Z,57.00,45.00
2026-04-14T17:08:00Z,57.00,45.00
2026-04-14T17:12:00Z,57.00,45.00
2026-04-14T17:22:00Z,57.49,45.00
2026-04-14T17:23:00Z,58.00,45.00
2026-04-14T17:29:00Z,57.00,45.00
2026-04-14T17:36:00Z,57.00,45.00
2026-04-14T17:40:00Z,57.00,45.00
2026-04-14T17:42:00Z,57.00,45.00
2026-04-14T17:45:00Z,57.94,42.38
2026-04-14T18:12:00Z,58.00,42.38
2026-04-14T18:24:00Z,58.00,44.00
2026-04-14T18:28:00Z,57.00,44.00
2026-04-14T18:35:00Z,57.00,44.00
2026-04-14T18:39:00Z,57.00,44.00
2026-04-14T18:42:00Z,56.00,44.00
2026-04-14T18:46:00Z,57.00,44.20
2026-04-14T18:48:00Z,57.00,44.80
2026-04-14T18:49:00Z,57.00,44.80
2026-04-14T18:51:00Z,57.00,44.00
2026-04-14T18:52:00Z,57.00,45.26
2026-04-14T18:53:00Z,55.11,46.07
2026-04-14T18:54:00Z,51.00,47.78
2026-04-14T18:55:00Z,53.08,46.00
2026-04-14T18:56:00Z,53.00,46.24
2026-04-14T18:57:00Z,53.30,47.51
2026-04-14T18:58:00Z,49.32,49.68
2026-04-14T18:59:00Z,50.71,51.88
2026-04-14T19:00:00Z,54.63,44.00
2026-04-14T19:01:00Z,59.53,41.50
2026-04-14T19:02:00Z,58.78,40.73
2026-04-14T19:03:00Z,63.90,36.72
2026-04-14T19:04:00Z,69.38,31.00
2026-04-14T19:05:00Z,70.00,30.00
2026-04-14T19:06:00Z,69.81,29.25
2026-04-14T19:07:00Z,64.02,32.98
2026-04-14T19:08:00Z,59.09,36.93
2026-04-14T19:09:00Z,62.24,39.65
2026-04-14T19:10:00Z,57.31,43.94
2026-04-14T19:11:00Z,59.56,40.88
2026-04-14T19:12:00Z,62.99,40.00
2026-04-14T19:13:00Z,64.67,35.01
2026-04-14T19:14:00Z,61.86,39.42
2026-04-14T19:15:00Z,54.53,43.20
2026-04-14T19:16:00Z,57.45,45.13
2026-04-14T19:17:00Z,53.16,47.00
2026-04-14T19:18:00Z,53.62,47.45
2026-04-14T19:19:00Z,51.00,49.99
2026-04-14T19:20:00Z,49.33,51.44
2026-04-14T19:21:00Z,48.81,52.45
2026-04-14T19:22:00Z,42.10,60.97
2026-04-14T19:23:00Z,41.37,58.00
2026-04-14T19:24:00Z,48.87,54.16
2026-04-14T19:25:00Z,38.57,60.60
2026-04-14T19:26:00Z,36.00,64.96
2026-04-14T19:27:00Z,39.77,63.88
2026-04-14T19:28:00Z,32.78,67.26
2026-04-14T19:29:00Z,32.78,65.00
2026-04-14T19:30:00Z,42.34,57.00
2026-04-14T19:31:00Z,49.93,48.00
2026-04-14T19:32:00Z,51.00,51.00
2026-04-14T19:33:00Z,51.86,48.60
2026-04-14T19:34:00Z,53.49,45.10
2026-04-14T19:35:00Z,53.00,45.52
2026-04-14T19:36:00Z,56.54,45.00
2026-04-14T19:37:00Z,53.50,45.00
2026-04-14T19:39:00Z,58.96,39.00
2026-04-14T19:40:00Z,66.15,42.46
2026-04-14T19:41:00Z,72.84,25.85
2026-04-14T19:42:00Z,73.00,24.65
2026-04-14T19:43:00Z,69.03,30.50
