# event_ticker=KXATPCHALLENGERMATCH-26APR21DOSGOM
# final_score=6-0 2-0 RET
# match_winner=Stefan Dostanic
# fav_player=Federico Agustin Gomez
# dog_player=Stefan Dostanic
# kalshi_date=2026-04-21
timestamp,Stefan Dostanic,Federico Agustin Gomez
2026-04-21T10:57:00Z,54.00,
2026-04-21T11:22:00Z,54.68,
2026-04-21T11:41:00Z,54.00,
2026-04-21T11:57:00Z,54.00,
2026-04-21T12:29:00Z,54.00,47.00
2026-04-21T13:28:00Z,54.39,47.00
2026-04-21T13:57:00Z,55.00,47.00
2026-04-21T13:59:00Z,55.00,47.00
2026-04-21T14:11:00Z,55.00,47.00
2026-04-21T14:48:00Z,56.00,47.00
2026-04-21T15:33:00Z,56.00,47.00
2026-04-21T15:49:00Z,56.00,47.00
2026-04-21T15:56:00Z,56.00,47.00
2026-04-21T16:23:00Z,56.00,47.00
2026-04-21T16:44:00Z,55.00,47.00
2026-04-21T16:55:00Z,56.00,47.00
2026-04-21T17:00:00Z,56.00,47.00
2026-04-21T17:33:00Z,56.00,47.00
2026-04-21T17:36:00Z,56.00,47.00
2026-04-21T17:50:00Z,56.00,47.00
2026-04-21T17:54:00Z,54.00,47.00
2026-04-21T17:55:00Z,54.00,47.00
2026-04-21T18:10:00Z,55.00,47.00
2026-04-21T18:12:00Z,55.00,47.00
2026-04-21T18:22:00Z,55.00,44.00
2026-04-21T18:23:00Z,56.00,44.00
2026-04-21T18:36:00Z,56.00,44.00
2026-04-21T18:41:00Z,56.00,44.00
2026-04-21T18:42:00Z,56.00,45.00
2026-04-21T18:48:00Z,57.00,45.00
2026-04-21T18:51:00Z,57.00,45.00
2026-04-21T18:53:00Z,57.00,45.00
2026-04-21T18:54:00Z,57.00,45.00
2026-04-21T18:56:00Z,57.00,45.00
2026-04-21T19:02:00Z,57.00,45.00
2026-04-21T19:03:00Z,57.00,45.00
2026-04-21T19:04:00Z,57.00,45.00
2026-04-21T19:08:00Z,57.00,45.44
2026-04-21T19:22:00Z,57.00,45.90
2026-04-21T19:23:00Z,57.00,43.00
2026-04-21T19:24:00Z,57.00,43.00
2026-04-21T19:26:00Z,57.00,45.99
2026-04-21T19:27:00Z,57.00,45.99
2026-04-21T19:28:00Z,57.00,45.99
2026-04-21T19:31:00Z,57.00,45.99
2026-04-21T19:40:00Z,57.00,45.99
2026-04-21T19:41:00Z,57.00,45.96
2026-04-21T19:44:00Z,57.00,45.00
2026-04-21T19:47:00Z,56.99,45.00
2026-04-21T19:48:00Z,56.99,46.00
2026-04-21T19:50:00Z,57.00,46.00
2026-04-21T19:56:00Z,57.00,46.00
2026-04-21T19:57:00Z,57.00,46.00
2026-04-21T19:58:00Z,57.00,46.00
2026-04-21T20:00:00Z,57.00,46.00
2026-04-21T20:01:00Z,57.00,46.00
2026-04-21T20:02:00Z,57.00,46.00
2026-04-21T20:03:00Z,57.00,46.00
2026-04-21T20:04:00Z,57.00,46.00
2026-04-21T20:06:00Z,57.00,46.00
2026-04-21T20:07:00Z,57.00,46.00
2026-04-21T20:08:00Z,57.00,46.00
