# event_ticker=KXATPCHALLENGERMATCH-26MAR31BERGEN
# final_score=6-1 6-3
# match_winner=Remy Bertola
# fav_player=Remy Bertola
# dog_player=Tom Gentzsch
# kalshi_date=2026-03-31
timestamp,Remy Bertola,Tom Gentzsch
2026-04-01T20:29:00Z,,54.55
2026-04-01T20:30:00Z,,53.00
2026-04-01T20:51:00Z,,55.00
2026-04-01T20:58:00Z,,55.00
2026-04-01T22:45:00Z,,52.87
2026-04-02T00:45:00Z,,54.00
2026-04-02T01:05:00Z,47.00,53.00
2026-04-02T01:16:00Z,47.00,54.62
2026-04-02T02:54:00Z,47.00,55.00
2026-04-02T03:03:00Z,47.00,55.00
2026-04-02T03:12:00Z,47.00,55.00
2026-04-02T03:21:00Z,47.00,55.00
2026-04-02T03:58:00Z,47.00,55.00
2026-04-02T04:20:00Z,47.00,55.98
2026-04-02T04:30:00Z,47.00,55.98
2026-04-02T04:36:00Z,47.00,56.00
2026-04-02T04:50:00Z,47.00,56.00
2026-04-02T04:56:00Z,47.00,56.00
2026-04-02T05:04:00Z,47.00,56.00
2026-04-02T05:06:00Z,47.00,56.00
2026-04-02T05:08:00Z,47.00,56.00
2026-04-02T05:09:00Z,47.00,56.00
2026-04-02T05:30:00Z,47.00,56.00
2026-04-02T05:38:00Z,47.00,56.00
2026-04-02T05:51:00Z,47.00,56.00
2026-04-02T06:08:00Z,47.00,56.00
2026-04-02T06:13:00Z,47.00,56.00
2026-04-02T06:22:00Z,47.00,56.00
2026-04-02T06:28:00Z,47.00,56.00
2026-04-02T06:37:00Z,47.00,56.00
2026-04-02T06:52:00Z,45.00,56.00
2026-04-02T06:59:00Z,47.00,56.00
2026-04-02T09:01:00Z,61.01,48.84
2026-04-02T09:02:00Z,67.25,40.92
2026-04-02T09:03:00Z,71.90,30.84
2026-04-02T09:04:00Z,83.58,21.00
2026-04-02T09:05:00Z,78.23,22.74
2026-04-02T09:06:00Z,75.64,25.98
2026-04-02T09:07:00Z,79.13,35.34
2026-04-02T09:08:00Z,74.72,34.12
2026-04-02T09:09:00Z,67.39,34.88
2026-04-02T09:10:00Z,69.67,32.50
2026-04-02T09:11:00Z,69.20,32.78
2026-04-02T09:12:00Z,74.75,34.57
2026-04-02T09:13:00Z,72.67,28.14
2026-04-02T09:14:00Z,81.25,30.81
2026-04-02T09:15:00Z,78.00,22.46
2026-04-02T09:16:00Z,82.83,10.30
2026-04-02T09:17:00Z,94.37,11.85
2026-04-02T09:18:00Z,96.28,6.38
2026-04-02T09:19:00Z,94.96,5.96
2026-04-02T09:20:00Z,93.55,8.13
2026-04-02T09:21:00Z,90.14,8.13
2026-04-02T09:22:00Z,96.74,4.84
2026-04-02T09:23:00Z,86.34,4.84
2026-04-02T09:24:00Z,98.43,2.14
2026-04-02T09:25:00Z,99.00,1.01
2026-04-02T09:26:00Z,99.00,1.00
2026-04-02T09:27:00Z,99.00,1.00
2026-04-02T09:28:00Z,99.00,1.00
2026-04-02T09:29:00Z,99.00,1.00
2026-04-02T09:30:00Z,99.00,1.00
2026-04-02T09:31:00Z,99.00,1.00
