# event_ticker=KXATPCHALLENGERMATCH-26MAR20MENDAN
# final_score=6-3 6-4
# match_winner=Taro Daniel
# fav_player=Taro Daniel
# dog_player=Facundo Mena
# kalshi_date=2026-03-20
timestamp,Taro Daniel,Facundo Mena
2026-03-20T09:50:00Z,57.00,
2026-03-20T12:37:00Z,57.00,45.00
2026-03-20T13:07:00Z,56.00,45.00
2026-03-20T13:31:00Z,57.00,45.00
2026-03-20T15:11:00Z,57.00,45.00
2026-03-20T16:37:00Z,57.00,45.00
2026-03-20T17:23:00Z,57.00,45.00
2026-03-20T17:27:00Z,57.00,45.00
2026-03-20T17:37:00Z,57.00,45.00
2026-03-20T18:35:00Z,57.00,45.00
2026-03-20T18:38:00Z,57.00,45.00
2026-03-20T18:41:00Z,57.00,45.00
2026-03-20T19:00:00Z,57.33,45.00
2026-03-20T19:12:00Z,57.33,44.00
2026-03-20T19:19:00Z,57.33,44.00
2026-03-20T19:20:00Z,57.33,44.00
2026-03-20T19:25:00Z,57.00,44.00
2026-03-20T19:38:00Z,57.00,44.00
2026-03-20T19:42:00Z,56.00,44.00
2026-03-20T19:43:00Z,56.00,44.00
2026-03-20T19:44:00Z,56.00,44.00
2026-03-20T19:45:00Z,56.00,44.00
2026-03-20T19:46:00Z,56.00,44.00
2026-03-20T19:48:00Z,57.00,45.85
2026-03-20T19:49:00Z,57.00,45.85
2026-03-20T19:52:00Z,57.00,45.85
2026-03-20T19:55:00Z,57.00,45.91
2026-03-20T20:05:00Z,57.00,47.00
2026-03-20T20:06:00Z,57.00,44.00
2026-03-20T20:07:00Z,58.85,44.00
2026-03-20T20:08:00Z,60.40,40.00
2026-03-20T20:09:00Z,57.00,44.00
2026-03-20T20:10:00Z,58.49,41.00
2026-03-20T20:12:00Z,58.49,42.00
2026-03-20T20:14:00Z,62.00,42.00
2026-03-20T20:17:00Z,69.94,32.00
2026-03-20T20:18:00Z,75.00,32.00
2026-03-20T20:19:00Z,78.48,23.00
2026-03-20T20:20:00Z,79.41,23.00
2026-03-20T20:21:00Z,81.00,20.00
2026-03-20T20:22:00Z,82.88,17.00
2026-03-20T20:23:00Z,82.00,17.10
2026-03-20T20:24:00Z,82.26,17.75
2026-03-20T20:26:00Z,80.01,19.00
2026-03-20T20:27:00Z,80.01,18.00
2026-03-20T20:28:00Z,83.00,16.93
2026-03-20T20:29:00Z,83.00,17.00
2026-03-20T20:30:00Z,82.61,17.00
2026-03-20T20:31:00Z,82.61,18.00
2026-03-20T20:32:00Z,82.61,18.00
2026-03-20T20:33:00Z,82.61,22.00
2026-03-20T20:34:00Z,80.00,19.00
2026-03-20T20:35:00Z,81.97,20.53
2026-03-20T20:36:00Z,83.00,17.00
2026-03-20T20:37:00Z,84.00,16.81
2026-03-20T20:38:00Z,84.00,16.00
2026-03-20T20:39:00Z,84.27,16.00
2026-03-20T20:40:00Z,84.27,18.82
2026-03-20T20:42:00Z,77.00,18.82
2026-03-20T20:43:00Z,77.00,21.00
2026-03-20T20:44:00Z,77.00,20.66
2026-03-20T20:45:00Z,77.00,17.67
2026-03-20T20:46:00Z,85.87,14.80
2026-03-20T20:47:00Z,89.00,11.57
2026-03-20T20:48:00Z,87.85,14.95
2026-03-20T20:49:00Z,80.99,14.95
2026-03-20T20:50:00Z,79.00,21.00
2026-03-20T20:51:00Z,80.00,20.01
2026-03-20T20:52:00Z,81.23,20.00
2026-03-20T20:53:00Z,77.02,22.00
2026-03-20T20:54:00Z,77.02,29.00
2026-03-20T20:55:00Z,78.00,24.00
2026-03-20T20:56:00Z,78.00,24.98
2026-03-20T20:57:00Z,79.06,20.00
2026-03-20T20:58:00Z,79.06,23.00
2026-03-20T20:59:00Z,79.06,25.00
2026-03-20T21:00:00Z,79.06,25.00
2026-03-20T21:01:00Z,77.99,29.98
2026-03-20T21:02:00Z,77.99,22.00
2026-03-20T21:03:00Z,81.00,18.12
2026-03-20T21:04:00Z,84.57,14.24
2026-03-20T21:05:00Z,87.99,14.20
2026-03-20T21:06:00Z,93.91,5.66
2026-03-20T21:07:00Z,95.00,4.00
2026-03-20T21:08:00Z,96.00,4.15
2026-03-20T21:09:00Z,95.00,4.06
2026-03-20T21:10:00Z,92.83,12.00
2026-03-20T21:11:00Z,89.56,6.96
2026-03-20T21:12:00Z,89.56,7.00
2026-03-20T21:13:00Z,97.00,5.82
2026-03-20T21:14:00Z,98.00,2.28
2026-03-20T21:15:00Z,98.00,4.00
2026-03-20T21:16:00Z,97.00,4.00
2026-03-20T21:17:00Z,97.00,4.00
2026-03-20T21:18:00Z,97.75,3.85
2026-03-20T21:19:00Z,97.01,3.57
2026-03-20T21:20:00Z,96.35,3.73
2026-03-20T21:21:00Z,90.20,9.72
2026-03-20T21:22:00Z,94.98,5.91
2026-03-20T21:23:00Z,97.96,4.73
2026-03-20T21:24:00Z,97.51,1.44
2026-03-20T21:28:00Z,99.00,1.44
