# event_ticker=KXATPCHALLENGERMATCH-26MAY19DOSFOR
# final_score=2-6 7-6(3) 6-4
# score_resolution=2-6 7-6 6-4
# match_winner=Stefan Dostanic
# fav_player=Stefan Dostanic
# dog_player=Francesco Forti
# kalshi_date=2026-05-19
timestamp,Stefan Dostanic,Francesco Forti
2026-05-19T01:02:00Z,,52.00
2026-05-19T02:52:00Z,,51.00
2026-05-19T04:38:00Z,49.00,51.00
2026-05-19T04:54:00Z,49.00,51.00
2026-05-19T05:31:00Z,49.00,51.99
2026-05-19T06:40:00Z,49.00,51.00
2026-05-19T06:51:00Z,50.00,51.00
2026-05-19T08:07:00Z,50.00,51.00
2026-05-19T09:05:00Z,49.13,51.00
2026-05-19T09:07:00Z,50.00,51.00
2026-05-19T09:29:00Z,50.00,52.00
2026-05-19T09:45:00Z,50.00,52.00
2026-05-19T09:53:00Z,50.00,53.00
2026-05-19T10:38:00Z,48.00,53.00
2026-05-19T10:39:00Z,47.39,52.00
2026-05-19T10:55:00Z,46.00,52.00
2026-05-19T11:06:00Z,46.00,52.00
2026-05-19T11:08:00Z,46.00,53.00
2026-05-19T11:09:00Z,45.00,56.00
2026-05-19T11:10:00Z,43.53,57.00
2026-05-19T11:11:00Z,40.47,57.92
2026-05-19T11:12:00Z,40.47,64.44
2026-05-19T11:13:00Z,32.51,68.00
2026-05-19T11:18:00Z,32.51,76.00
2026-05-19T11:19:00Z,25.00,77.00
2026-05-19T11:21:00Z,34.11,70.00
2026-05-19T11:23:00Z,34.11,55.00
2026-05-19T11:24:00Z,37.00,55.00
2026-05-19T11:25:00Z,37.00,64.00
2026-05-19T11:27:00Z,31.73,64.00
2026-05-19T11:30:00Z,31.73,74.00
2026-05-19T11:33:00Z,28.76,74.00
2026-05-19T11:34:00Z,25.00,76.00
2026-05-19T11:35:00Z,27.00,76.00
2026-05-19T11:38:00Z,23.00,83.00
2026-05-19T11:39:00Z,23.00,83.00
2026-05-19T11:41:00Z,23.00,83.00
2026-05-19T11:43:00Z,22.00,83.00
2026-05-19T11:44:00Z,22.00,83.00
2026-05-19T11:45:00Z,21.21,83.00
2026-05-19T11:46:00Z,21.21,85.00
2026-05-19T11:48:00Z,21.21,83.00
2026-05-19T11:51:00Z,19.16,83.00
2026-05-19T11:52:00Z,17.00,83.00
2026-05-19T11:53:00Z,17.00,83.00
2026-05-19T11:54:00Z,17.94,84.00
2026-05-19T11:55:00Z,17.94,82.00
2026-05-19T11:56:00Z,19.42,82.00
2026-05-19T11:57:00Z,22.00,82.00
2026-05-19T11:58:00Z,23.00,82.00
2026-05-19T11:59:00Z,32.06,68.41
2026-05-19T12:00:00Z,35.00,64.99
2026-05-19T12:01:00Z,40.45,59.00
2026-05-19T12:02:00Z,42.00,60.43
2026-05-19T12:03:00Z,38.50,59.00
2026-05-19T12:04:00Z,45.00,59.00
2026-05-19T12:05:00Z,45.88,59.00
2026-05-19T12:06:00Z,47.00,53.00
2026-05-19T12:07:00Z,47.99,53.00
2026-05-19T12:08:00Z,43.00,56.09
2026-05-19T12:09:00Z,42.00,56.09
2026-05-19T12:10:00Z,45.00,56.09
2026-05-19T12:11:00Z,45.00,53.41
2026-05-19T12:13:00Z,48.09,53.41
2026-05-19T12:14:00Z,47.00,53.00
2026-05-19T12:15:00Z,46.00,53.00
2026-05-19T12:16:00Z,46.00,56.85
2026-05-19T12:17:00Z,41.00,57.00
2026-05-19T12:18:00Z,39.26,57.08
2026-05-19T12:19:00Z,38.64,61.04
2026-05-19T12:20:00Z,26.43,70.12
2026-05-19T12:21:00Z,23.00,79.00
2026-05-19T12:22:00Z,21.83,78.00
2026-05-19T12:23:00Z,22.80,80.15
2026-05-19T12:24:00Z,27.18,74.55
2026-05-19T12:25:00Z,38.76,60.11
2026-05-19T12:26:00Z,43.89,56.09
2026-05-19T12:27:00Z,42.13,58.00
2026-05-19T12:28:00Z,43.10,61.68
2026-05-19T12:29:00Z,27.40,74.40
2026-05-19T12:30:00Z,24.15,79.00
2026-05-19T12:31:00Z,19.75,78.42
2026-05-19T12:32:00Z,31.31,69.15
2026-05-19T12:33:00Z,32.17,65.72
