# event_ticker=KXATPCHALLENGERMATCH-26APR14VARMEN
# final_score=7-5 3-1 RET
# match_winner=Facundo Mena
# fav_player=Juan Pablo Varillas
# dog_player=Facundo Mena
# kalshi_date=2026-04-14
timestamp,Juan Pablo Varillas,Facundo Mena
2026-04-14T07:57:00Z,88.00,
2026-04-14T13:32:00Z,88.00,47.00
2026-04-14T14:23:00Z,59.00,47.00
2026-04-14T15:20:00Z,59.00,47.00
2026-04-14T16:13:00Z,60.00,47.00
2026-04-14T16:33:00Z,60.00,47.00
2026-04-14T17:38:00Z,60.00,45.00
2026-04-14T17:48:00Z,60.93,45.00
2026-04-14T18:13:00Z,62.00,45.00
2026-04-14T18:37:00Z,63.00,45.00
2026-04-14T18:59:00Z,60.00,45.00
2026-04-14T19:01:00Z,60.00,37.68
2026-04-14T19:04:00Z,60.00,37.68
2026-04-14T19:09:00Z,60.00,46.00
2026-04-14T19:10:00Z,58.00,52.81
2026-04-14T19:11:00Z,59.04,49.00
2026-04-14T19:12:00Z,61.44,49.00
2026-04-14T19:13:00Z,58.00,42.57
2026-04-14T19:14:00Z,58.48,42.96
2026-04-14T19:15:00Z,55.00,45.86
2026-04-14T19:16:00Z,55.00,45.86
2026-04-14T19:17:00Z,60.34,41.00
2026-04-14T19:18:00Z,60.98,39.08
2026-04-14T19:19:00Z,61.00,35.77
2026-04-14T19:20:00Z,67.42,32.55
2026-04-14T19:21:00Z,74.51,26.66
2026-04-14T19:22:00Z,74.51,23.98
2026-04-14T19:23:00Z,74.51,25.33
2026-04-14T19:24:00Z,75.00,24.51
2026-04-14T19:25:00Z,71.50,24.51
2026-04-14T19:26:00Z,70.55,31.00
2026-04-14T19:27:00Z,66.11,31.00
2026-04-14T19:29:00Z,69.76,31.96
2026-04-14T19:30:00Z,60.54,37.28
2026-04-14T19:31:00Z,60.54,41.00
2026-04-14T19:32:00Z,66.00,41.00
2026-04-14T19:33:00Z,69.11,41.55
2026-04-14T19:34:00Z,60.27,39.23
2026-04-14T19:35:00Z,58.37,39.23
2026-04-14T19:37:00Z,55.00,45.05
2026-04-14T19:38:00Z,44.21,55.03
2026-04-14T19:39:00Z,44.21,61.55
2026-04-14T19:40:00Z,45.00,54.80
2026-04-14T19:41:00Z,49.46,49.00
2026-04-14T19:42:00Z,57.58,49.00
2026-04-14T19:43:00Z,58.00,42.00
2026-04-14T19:44:00Z,56.00,42.78
2026-04-14T19:45:00Z,59.00,42.78
2026-04-14T19:46:00Z,60.96,42.56
2026-04-14T19:47:00Z,60.96,41.07
2026-04-14T19:48:00Z,60.96,43.00
2026-04-14T19:49:00Z,53.00,43.82
2026-04-14T19:50:00Z,53.00,49.97
2026-04-14T19:51:00Z,53.00,49.00
2026-04-14T19:53:00Z,56.00,46.57
2026-04-14T19:54:00Z,59.93,39.10
2026-04-14T19:55:00Z,59.93,40.06
2026-04-14T19:56:00Z,54.00,47.00
2026-04-14T19:57:00Z,54.40,43.94
2026-04-14T19:58:00Z,54.90,45.95
2026-04-14T19:59:00Z,52.47,50.00
2026-04-14T20:00:00Z,52.47,47.69
2026-04-14T20:01:00Z,49.52,54.06
2026-04-14T20:02:00Z,52.00,46.55
2026-04-14T20:03:00Z,59.96,41.05
2026-04-14T20:04:00Z,56.00,41.05
2026-04-14T20:05:00Z,56.00,54.00
2026-04-14T20:06:00Z,42.50,55.83
2026-04-14T20:07:00Z,52.59,57.78
2026-04-14T20:08:00Z,50.82,49.76
2026-04-14T20:09:00Z,53.97,49.83
2026-04-14T20:10:00Z,49.40,58.39
2026-04-14T20:11:00Z,41.85,61.76
2026-04-14T20:12:00Z,30.22,68.75
2026-04-14T20:13:00Z,30.93,71.00
2026-04-14T20:14:00Z,34.71,71.00
2026-04-14T20:15:00Z,36.30,68.94
2026-04-14T20:16:00Z,34.26,66.14
2026-04-14T20:17:00Z,36.72,65.66
2026-04-14T20:18:00Z,35.01,66.81
2026-04-14T20:19:00Z,30.71,69.39
2026-04-14T20:20:00Z,24.89,74.47
2026-04-14T20:21:00Z,25.83,75.14
2026-04-14T20:22:00Z,24.68,74.31
2026-04-14T20:23:00Z,23.60,77.00
2026-04-14T20:24:00Z,29.28,77.00
2026-04-14T20:25:00Z,33.26,63.12
2026-04-14T20:26:00Z,41.48,60.36
2026-04-14T20:27:00Z,40.02,63.28
2026-04-14T20:28:00Z,33.23,67.07
2026-04-14T20:29:00Z,29.90,74.07
2026-04-14T20:30:00Z,30.82,71.13
2026-04-14T20:31:00Z,29.63,72.60
2026-04-14T20:32:00Z,21.27,79.04
2026-04-14T20:33:00Z,28.28,75.75
2026-04-14T20:34:00Z,28.88,71.68
2026-04-14T20:35:00Z,24.30,78.50
2026-04-14T20:36:00Z,2.67,94.65
2026-04-14T20:37:00Z,1.00,99.00
2026-04-14T20:38:00Z,1.00,99.00
2026-04-14T20:39:00Z,1.00,99.00
2026-04-14T20:40:00Z,1.00,99.00
2026-04-14T20:42:00Z,1.00,99.00
