# event_ticker=KXATPCHALLENGERMATCH-26APR27BARSOR
# final_score=6-1 2-6 6-4
# match_winner=Tomas Barrios Vera
# fav_player=Marcelo Tomas Barrios Vera
# dog_player=Sebastian Sorger
# kalshi_date=2026-04-27
timestamp,Marcelo Tomas Barrios Vera,Sebastian Sorger
2026-04-27T02:01:00Z,78.00,
2026-04-27T05:01:00Z,78.00,
2026-04-27T05:53:00Z,78.00,22.00
2026-04-27T09:18:00Z,78.00,22.00
2026-04-27T09:22:00Z,76.00,22.00
2026-04-27T10:34:00Z,78.00,22.00
2026-04-27T10:35:00Z,78.00,25.00
2026-04-27T10:58:00Z,77.19,25.00
2026-04-27T11:18:00Z,78.00,25.00
2026-04-27T11:20:00Z,78.00,25.00
2026-04-27T11:21:00Z,78.99,25.00
2026-04-27T11:23:00Z,78.99,24.00
2026-04-27T11:24:00Z,78.99,21.16
2026-04-27T11:32:00Z,80.00,19.00
2026-04-27T11:33:00Z,82.94,19.00
2026-04-27T11:34:00Z,85.00,19.00
2026-04-27T11:38:00Z,85.00,11.00
2026-04-27T11:39:00Z,89.98,11.00
2026-04-27T11:42:00Z,89.00,11.55
2026-04-27T11:44:00Z,89.00,11.55
2026-04-27T11:45:00Z,89.00,11.55
2026-04-27T11:48:00Z,86.87,11.80
2026-04-27T11:49:00Z,86.87,9.87
2026-04-27T11:53:00Z,93.00,9.87
2026-04-27T11:54:00Z,93.00,9.87
2026-04-27T11:56:00Z,92.01,8.00
2026-04-27T11:57:00Z,91.00,9.64
2026-04-27T11:58:00Z,90.00,10.00
2026-04-27T11:59:00Z,89.00,10.00
2026-04-27T12:00:00Z,88.00,11.82
2026-04-27T12:01:00Z,88.08,11.09
2026-04-27T12:02:00Z,90.00,10.00
2026-04-27T12:03:00Z,91.17,10.00
2026-04-27T12:04:00Z,93.00,7.00
2026-04-27T12:05:00Z,94.00,6.06
2026-04-27T12:06:00Z,95.00,4.14
2026-04-27T12:07:00Z,96.00,4.00
2026-04-27T12:08:00Z,96.00,5.00
2026-04-27T12:09:00Z,95.99,5.45
2026-04-27T12:10:00Z,97.21,5.45
2026-04-27T12:11:00Z,97.00,3.00
2026-04-27T12:12:00Z,97.00,3.00
2026-04-27T12:13:00Z,97.00,4.00
2026-04-27T12:14:00Z,96.00,5.00
2026-04-27T12:15:00Z,94.94,5.09
2026-04-27T12:16:00Z,89.00,8.90
2026-04-27T12:17:00Z,89.00,12.00
2026-04-27T12:19:00Z,87.00,13.00
2026-04-27T12:20:00Z,86.02,14.14
2026-04-27T12:21:00Z,85.92,16.00
2026-04-27T12:22:00Z,80.08,18.66
2026-04-27T12:23:00Z,79.83,20.14
2026-04-27T12:24:00Z,76.98,23.40
2026-04-27T12:25:00Z,70.02,28.87
2026-04-27T12:26:00Z,67.00,32.71
2026-04-27T12:27:00Z,68.00,32.91
2026-04-27T12:28:00Z,69.00,33.00
2026-04-27T12:29:00Z,68.06,32.94
2026-04-27T12:30:00Z,66.89,34.66
2026-04-27T12:31:00Z,63.61,36.64
2026-04-27T12:32:00Z,60.47,38.81
2026-04-27T12:33:00Z,60.04,41.22
2026-04-27T12:34:00Z,60.00,42.00
2026-04-27T12:35:00Z,60.00,42.00
2026-04-27T12:36:00Z,60.00,42.00
2026-04-27T12:37:00Z,60.00,41.77
2026-04-27T12:38:00Z,63.29,37.38
2026-04-27T12:39:00Z,68.07,30.89
2026-04-27T12:40:00Z,59.09,41.16
2026-04-27T12:41:00Z,66.22,36.17
2026-04-27T12:42:00Z,58.31,44.84
2026-04-27T12:43:00Z,52.00,48.84
2026-04-27T12:44:00Z,47.35,51.74
2026-04-27T12:45:00Z,47.38,55.93
2026-04-27T12:46:00Z,48.78,52.00
2026-04-27T12:47:00Z,52.00,48.60
2026-04-27T12:48:00Z,53.62,50.52
2026-04-27T12:49:00Z,53.34,49.64
2026-04-27T12:50:00Z,54.81,47.17
2026-04-27T12:51:00Z,56.26,44.64
2026-04-27T12:52:00Z,56.64,43.06
2026-04-27T12:53:00Z,63.18,40.14
2026-04-27T12:54:00Z,70.64,28.02
2026-04-27T12:55:00Z,64.89,36.24
2026-04-27T12:56:00Z,74.86,24.27
2026-04-27T12:57:00Z,77.02,23.00
2026-04-27T12:58:00Z,73.00,23.00
2026-04-27T12:59:00Z,72.69,28.73
2026-04-27T13:00:00Z,77.51,21.66
2026-04-27T13:01:00Z,83.57,15.89
2026-04-27T13:02:00Z,84.67,15.91
2026-04-27T13:03:00Z,83.68,17.28
2026-04-27T13:04:00Z,84.16,17.28
2026-04-27T13:05:00Z,82.16,17.74
2026-04-27T13:06:00Z,79.92,21.00
2026-04-27T13:07:00Z,78.10,23.58
2026-04-27T13:08:00Z,78.88,23.52
2026-04-27T13:09:00Z,74.10,23.21
2026-04-27T13:10:00Z,70.32,29.26
2026-04-27T13:11:00Z,77.18,27.16
2026-04-27T13:12:00Z,81.47,19.01
2026-04-27T13:13:00Z,81.75,20.09
2026-04-27T13:14:00Z,86.44,14.89
2026-04-27T13:15:00Z,88.47,13.78
2026-04-27T13:16:00Z,89.09,10.18
2026-04-27T13:17:00Z,82.60,17.16
2026-04-27T13:18:00Z,82.00,19.00
2026-04-27T13:19:00Z,83.50,15.81
2026-04-27T13:20:00Z,87.89,13.26
2026-04-27T13:21:00Z,91.98,9.00
2026-04-27T13:22:00Z,92.00,8.74
2026-04-27T13:23:00Z,91.87,9.32
2026-04-27T13:24:00Z,89.17,10.91
2026-04-27T13:25:00Z,91.29,9.88
2026-04-27T13:26:00Z,93.40,8.80
2026-04-27T13:27:00Z,89.90,11.58
2026-04-27T13:28:00Z,89.02,10.96
2026-04-27T13:29:00Z,94.29,4.97
2026-04-27T13:30:00Z,98.03,1.14
2026-04-27T13:31:00Z,98.25,2.94
2026-04-27T13:32:00Z,99.00,3.52
2026-04-27T13:34:00Z,99.00,3.52
2026-04-27T13:35:00Z,99.00,3.52
