# event_ticker=KXATPCHALLENGERMATCH-26APR27PIEWIS
# final_score=6-4 6-1
# score_resolution=4-6 1-6
# match_winner=Samuele Pieri
# fav_player=Max Wiskandt
# dog_player=Samuele Pieri
# kalshi_date=2026-04-27
timestamp,Samuele Pieri,Max Wiskandt
2026-04-27T02:19:00Z,51.00,
2026-04-27T02:35:00Z,51.00,
2026-04-27T03:23:00Z,51.00,50.00
2026-04-27T04:01:00Z,51.00,50.00
2026-04-27T05:11:00Z,51.00,48.00
2026-04-27T05:12:00Z,53.00,48.00
2026-04-27T05:29:00Z,53.00,49.00
2026-04-27T05:30:00Z,53.00,49.00
2026-04-27T05:35:00Z,52.00,49.00
2026-04-27T05:58:00Z,52.00,49.00
2026-04-27T06:13:00Z,53.00,49.00
2026-04-27T06:21:00Z,53.00,50.69
2026-04-27T06:33:00Z,53.00,50.69
2026-04-27T06:34:00Z,52.00,50.00
2026-04-27T07:07:00Z,52.00,52.00
2026-04-27T07:57:00Z,50.00,52.00
2026-04-27T07:58:00Z,50.00,52.45
2026-04-27T08:56:00Z,50.00,53.00
2026-04-27T09:50:00Z,50.00,54.00
2026-04-27T09:54:00Z,50.00,54.00
2026-04-27T10:04:00Z,42.76,56.89
2026-04-27T10:05:00Z,53.17,47.61
2026-04-27T10:06:00Z,60.50,47.61
2026-04-27T10:07:00Z,57.00,42.20
2026-04-27T10:08:00Z,60.32,42.20
2026-04-27T10:09:00Z,54.41,47.25
2026-04-27T10:10:00Z,43.86,54.46
2026-04-27T10:11:00Z,43.00,58.00
2026-04-27T10:12:00Z,44.94,58.00
2026-04-27T10:13:00Z,52.57,42.48
2026-04-27T10:15:00Z,60.00,40.00
2026-04-27T10:16:00Z,61.38,40.00
2026-04-27T10:17:00Z,62.68,37.25
2026-04-27T10:18:00Z,63.00,37.23
2026-04-27T10:19:00Z,63.00,41.00
2026-04-27T10:21:00Z,60.59,39.29
2026-04-27T10:22:00Z,61.19,36.52
2026-04-27T10:23:00Z,63.00,38.00
2026-04-27T10:24:00Z,66.82,38.00
2026-04-27T10:25:00Z,66.88,34.63
2026-04-27T10:26:00Z,63.00,37.00
2026-04-27T10:28:00Z,55.36,44.46
2026-04-27T10:29:00Z,55.22,45.51
2026-04-27T10:30:00Z,64.59,36.40
2026-04-27T10:31:00Z,62.32,36.40
2026-04-27T10:32:00Z,59.79,38.17
2026-04-27T10:33:00Z,54.15,47.26
2026-04-27T10:34:00Z,63.65,47.26
2026-04-27T10:35:00Z,66.69,33.67
2026-04-27T10:36:00Z,67.81,33.67
2026-04-27T10:37:00Z,67.93,33.00
2026-04-27T10:38:00Z,65.26,34.51
2026-04-27T10:39:00Z,64.96,36.00
2026-04-27T10:40:00Z,64.27,38.86
2026-04-27T10:41:00Z,64.90,35.76
2026-04-27T10:42:00Z,64.87,34.62
2026-04-27T10:43:00Z,67.76,31.69
2026-04-27T10:44:00Z,71.00,30.41
2026-04-27T10:45:00Z,71.00,30.00
2026-04-27T10:46:00Z,71.83,30.00
2026-04-27T10:48:00Z,71.99,30.39
2026-04-27T10:49:00Z,72.39,27.62
2026-04-27T10:50:00Z,77.75,27.62
2026-04-27T10:51:00Z,84.69,16.00
2026-04-27T10:52:00Z,84.29,16.76
2026-04-27T10:53:00Z,79.00,18.00
2026-04-27T10:54:00Z,84.16,18.00
2026-04-27T10:55:00Z,88.34,12.00
2026-04-27T10:56:00Z,90.48,9.81
2026-04-27T10:57:00Z,93.12,6.57
2026-04-27T10:58:00Z,96.04,4.26
2026-04-27T10:59:00Z,96.91,3.89
2026-04-27T11:00:00Z,97.93,3.00
2026-04-27T11:01:00Z,96.00,3.06
2026-04-27T11:02:00Z,94.96,5.00
2026-04-27T11:03:00Z,97.43,6.00
2026-04-27T11:04:00Z,97.00,3.60
2026-04-27T11:05:00Z,99.00,1.07
2026-04-27T11:06:00Z,97.02,3.00
2026-04-27T11:07:00Z,98.00,3.00
2026-04-27T11:08:00Z,98.53,3.00
2026-04-27T11:09:00Z,99.00,3.00
2026-04-27T11:10:00Z,99.00,3.00
2026-04-27T11:11:00Z,98.72,1.11
2026-04-27T11:12:00Z,97.00,1.00
2026-04-27T11:13:00Z,97.00,1.00
2026-04-27T11:14:00Z,97.00,1.99
2026-04-27T11:16:00Z,97.00,1.00
2026-04-27T11:18:00Z,99.00,1.00
2026-04-27T11:21:00Z,99.00,1.00
