# event_ticker=KXATPCHALLENGERMATCH-26MAY14CECAND
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Andy Andrade
# fav_player=Marco Cecchinato
# dog_player=Andres Andrade
# kalshi_date=2026-05-14
timestamp,Marco Cecchinato,Andres Andrade
2026-05-13T23:45:00Z,62.00,
2026-05-13T23:58:00Z,62.00,40.00
2026-05-14T00:05:00Z,63.00,40.00
2026-05-14T00:31:00Z,63.00,39.00
2026-05-14T00:53:00Z,63.00,39.00
2026-05-14T02:26:00Z,64.00,39.00
2026-05-14T02:33:00Z,64.00,39.00
2026-05-14T03:05:00Z,64.00,39.00
2026-05-14T03:18:00Z,64.00,39.00
2026-05-14T03:26:00Z,64.00,37.00
2026-05-14T03:48:00Z,64.00,37.00
2026-05-14T03:54:00Z,64.00,37.00
2026-05-14T04:09:00Z,64.00,37.00
2026-05-14T04:11:00Z,64.00,39.00
2026-05-14T04:17:00Z,64.00,39.00
2026-05-14T04:24:00Z,64.00,39.00
2026-05-14T04:27:00Z,64.00,39.00
2026-05-14T04:30:00Z,64.00,39.00
2026-05-14T04:31:00Z,64.00,39.00
2026-05-14T04:32:00Z,64.00,39.00
2026-05-14T04:40:00Z,64.00,38.00
2026-05-14T04:46:00Z,64.00,38.00
2026-05-14T04:50:00Z,64.00,38.00
2026-05-14T04:57:00Z,64.00,38.00
2026-05-14T05:01:00Z,64.00,38.00
2026-05-14T05:07:00Z,64.00,38.00
2026-05-14T05:27:00Z,65.00,38.00
2026-05-14T05:37:00Z,65.00,38.00
2026-05-14T05:48:00Z,65.00,38.00
2026-05-14T06:02:00Z,65.00,38.00
2026-05-14T06:10:00Z,65.00,38.00
2026-05-14T06:11:00Z,65.00,38.00
2026-05-14T06:36:00Z,64.00,38.00
2026-05-14T06:44:00Z,64.00,38.00
2026-05-14T06:55:00Z,63.00,38.00
2026-05-14T09:01:00Z,35.13,60.46
2026-05-14T09:02:00Z,23.00,78.00
2026-05-14T09:03:00Z,19.94,79.19
2026-05-14T09:04:00Z,24.56,76.92
2026-05-14T09:05:00Z,27.55,77.34
2026-05-14T09:06:00Z,26.22,74.88
2026-05-14T09:07:00Z,17.81,81.65
2026-05-14T09:08:00Z,21.87,83.56
2026-05-14T09:09:00Z,14.94,85.70
2026-05-14T09:10:00Z,15.77,87.12
2026-05-14T09:11:00Z,18.99,83.39
2026-05-14T09:12:00Z,20.96,82.32
2026-05-14T09:13:00Z,17.78,83.92
2026-05-14T09:14:00Z,24.73,74.89
2026-05-14T09:15:00Z,27.88,70.96
2026-05-14T09:16:00Z,34.06,67.29
2026-05-14T09:17:00Z,35.07,63.20
2026-05-14T09:18:00Z,28.07,72.46
2026-05-14T09:19:00Z,24.91,77.75
2026-05-14T09:20:00Z,31.31,67.02
2026-05-14T09:21:00Z,17.10,77.39
2026-05-14T09:22:00Z,16.99,83.00
2026-05-14T09:23:00Z,19.42,80.59
2026-05-14T09:24:00Z,21.33,78.43
2026-05-14T09:25:00Z,25.54,73.53
2026-05-14T09:26:00Z,17.83,86.19
2026-05-14T09:27:00Z,16.06,86.19
2026-05-14T09:28:00Z,17.84,87.96
2026-05-14T09:29:00Z,14.25,89.60
2026-05-14T09:30:00Z,9.61,90.67
2026-05-14T09:31:00Z,11.23,90.37
2026-05-14T09:32:00Z,13.05,91.02
2026-05-14T09:33:00Z,13.60,86.98
2026-05-14T09:34:00Z,17.47,83.84
2026-05-14T09:35:00Z,22.33,80.94
2026-05-14T09:36:00Z,9.79,92.20
2026-05-14T09:37:00Z,5.20,94.04
2026-05-14T09:38:00Z,8.27,94.38
2026-05-14T09:39:00Z,9.82,90.96
2026-05-14T09:40:00Z,14.08,89.14
2026-05-14T09:41:00Z,18.42,79.74
2026-05-14T09:42:00Z,6.80,94.79
2026-05-14T09:43:00Z,1.53,98.65
2026-05-14T09:44:00Z,1.00,99.00
2026-05-14T09:45:00Z,1.00,99.00
2026-05-14T09:46:00Z,1.00,99.00
2026-05-14T09:48:00Z,1.00,99.00
2026-05-14T09:49:00Z,1.00,99.00
2026-05-14T09:51:00Z,1.00,99.00
2026-05-14T09:52:00Z,1.00,99.00
