# event_ticker=KXATPCHALLENGERMATCH-26FEB17TORKES
# final_score=6-4 6-3
# match_winner=Juan Bautista Torres
# fav_player=Juan Bautista Torres
# dog_player=Mariano Kestelboim
# kalshi_date=2026-02-17
timestamp,Juan Bautista Torres,Mariano Kestelboim
2026-02-17T14:33:00Z,75.00,27.00
2026-02-17T14:34:00Z,79.00,27.00
2026-02-17T15:08:00Z,75.00,27.00
2026-02-17T15:23:00Z,75.00,31.00
2026-02-17T15:25:00Z,72.00,31.00
2026-02-17T15:35:00Z,72.00,31.00
2026-02-17T15:41:00Z,72.00,32.00
2026-02-17T15:43:00Z,71.00,32.00
2026-02-17T15:46:00Z,71.00,32.00
2026-02-17T15:53:00Z,71.00,32.00
2026-02-17T15:54:00Z,72.00,32.00
2026-02-17T15:55:00Z,72.00,39.00
2026-02-17T15:56:00Z,72.00,31.81
2026-02-17T15:58:00Z,72.00,32.20
2026-02-17T16:06:00Z,64.00,39.00
2026-02-17T16:11:00Z,69.00,39.00
2026-02-17T16:14:00Z,71.52,31.00
2026-02-17T16:19:00Z,64.00,31.00
2026-02-17T16:20:00Z,64.00,31.00
2026-02-17T16:21:00Z,64.00,31.00
2026-02-17T16:23:00Z,64.50,31.00
2026-02-17T16:24:00Z,68.00,31.00
2026-02-17T16:25:00Z,69.00,31.00
2026-02-17T16:27:00Z,69.00,31.00
2026-02-17T16:46:00Z,70.80,31.00
2026-02-17T16:48:00Z,68.00,31.00
2026-02-17T16:57:00Z,76.00,31.00
2026-02-17T16:58:00Z,76.00,31.00
2026-02-17T17:04:00Z,75.98,31.00
2026-02-17T17:06:00Z,76.00,31.00
2026-02-17T17:25:00Z,74.00,26.00
2026-02-17T17:31:00Z,74.00,32.44
2026-02-17T17:32:00Z,76.47,32.44
2026-02-17T17:34:00Z,76.47,33.57
2026-02-17T17:38:00Z,76.47,33.99
2026-02-17T17:39:00Z,75.53,31.92
2026-02-17T17:40:00Z,74.99,31.92
2026-02-17T17:42:00Z,82.06,31.92
