# event_ticker=KXATPCHALLENGERMATCH-26MAR24CANVAS
# final_score=6-3 6-2
# match_winner=Carlo Alberto Caniato
# fav_player=Carlo Alberto Caniato
# dog_player=Jacopo Vasami
# kalshi_date=2026-03-24
timestamp,Carlo Alberto Caniato,Jacopo Vasami
2026-03-24T01:40:00Z,,57.00
2026-03-24T01:41:00Z,,57.00
2026-03-24T02:01:00Z,,58.00
2026-03-24T02:47:00Z,43.00,58.00
2026-03-24T04:59:00Z,44.00,58.00
2026-03-24T05:05:00Z,44.00,58.00
2026-03-24T05:20:00Z,44.00,58.00
2026-03-24T05:22:00Z,44.00,58.00
2026-03-24T05:23:00Z,43.00,58.00
2026-03-24T05:48:00Z,43.00,57.00
2026-03-24T06:26:00Z,44.00,57.00
2026-03-24T06:31:00Z,44.00,57.00
2026-03-24T07:00:00Z,44.00,58.00
2026-03-24T09:08:00Z,43.00,58.00
2026-03-24T09:24:00Z,44.00,58.00
2026-03-24T09:57:00Z,44.00,58.00
2026-03-24T10:00:00Z,43.00,58.00
2026-03-24T10:28:00Z,43.00,58.00
2026-03-24T10:53:00Z,43.00,57.00
2026-03-24T11:19:00Z,43.00,58.00
2026-03-24T11:48:00Z,43.00,60.00
2026-03-24T11:50:00Z,43.00,60.00
2026-03-24T11:58:00Z,43.00,60.00
2026-03-24T12:07:00Z,41.00,60.00
2026-03-24T12:08:00Z,41.00,60.00
2026-03-24T12:11:00Z,41.00,60.00
2026-03-24T12:13:00Z,41.00,60.00
2026-03-24T12:14:00Z,41.00,60.00
2026-03-24T12:19:00Z,40.00,60.00
2026-03-24T12:31:00Z,40.00,61.00
2026-03-24T12:38:00Z,40.00,61.00
2026-03-24T12:40:00Z,40.00,58.00
2026-03-24T12:42:00Z,40.00,57.50
2026-03-24T12:49:00Z,40.00,62.00
2026-03-24T12:54:00Z,43.00,62.00
2026-03-24T13:03:00Z,43.00,62.00
2026-03-24T13:05:00Z,43.00,60.00
2026-03-24T13:06:00Z,40.00,60.00
2026-03-24T13:07:00Z,43.00,60.00
2026-03-24T13:08:00Z,43.00,60.00
2026-03-24T13:09:00Z,43.00,60.00
2026-03-24T13:10:00Z,44.00,55.83
2026-03-24T13:11:00Z,48.00,55.87
2026-03-24T13:12:00Z,49.00,51.62
2026-03-24T13:13:00Z,52.81,49.70
2026-03-24T13:14:00Z,47.27,54.00
2026-03-24T13:15:00Z,47.00,57.08
2026-03-24T13:17:00Z,42.92,57.08
2026-03-24T13:18:00Z,44.73,56.13
2026-03-24T13:19:00Z,48.00,52.35
2026-03-24T13:20:00Z,47.00,53.29
2026-03-24T13:22:00Z,43.00,58.26
2026-03-24T13:23:00Z,49.40,50.25
2026-03-24T13:24:00Z,62.18,37.78
2026-03-24T13:25:00Z,66.29,38.00
2026-03-24T13:26:00Z,66.67,32.96
2026-03-24T13:27:00Z,66.18,35.00
2026-03-24T13:28:00Z,66.18,33.00
2026-03-24T13:29:00Z,68.50,38.16
2026-03-24T13:30:00Z,66.00,35.20
2026-03-24T13:31:00Z,68.00,33.00
2026-03-24T13:32:00Z,68.00,35.00
2026-03-24T13:33:00Z,67.01,31.46
2026-03-24T13:34:00Z,71.47,31.46
2026-03-24T13:35:00Z,71.82,29.00
2026-03-24T13:36:00Z,72.60,27.55
2026-03-24T13:37:00Z,72.60,29.07
2026-03-24T13:38:00Z,70.00,32.15
2026-03-24T13:39:00Z,64.29,37.00
2026-03-24T13:40:00Z,67.21,34.00
2026-03-24T13:41:00Z,67.00,31.83
2026-03-24T13:42:00Z,70.00,29.81
2026-03-24T13:43:00Z,73.00,28.45
2026-03-24T13:44:00Z,72.00,28.64
2026-03-24T13:45:00Z,71.99,29.00
2026-03-24T13:46:00Z,72.75,28.70
2026-03-24T13:47:00Z,79.53,21.44
2026-03-24T13:48:00Z,85.98,14.49
2026-03-24T13:49:00Z,87.80,13.49
2026-03-24T13:50:00Z,84.85,21.60
2026-03-24T13:51:00Z,79.13,19.11
2026-03-24T13:52:00Z,83.14,16.50
2026-03-24T13:53:00Z,90.91,10.00
2026-03-24T13:54:00Z,92.00,9.26
2026-03-24T13:55:00Z,90.43,9.46
2026-03-24T13:56:00Z,88.95,13.00
2026-03-24T13:57:00Z,88.75,13.00
2026-03-24T13:58:00Z,91.01,7.91
2026-03-24T13:59:00Z,94.36,7.78
2026-03-24T14:00:00Z,93.83,6.58
2026-03-24T14:01:00Z,91.99,8.26
2026-03-24T14:02:00Z,91.74,9.80
2026-03-24T14:03:00Z,89.23,10.44
2026-03-24T14:04:00Z,94.72,7.26
2026-03-24T14:05:00Z,95.10,5.71
2026-03-24T14:06:00Z,97.46,3.09
2026-03-24T14:07:00Z,96.80,2.33
2026-03-24T14:08:00Z,98.30,1.81
2026-03-24T14:09:00Z,98.97,1.09
2026-03-24T14:10:00Z,99.00,1.89
2026-03-24T14:11:00Z,99.00,1.00
2026-03-24T14:12:00Z,99.00,1.00
