# event_ticker=KXATPMATCH-25SEP21DANSHE
# final_score=7-6(2) 3-6 6-2
# score_resolution=7-6 3-6 6-2
# match_winner=Alexander Shevchenko
# fav_player=Alexander Shevchenko
# dog_player=Taro Daniel
# kalshi_date=2025-09-21
timestamp,Alexander Shevchenko,Taro Daniel
2025-09-21T01:20:00Z,51.00,
2025-09-21T01:37:00Z,51.00,50.99
2025-09-21T02:20:00Z,51.00,51.00
2025-09-21T02:25:00Z,51.00,51.00
2025-09-21T02:28:00Z,51.00,51.00
2025-09-21T03:09:00Z,51.00,51.00
2025-09-21T03:21:00Z,51.00,51.00
2025-09-21T03:22:00Z,51.00,51.00
2025-09-21T04:02:00Z,51.00,51.00
2025-09-21T04:07:00Z,51.00,51.00
2025-09-21T04:15:00Z,51.00,51.00
2025-09-21T04:16:00Z,51.00,51.00
2025-09-21T04:41:00Z,51.00,51.00
2025-09-21T04:42:00Z,52.00,51.00
2025-09-21T04:43:00Z,52.00,47.00
2025-09-21T04:44:00Z,52.00,47.00
2025-09-21T04:45:00Z,52.00,47.00
2025-09-21T04:54:00Z,52.00,48.00
2025-09-21T04:58:00Z,51.00,48.00
2025-09-21T05:05:00Z,51.00,48.00
2025-09-21T05:12:00Z,52.00,48.00
2025-09-21T05:14:00Z,52.00,48.00
2025-09-21T05:16:00Z,52.00,48.00
2025-09-21T05:17:00Z,52.00,48.00
2025-09-21T05:19:00Z,52.00,48.00
2025-09-21T05:21:00Z,52.00,48.00
2025-09-21T05:30:00Z,52.00,48.00
2025-09-21T05:40:00Z,52.00,48.00
2025-09-21T05:41:00Z,52.00,48.00
2025-09-21T05:43:00Z,52.00,48.00
2025-09-21T05:47:00Z,52.00,48.00
2025-09-21T05:48:00Z,52.00,48.00
2025-09-21T06:01:00Z,52.00,48.00
2025-09-21T06:03:00Z,52.00,48.00
2025-09-21T06:10:00Z,52.00,48.00
2025-09-21T06:11:00Z,52.00,48.00
2025-09-21T06:19:00Z,52.00,48.00
2025-09-21T06:33:00Z,52.00,49.00
2025-09-21T06:34:00Z,52.00,49.00
2025-09-21T07:03:00Z,52.00,49.00
2025-09-21T07:11:00Z,52.00,49.00
2025-09-21T07:13:00Z,53.00,49.00
2025-09-21T07:20:00Z,52.00,49.00
2025-09-21T07:29:00Z,52.00,49.00
2025-09-21T07:32:00Z,52.00,49.00
2025-09-21T07:34:00Z,52.00,49.00
2025-09-21T07:35:00Z,52.66,49.00
2025-09-21T07:39:00Z,53.00,49.00
2025-09-21T07:44:00Z,53.00,49.00
2025-09-21T07:48:00Z,53.00,48.00
2025-09-21T07:49:00Z,53.00,48.00
2025-09-21T07:53:00Z,53.00,48.00
2025-09-21T07:57:00Z,53.00,48.00
2025-09-21T07:59:00Z,53.00,48.00
2025-09-21T08:00:00Z,53.00,48.00
2025-09-21T08:06:00Z,51.53,48.00
2025-09-21T08:13:00Z,51.25,48.00
2025-09-21T08:14:00Z,53.00,48.00
2025-09-21T08:31:00Z,53.00,48.00
2025-09-21T08:41:00Z,53.00,48.00
2025-09-21T08:44:00Z,53.00,48.00
2025-09-21T08:49:00Z,53.00,48.00
2025-09-21T08:53:00Z,53.00,48.00
2025-09-21T09:04:00Z,53.55,48.00
2025-09-21T09:05:00Z,54.00,48.00
2025-09-21T09:08:00Z,54.00,48.00
2025-09-21T09:54:00Z,54.00,48.00
