# event_ticker=KXATPMATCH-26FEB21ETCKOP
# final_score=4-6 7-6(2) 7-6(4)
# score_resolution=4-6 7-6 7-6
# match_winner=Tomas Martin Etcheverry
# fav_player=Tomas Martin Etcheverry
# dog_player=Vit Kopriva
# kalshi_date=2026-02-21
timestamp,Tomas Martin Etcheverry,Vit Kopriva
2026-02-22T02:24:00Z,38.00,
2026-02-22T02:25:00Z,38.00,60.69
2026-02-22T02:27:00Z,39.79,60.00
2026-02-22T02:28:00Z,37.00,63.00
2026-02-22T02:30:00Z,38.00,62.00
2026-02-22T02:31:00Z,38.13,60.00
2026-02-22T02:32:00Z,38.00,60.02
2026-02-22T02:34:00Z,39.00,61.50
2026-02-22T02:35:00Z,37.82,60.00
2026-02-22T02:36:00Z,37.74,60.53
2026-02-22T02:37:00Z,39.58,60.53
2026-02-22T02:38:00Z,39.58,63.00
2026-02-22T02:39:00Z,37.18,63.00
2026-02-22T02:40:00Z,37.00,60.00
2026-02-22T02:42:00Z,38.94,60.00
2026-02-22T02:43:00Z,38.00,60.00
2026-02-22T02:44:00Z,37.05,62.00
2026-02-22T02:45:00Z,38.00,62.00
2026-02-22T02:46:00Z,37.25,60.00
2026-02-22T02:47:00Z,38.00,60.00
2026-02-22T02:48:00Z,38.00,60.02
2026-02-22T02:49:00Z,39.29,62.00
2026-02-22T02:50:00Z,38.00,60.50
2026-02-22T02:51:00Z,38.00,62.00
2026-02-22T02:53:00Z,38.00,61.00
2026-02-22T02:54:00Z,38.00,62.00
2026-02-22T02:55:00Z,38.00,60.00
2026-02-22T02:56:00Z,38.00,60.00
2026-02-22T02:58:00Z,38.00,62.00
2026-02-22T03:00:00Z,38.00,60.00
2026-02-22T03:04:00Z,38.00,59.79
2026-02-22T03:05:00Z,38.00,60.66
2026-02-22T03:06:00Z,38.00,60.05
2026-02-22T03:07:00Z,38.00,61.00
2026-02-22T03:08:00Z,38.00,60.00
2026-02-22T03:09:00Z,40.00,60.00
2026-02-22T03:10:00Z,38.00,60.00
2026-02-22T03:12:00Z,38.00,60.00
2026-02-22T03:13:00Z,38.00,59.00
2026-02-22T03:14:00Z,38.00,60.00
2026-02-22T03:15:00Z,38.00,60.00
2026-02-22T03:16:00Z,37.71,60.00
