# event_ticker=KXATPCHALLENGERMATCH-26MAR03JONDOS
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Stefan Dostanic
# fav_player=Maximus Jones
# dog_player=Stefan Dostanic
# kalshi_date=2026-03-03
timestamp,Maximus Jones,Stefan Dostanic
2026-03-03T08:24:00Z,96.00,
2026-03-03T08:30:00Z,96.00,96.00
2026-03-03T08:31:00Z,96.00,96.00
2026-03-03T08:39:00Z,4.00,7.00
2026-03-03T08:40:00Z,94.66,7.00
2026-03-03T08:43:00Z,94.66,6.00
2026-03-03T08:49:00Z,94.66,93.00
2026-03-03T08:57:00Z,94.66,93.17
2026-03-03T09:01:00Z,94.00,93.17
2026-03-03T09:04:00Z,94.00,82.00
2026-03-03T09:05:00Z,94.00,94.00
2026-03-03T09:07:00Z,15.00,88.00
2026-03-03T09:08:00Z,40.45,88.00
2026-03-03T09:09:00Z,16.00,87.00
2026-03-03T09:10:00Z,19.10,90.94
2026-03-03T09:11:00Z,15.00,90.00
2026-03-03T09:12:00Z,15.00,90.00
2026-03-03T09:13:00Z,29.00,66.00
2026-03-03T09:14:00Z,20.08,66.00
2026-03-03T09:15:00Z,20.33,66.00
2026-03-03T09:17:00Z,21.00,94.28
2026-03-03T09:18:00Z,21.00,95.00
2026-03-03T09:19:00Z,17.25,92.00
2026-03-03T09:21:00Z,17.25,94.25
2026-03-03T09:22:00Z,17.25,96.44
2026-03-03T09:23:00Z,2.95,97.92
2026-03-03T09:24:00Z,2.95,99.00
2026-03-03T09:25:00Z,1.00,97.30
2026-03-03T09:26:00Z,1.00,97.30
2026-03-03T09:27:00Z,1.00,99.00
