# event_ticker=KXATPCHALLENGERMATCH-26MAR20MMOPAC
# final_score=6-7(7) 6-2 6-2
# score_resolution=6-7 6-2 6-2
# match_winner=Michael Mmoh
# fav_player=Michael Mmoh
# dog_player=Rodrigo Pacheco Mendez
# kalshi_date=2026-03-20
timestamp,Michael Mmoh,Rodrigo Pacheco Mendez
2026-03-20T09:03:00Z,58.00,
2026-03-20T09:50:00Z,56.00,
2026-03-20T09:58:00Z,56.00,46.00
2026-03-20T10:01:00Z,54.00,46.00
2026-03-20T11:12:00Z,54.00,46.00
2026-03-20T11:41:00Z,55.00,46.00
2026-03-20T12:00:00Z,55.00,46.00
2026-03-20T12:10:00Z,54.00,46.00
2026-03-20T12:11:00Z,54.00,46.00
2026-03-20T12:12:00Z,54.00,46.00
2026-03-20T12:13:00Z,53.00,46.00
2026-03-20T12:14:00Z,53.00,46.00
2026-03-20T12:15:00Z,53.00,46.00
2026-03-20T12:16:00Z,53.00,46.00
2026-03-20T12:17:00Z,53.00,46.00
2026-03-20T12:18:00Z,53.00,46.00
2026-03-20T12:19:00Z,53.00,46.00
2026-03-20T12:20:00Z,53.00,46.00
2026-03-20T12:21:00Z,53.00,46.00
2026-03-20T12:22:00Z,53.00,46.00
2026-03-20T12:23:00Z,53.00,46.00
2026-03-20T12:24:00Z,53.00,46.00
2026-03-20T12:25:00Z,53.00,46.00
2026-03-20T12:26:00Z,53.00,46.00
2026-03-20T12:27:00Z,53.00,46.00
2026-03-20T12:28:00Z,53.00,46.00
2026-03-20T12:29:00Z,53.00,46.00
2026-03-20T13:30:00Z,52.56,46.00
2026-03-20T13:47:00Z,52.56,48.00
2026-03-20T14:26:00Z,53.58,48.00
2026-03-20T14:52:00Z,53.58,48.00
2026-03-20T15:01:00Z,53.58,48.00
2026-03-20T15:26:00Z,53.00,48.00
2026-03-20T15:33:00Z,54.00,48.00
2026-03-20T16:02:00Z,53.00,48.00
2026-03-20T16:23:00Z,53.00,48.00
2026-03-20T16:50:00Z,54.00,48.00
2026-03-20T17:23:00Z,54.00,48.00
2026-03-20T18:35:00Z,54.00,48.00
2026-03-20T18:41:00Z,54.00,48.00
2026-03-20T18:51:00Z,54.00,48.00
2026-03-20T19:08:00Z,53.00,48.00
2026-03-20T19:26:00Z,53.00,47.47
2026-03-20T19:38:00Z,53.00,47.47
2026-03-20T19:45:00Z,53.92,47.47
2026-03-20T19:47:00Z,54.29,47.47
2026-03-20T19:56:00Z,54.00,47.47
2026-03-20T20:20:00Z,54.00,47.47
2026-03-20T20:31:00Z,54.67,47.47
2026-03-20T20:33:00Z,54.00,47.47
