# event_ticker=KXATPCHALLENGERMATCH-26MAR09BERDOS
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Stefan Dostanic
# fav_player=Henry Bernet
# dog_player=Stefan Dostanic
# kalshi_date=2026-03-09
timestamp,Henry Bernet,Stefan Dostanic
2026-03-09T02:38:00Z,,70.00
2026-03-09T02:39:00Z,,72.00
2026-03-09T04:18:00Z,,72.00
2026-03-09T04:20:00Z,,72.00
2026-03-09T05:06:00Z,,72.00
2026-03-09T05:11:00Z,,72.00
2026-03-09T05:26:00Z,,72.00
2026-03-09T06:00:00Z,,72.00
2026-03-09T06:06:00Z,,73.00
2026-03-09T07:20:00Z,,72.00
2026-03-09T07:21:00Z,30.00,72.00
2026-03-09T08:16:00Z,30.00,72.00
2026-03-09T09:23:00Z,30.00,72.00
2026-03-09T09:24:00Z,30.00,72.56
2026-03-09T09:27:00Z,30.00,73.00
2026-03-09T09:39:00Z,30.00,72.00
2026-03-09T09:50:00Z,27.00,72.00
2026-03-09T10:00:00Z,27.00,72.00
2026-03-09T10:48:00Z,30.00,72.00
2026-03-09T11:11:00Z,30.00,73.00
2026-03-09T11:13:00Z,30.00,73.00
2026-03-09T11:30:00Z,30.00,73.00
2026-03-09T11:35:00Z,30.00,73.00
2026-03-09T11:36:00Z,30.00,73.00
2026-03-09T11:53:00Z,30.00,73.00
2026-03-09T11:58:00Z,30.00,73.00
2026-03-09T12:04:00Z,30.00,73.00
2026-03-09T12:06:00Z,29.00,73.00
2026-03-09T12:08:00Z,29.00,73.00
2026-03-09T12:19:00Z,30.00,72.00
2026-03-09T12:21:00Z,30.00,73.00
2026-03-09T12:24:00Z,30.00,73.00
2026-03-09T12:30:00Z,30.00,72.00
2026-03-09T12:32:00Z,30.00,73.00
2026-03-09T12:33:00Z,30.00,73.00
2026-03-09T12:35:00Z,30.00,73.00
2026-03-09T12:38:00Z,30.00,72.00
2026-03-09T12:39:00Z,30.00,72.00
2026-03-09T12:50:00Z,30.00,73.00
2026-03-09T12:56:00Z,30.00,73.00
2026-03-09T12:59:00Z,30.00,73.00
2026-03-09T13:03:00Z,30.00,73.00
2026-03-09T13:05:00Z,25.96,75.13
2026-03-09T13:06:00Z,28.93,75.13
2026-03-09T13:07:00Z,29.00,75.13
2026-03-09T13:08:00Z,29.00,75.00
2026-03-09T13:09:00Z,29.00,75.00
2026-03-09T13:10:00Z,29.00,74.41
2026-03-09T13:11:00Z,29.00,70.62
2026-03-09T13:12:00Z,32.82,70.00
2026-03-09T13:13:00Z,32.00,68.36
2026-03-09T13:14:00Z,33.83,68.49
2026-03-09T13:15:00Z,35.00,69.77
2026-03-09T13:16:00Z,41.02,64.70
2026-03-09T13:17:00Z,37.23,62.87
2026-03-09T13:18:00Z,38.87,62.25
2026-03-09T13:19:00Z,31.86,68.42
2026-03-09T13:20:00Z,32.91,70.92
2026-03-09T13:21:00Z,20.39,77.66
2026-03-09T13:22:00Z,22.84,77.66
