# event_ticker=KXATPCHALLENGERMATCH-26MAY26BENBON
# final_score=6-1 6-4
# score_resolution=1-6 4-6
# match_winner=Federico Bondioli
# fav_player=Karim Bennani
# dog_player=Federico Bondioli
# kalshi_date=2026-05-26
timestamp,Karim Bennani,Federico Bondioli
2026-05-26T02:31:00Z,37.00,
2026-05-26T09:11:00Z,37.00,65.00
2026-05-26T09:12:00Z,37.00,65.00
2026-05-26T10:06:00Z,41.00,65.65
2026-05-26T10:07:00Z,41.00,67.00
2026-05-26T10:08:00Z,36.58,62.10
2026-05-26T10:09:00Z,41.00,62.10
2026-05-26T10:10:00Z,36.00,66.00
2026-05-26T10:11:00Z,35.92,70.54
2026-05-26T10:12:00Z,27.00,70.54
2026-05-26T10:13:00Z,27.00,72.00
2026-05-26T10:14:00Z,25.67,72.00
2026-05-26T10:16:00Z,22.90,72.00
2026-05-26T10:17:00Z,22.50,76.50
2026-05-26T10:19:00Z,22.50,73.00
2026-05-26T10:21:00Z,27.00,73.00
2026-05-26T10:22:00Z,27.00,73.00
2026-05-26T10:23:00Z,27.00,72.96
2026-05-26T10:24:00Z,26.00,72.96
2026-05-26T10:25:00Z,26.00,72.96
2026-05-26T10:26:00Z,20.00,80.76
2026-05-26T10:27:00Z,17.98,83.00
2026-05-26T10:28:00Z,16.15,84.05
2026-05-26T10:29:00Z,16.15,86.00
2026-05-26T10:31:00Z,15.00,85.11
2026-05-26T10:33:00Z,15.00,87.00
2026-05-26T10:37:00Z,13.00,89.00
2026-05-26T10:38:00Z,12.00,89.00
2026-05-26T10:39:00Z,12.00,90.00
2026-05-26T10:41:00Z,11.00,89.53
2026-05-26T10:42:00Z,8.99,92.00
2026-05-26T10:43:00Z,10.00,92.00
2026-05-26T10:44:00Z,10.00,90.00
2026-05-26T10:45:00Z,12.00,87.24
2026-05-26T10:46:00Z,12.00,88.38
2026-05-26T10:47:00Z,11.00,90.00
2026-05-26T10:49:00Z,8.00,90.00
2026-05-26T10:50:00Z,8.00,93.00
2026-05-26T10:51:00Z,5.00,94.99
2026-05-26T10:52:00Z,4.00,95.93
2026-05-26T10:53:00Z,4.00,97.00
2026-05-26T10:54:00Z,2.03,98.01
2026-05-26T10:55:00Z,1.00,98.00
2026-05-26T10:57:00Z,1.00,98.00
2026-05-26T10:58:00Z,1.70,98.74
2026-05-26T10:59:00Z,1.70,98.00
2026-05-26T11:00:00Z,2.00,98.00
2026-05-26T11:01:00Z,2.00,99.00
2026-05-26T11:02:00Z,3.00,97.00
2026-05-26T11:03:00Z,3.00,97.00
2026-05-26T11:04:00Z,3.00,96.84
2026-05-26T11:05:00Z,6.00,95.00
2026-05-26T11:06:00Z,7.86,93.00
2026-05-26T11:07:00Z,10.82,89.00
2026-05-26T11:08:00Z,12.23,87.01
2026-05-26T11:09:00Z,12.00,87.54
2026-05-26T11:10:00Z,12.00,89.00
2026-05-26T11:11:00Z,12.00,89.00
2026-05-26T11:12:00Z,13.85,86.02
2026-05-26T11:13:00Z,15.00,86.02
2026-05-26T11:14:00Z,18.45,81.00
2026-05-26T11:15:00Z,20.00,81.00
2026-05-26T11:16:00Z,20.44,80.79
2026-05-26T11:17:00Z,16.88,84.96
2026-05-26T11:18:00Z,11.65,89.00
2026-05-26T11:19:00Z,11.65,90.49
2026-05-26T11:20:00Z,5.47,93.56
2026-05-26T11:21:00Z,1.03,97.41
2026-05-26T11:22:00Z,1.03,99.00
2026-05-26T11:23:00Z,1.03,99.00
