# event_ticker=KXATPCHALLENGERMATCH-26FEB16BICPOL
# final_score=4-6 7-5 6-1
# score_resolution=6-4 5-7 1-6
# match_winner=Karl Poling
# fav_player=Blaise Bicknell
# dog_player=Karl Poling
# kalshi_date=2026-02-16
timestamp,Blaise Bicknell,Karl Poling
2026-02-16T11:54:00Z,67.00,
2026-02-16T12:53:00Z,67.00,36.00
2026-02-16T13:15:00Z,67.00,36.00
2026-02-16T13:54:00Z,67.00,33.00
2026-02-16T14:05:00Z,67.00,33.00
2026-02-16T14:37:00Z,67.00,33.00
2026-02-16T15:50:00Z,68.00,33.00
2026-02-16T16:33:00Z,68.00,33.00
2026-02-16T16:51:00Z,68.00,35.00
2026-02-16T16:52:00Z,68.00,33.00
2026-02-16T17:01:00Z,68.00,33.00
2026-02-16T17:37:00Z,68.00,33.00
2026-02-16T17:38:00Z,68.00,33.00
2026-02-16T17:47:00Z,68.00,33.00
2026-02-16T17:56:00Z,68.00,33.00
2026-02-16T18:34:00Z,68.00,33.00
2026-02-16T18:37:00Z,68.00,33.00
2026-02-16T18:40:00Z,65.00,33.00
2026-02-16T19:03:00Z,67.00,33.00
2026-02-16T19:04:00Z,67.00,33.00
2026-02-16T19:05:00Z,67.00,33.00
2026-02-16T19:22:00Z,67.00,33.00
2026-02-16T19:28:00Z,67.00,33.00
2026-02-16T19:41:00Z,67.00,33.00
2026-02-16T19:43:00Z,67.00,33.00
2026-02-16T19:45:00Z,67.00,33.00
2026-02-16T19:48:00Z,67.00,33.00
2026-02-16T19:59:00Z,69.00,33.00
2026-02-16T20:00:00Z,69.00,33.00
2026-02-16T20:03:00Z,69.00,33.00
2026-02-16T20:15:00Z,69.00,33.00
2026-02-16T20:22:00Z,69.00,33.00
2026-02-16T20:23:00Z,69.00,33.00
2026-02-16T20:29:00Z,69.00,33.00
2026-02-16T20:31:00Z,69.00,34.00
2026-02-16T20:35:00Z,69.00,34.00
2026-02-16T20:41:00Z,68.00,34.00
2026-02-16T20:43:00Z,68.91,34.00
2026-02-16T20:47:00Z,69.00,34.00
2026-02-16T20:48:00Z,69.65,34.00
2026-02-16T20:50:00Z,69.00,34.00
2026-02-16T20:51:00Z,69.00,34.00
