# event_ticker=KXATPMATCH-26MAY19KOVGEA
# final_score=6-2 7-6(3)
# score_resolution=6-2 7-6
# match_winner=Aleksandar Kovacevic
# fav_player=Aleksandar Kovacevic
# dog_player=Arthur Gea
# kalshi_date=2026-05-19
timestamp,Aleksandar Kovacevic,Arthur Gea
2026-05-18T22:42:00Z,45.00,
2026-05-18T23:40:00Z,46.00,
2026-05-18T23:42:00Z,46.00,55.00
2026-05-18T23:56:00Z,46.00,55.00
2026-05-19T00:00:00Z,45.00,55.00
2026-05-19T00:01:00Z,45.00,55.00
2026-05-19T01:15:00Z,45.00,55.00
2026-05-19T01:19:00Z,45.00,55.00
2026-05-19T01:55:00Z,45.00,55.00
2026-05-19T02:03:00Z,45.00,55.00
2026-05-19T02:06:00Z,45.00,55.33
2026-05-19T02:30:00Z,45.00,55.96
2026-05-19T02:49:00Z,45.00,56.00
2026-05-19T03:47:00Z,45.00,56.00
2026-05-19T03:49:00Z,45.00,56.00
2026-05-19T03:50:00Z,45.00,56.00
2026-05-19T04:03:00Z,45.00,56.00
2026-05-19T04:05:00Z,45.00,56.00
2026-05-19T04:08:00Z,45.00,56.00
2026-05-19T04:10:00Z,45.00,56.00
2026-05-19T04:14:00Z,45.00,56.00
2026-05-19T04:21:00Z,45.00,56.00
2026-05-19T04:24:00Z,45.00,56.00
2026-05-19T04:31:00Z,45.00,56.00
2026-05-19T04:32:00Z,45.00,56.00
2026-05-19T04:44:00Z,45.00,56.00
2026-05-19T04:56:00Z,45.00,56.00
2026-05-19T04:57:00Z,45.00,56.00
2026-05-19T05:02:00Z,45.00,56.69
2026-05-19T05:03:00Z,45.00,57.00
2026-05-19T05:06:00Z,45.00,57.00
2026-05-19T05:08:00Z,45.00,57.00
2026-05-19T05:09:00Z,45.00,57.00
2026-05-19T05:12:00Z,45.00,56.00
2026-05-19T05:14:00Z,45.00,56.00
2026-05-19T05:21:00Z,45.00,56.00
2026-05-19T05:28:00Z,45.00,56.00
2026-05-19T05:29:00Z,45.00,56.00
2026-05-19T05:34:00Z,45.00,56.24
2026-05-19T05:36:00Z,45.00,56.24
2026-05-19T05:46:00Z,45.00,57.00
2026-05-19T05:47:00Z,45.00,56.00
2026-05-19T05:49:00Z,45.00,57.00
2026-05-19T05:50:00Z,44.00,57.00
2026-05-19T05:51:00Z,45.00,57.00
2026-05-19T05:56:00Z,45.00,57.00
2026-05-19T06:01:00Z,45.00,57.00
2026-05-19T06:08:00Z,44.00,57.00
2026-05-19T06:15:00Z,44.00,57.00
2026-05-19T06:22:00Z,44.00,57.00
2026-05-19T06:28:00Z,44.00,57.00
2026-05-19T06:30:00Z,45.00,57.00
2026-05-19T06:36:00Z,45.00,57.00
2026-05-19T06:38:00Z,45.00,57.00
2026-05-19T06:42:00Z,45.00,57.00
2026-05-19T06:49:00Z,45.00,57.00
2026-05-19T06:51:00Z,45.00,57.00
2026-05-19T06:52:00Z,45.00,57.00
2026-05-19T06:56:00Z,45.00,57.00
2026-05-19T07:04:00Z,44.00,57.00
2026-05-19T07:14:00Z,44.00,57.46
2026-05-19T07:15:00Z,45.00,58.00
2026-05-19T07:17:00Z,45.00,56.00
2026-05-19T07:22:00Z,45.00,57.00
2026-05-19T07:26:00Z,45.00,57.00
2026-05-19T07:27:00Z,45.00,58.00
2026-05-19T07:31:00Z,45.00,58.00
2026-05-19T07:37:00Z,45.00,58.00
