# event_ticker=KXATPMATCH-26MAY20DARHAN
# final_score=7-6(7) 7-5
# score_resolution=6-7 5-7
# match_winner=Luciano Darderi
# fav_player=Yannick Hanfmann
# dog_player=Luciano Darderi
# kalshi_date=2026-05-20
timestamp,Luciano Darderi,Yannick Hanfmann
2026-05-20T07:46:00Z,64.00,
2026-05-20T08:01:00Z,64.00,
2026-05-20T08:04:00Z,64.00,
2026-05-20T08:08:00Z,64.00,
2026-05-20T08:09:00Z,64.00,37.00
2026-05-20T08:10:00Z,64.00,37.00
2026-05-20T08:11:00Z,64.00,37.00
2026-05-20T08:14:00Z,63.00,37.00
2026-05-20T08:15:00Z,64.03,37.00
2026-05-20T08:18:00Z,64.00,37.00
2026-05-20T08:25:00Z,64.00,37.00
2026-05-20T08:40:00Z,64.00,37.00
2026-05-20T08:42:00Z,64.00,37.00
2026-05-20T09:01:00Z,64.00,37.00
2026-05-20T09:17:00Z,64.00,37.00
2026-05-20T10:03:00Z,63.00,37.00
2026-05-20T10:08:00Z,63.00,37.00
2026-05-20T10:31:00Z,63.00,37.00
2026-05-20T10:38:00Z,63.00,37.00
2026-05-20T10:43:00Z,63.00,36.00
2026-05-20T10:44:00Z,63.00,36.00
2026-05-20T10:45:00Z,63.00,36.00
2026-05-20T10:46:00Z,63.00,36.00
2026-05-20T10:47:00Z,63.00,36.00
2026-05-20T10:48:00Z,63.00,36.00
2026-05-20T10:49:00Z,63.00,36.00
2026-05-20T10:50:00Z,63.00,36.00
2026-05-20T10:51:00Z,63.00,36.00
2026-05-20T10:52:00Z,63.00,36.00
2026-05-20T10:53:00Z,63.00,36.09
2026-05-20T10:54:00Z,63.00,36.00
2026-05-20T10:55:00Z,63.00,36.00
2026-05-20T10:56:00Z,63.00,36.00
2026-05-20T10:57:00Z,63.00,36.00
2026-05-20T10:58:00Z,63.00,36.00
2026-05-20T10:59:00Z,63.00,36.00
2026-05-20T11:00:00Z,63.00,36.00
2026-05-20T11:01:00Z,63.00,36.00
2026-05-20T11:02:00Z,63.00,36.00
2026-05-20T11:03:00Z,63.00,36.00
2026-05-20T11:04:00Z,63.00,36.00
2026-05-20T11:05:00Z,63.00,36.00
2026-05-20T11:10:00Z,63.00,36.00
2026-05-20T11:11:00Z,63.00,36.00
2026-05-20T11:14:00Z,63.00,36.00
2026-05-20T11:17:00Z,63.00,36.00
2026-05-20T11:35:00Z,63.00,36.00
2026-05-20T11:37:00Z,63.00,37.00
2026-05-20T11:38:00Z,63.00,37.00
2026-05-20T11:46:00Z,63.00,37.00
2026-05-20T11:54:00Z,63.00,37.00
2026-05-20T11:58:00Z,63.00,37.00
2026-05-20T12:01:00Z,63.00,37.00
2026-05-20T12:05:00Z,63.00,37.00
2026-05-20T12:09:00Z,63.00,37.00
2026-05-20T12:13:00Z,63.00,37.00
2026-05-20T12:17:00Z,63.00,37.00
2026-05-20T12:21:00Z,63.00,37.00
2026-05-20T12:25:00Z,63.00,37.00
2026-05-20T12:26:00Z,63.00,37.00
2026-05-20T12:27:00Z,63.00,37.00
2026-05-20T12:29:00Z,63.00,37.00
2026-05-20T12:30:00Z,63.00,37.00
2026-05-20T12:33:00Z,63.00,37.00
2026-05-20T12:35:00Z,63.00,37.00
2026-05-20T12:38:00Z,64.45,37.00
2026-05-20T12:42:00Z,64.45,37.00
2026-05-20T12:45:00Z,65.00,37.00
2026-05-20T12:46:00Z,65.00,37.00
2026-05-20T12:47:00Z,65.00,37.00
2026-05-20T12:49:00Z,65.00,37.00
2026-05-20T12:59:00Z,65.00,37.00
2026-05-20T13:06:00Z,65.00,37.00
2026-05-20T13:10:00Z,65.00,37.00
2026-05-20T13:15:00Z,65.00,37.00
2026-05-20T13:19:00Z,64.00,37.00
2026-05-20T13:22:00Z,64.00,37.00
2026-05-20T13:25:00Z,64.00,37.00
2026-05-20T13:38:00Z,65.00,37.00
2026-05-20T13:40:00Z,65.00,37.00
2026-05-20T13:41:00Z,65.00,36.00
2026-05-20T13:43:00Z,65.00,36.00
2026-05-20T13:47:00Z,64.00,36.00
2026-05-20T13:51:00Z,65.00,36.00
2026-05-20T13:52:00Z,65.00,37.00
2026-05-20T13:54:00Z,64.76,37.00
2026-05-20T13:55:00Z,64.14,37.00
2026-05-20T13:57:00Z,64.00,37.00
2026-05-20T14:02:00Z,65.00,37.00
2026-05-20T14:07:00Z,65.00,37.00
2026-05-20T14:12:00Z,65.00,37.00
2026-05-20T14:13:00Z,65.00,37.00
2026-05-20T14:14:00Z,65.00,37.00
2026-05-20T14:15:00Z,65.00,37.00
2026-05-20T14:19:00Z,65.00,37.00
2026-05-20T14:23:00Z,65.00,37.00
2026-05-20T14:24:00Z,65.00,37.00
2026-05-20T14:27:00Z,65.00,37.00
2026-05-20T14:30:00Z,65.00,37.00
2026-05-20T14:37:00Z,65.00,37.00
2026-05-20T14:41:00Z,65.00,37.00
2026-05-20T14:42:00Z,65.00,37.00
2026-05-20T14:44:00Z,65.00,37.00
2026-05-20T14:50:00Z,65.00,37.00
2026-05-20T14:51:00Z,65.00,37.00
2026-05-20T14:55:00Z,65.00,37.00
2026-05-20T14:56:00Z,65.00,37.00
2026-05-20T14:59:00Z,65.00,37.00
2026-05-20T15:03:00Z,65.00,37.00
2026-05-20T15:06:00Z,65.00,37.00
2026-05-20T15:08:00Z,65.00,37.00
2026-05-20T15:09:00Z,65.00,37.00
2026-05-20T15:10:00Z,65.00,37.00
2026-05-20T15:11:00Z,65.00,37.00
2026-05-20T15:12:00Z,64.93,37.00
2026-05-20T15:13:00Z,65.00,37.00
2026-05-20T15:15:00Z,65.00,37.00
2026-05-20T15:18:00Z,64.95,37.00
2026-05-20T15:19:00Z,65.00,37.00
2026-05-20T15:20:00Z,65.00,37.00
2026-05-20T15:21:00Z,65.00,37.00
2026-05-20T15:22:00Z,65.00,37.00
2026-05-20T15:25:00Z,65.00,37.00
2026-05-20T15:27:00Z,65.00,37.00
2026-05-20T15:28:00Z,65.00,37.00
2026-05-20T15:32:00Z,65.00,37.00
2026-05-20T15:33:00Z,65.00,37.00
2026-05-20T15:35:00Z,65.00,37.00
2026-05-20T15:38:00Z,65.00,37.00
2026-05-20T15:39:00Z,65.00,37.00
2026-05-20T15:40:00Z,65.00,37.00
2026-05-20T15:42:00Z,65.00,37.00
2026-05-20T15:45:00Z,65.00,37.00
2026-05-20T15:47:00Z,65.00,37.00
2026-05-20T15:51:00Z,65.00,37.00
2026-05-20T15:52:00Z,65.00,37.00
2026-05-20T15:54:00Z,65.00,37.00
2026-05-20T15:55:00Z,65.00,37.00
2026-05-20T15:58:00Z,65.00,37.00
2026-05-20T15:59:00Z,65.00,37.00
2026-05-20T16:00:00Z,65.00,37.00
2026-05-20T16:01:00Z,65.00,37.00
2026-05-20T16:02:00Z,65.00,36.00
2026-05-20T16:03:00Z,66.00,36.00
2026-05-20T16:05:00Z,66.00,36.00
2026-05-20T16:06:00Z,66.00,36.00
2026-05-20T16:07:00Z,66.00,37.00
2026-05-20T16:08:00Z,66.00,37.00
2026-05-20T16:09:00Z,66.00,37.00
2026-05-20T16:10:00Z,66.00,37.00
2026-05-20T16:11:00Z,66.00,37.00
2026-05-20T16:12:00Z,66.00,37.00
2026-05-20T16:13:00Z,66.00,37.00
2026-05-20T16:14:00Z,66.00,37.00
2026-05-20T16:15:00Z,66.00,37.00
2026-05-20T16:16:00Z,66.00,37.00
2026-05-20T16:17:00Z,66.53,37.00
2026-05-20T16:18:00Z,66.00,37.00
2026-05-20T16:19:00Z,66.79,37.00
2026-05-20T16:20:00Z,66.00,37.00
2026-05-20T16:22:00Z,66.00,37.00
2026-05-20T16:23:00Z,66.00,37.00
2026-05-20T16:24:00Z,66.00,37.00
2026-05-20T16:25:00Z,66.00,37.00
2026-05-20T16:26:00Z,67.00,37.00
2026-05-20T16:28:00Z,66.52,37.00
2026-05-20T16:29:00Z,66.97,37.00
2026-05-20T16:30:00Z,66.54,36.00
2026-05-20T16:31:00Z,67.00,36.23
2026-05-20T16:32:00Z,64.27,36.26
2026-05-20T16:35:00Z,66.00,36.00
2026-05-20T16:37:00Z,66.00,36.00
2026-05-20T16:38:00Z,65.96,36.00
2026-05-20T16:39:00Z,67.00,36.00
2026-05-20T16:40:00Z,67.00,36.00
2026-05-20T16:44:00Z,67.00,37.00
2026-05-20T16:46:00Z,67.00,37.00
2026-05-20T16:47:00Z,67.00,37.00
2026-05-20T16:48:00Z,67.61,36.00
2026-05-20T16:50:00Z,67.00,34.02
2026-05-20T16:52:00Z,67.00,35.00
2026-05-20T16:53:00Z,67.00,35.00
2026-05-20T16:54:00Z,67.00,35.00
