# event_ticker=KXATPCHALLENGERMATCH-26MAY05DLFRON
# final_score=7-5 7-5
# match_winner=Franco Roncadelli
# fav_player=Franco Roncadelli
# dog_player=Santiago De la Fuente
# kalshi_date=2026-05-05
timestamp,Santiago De la Fuente,Franco Roncadelli
2026-05-05T09:12:00Z,,85.00
2026-05-05T09:18:00Z,,86.00
2026-05-05T12:30:00Z,18.00,86.00
2026-05-05T12:57:00Z,18.00,83.00
2026-05-05T14:13:00Z,18.00,82.00
2026-05-05T14:45:00Z,20.00,82.00
2026-05-05T14:49:00Z,20.00,82.00
2026-05-05T16:19:00Z,20.00,82.00
2026-05-05T16:28:00Z,20.00,82.00
2026-05-05T17:07:00Z,20.00,82.00
2026-05-05T17:23:00Z,20.00,82.00
2026-05-05T18:16:00Z,21.00,82.00
2026-05-05T18:39:00Z,20.00,82.00
2026-05-05T18:57:00Z,20.00,82.00
2026-05-05T18:59:00Z,19.00,82.00
2026-05-05T19:00:00Z,20.00,82.00
2026-05-05T19:02:00Z,20.00,80.16
2026-05-05T19:04:00Z,20.00,81.10
2026-05-05T19:09:00Z,20.00,82.00
2026-05-05T19:15:00Z,20.00,81.00
2026-05-05T19:18:00Z,20.00,81.00
2026-05-05T19:21:00Z,20.00,81.00
2026-05-05T19:23:00Z,20.00,81.00
2026-05-05T19:27:00Z,20.00,81.00
2026-05-05T19:33:00Z,20.00,81.42
2026-05-05T19:34:00Z,20.00,80.00
2026-05-05T19:37:00Z,20.00,80.00
2026-05-05T19:38:00Z,20.00,82.00
2026-05-05T19:42:00Z,18.00,82.00
2026-05-05T19:44:00Z,20.00,82.00
2026-05-05T19:48:00Z,20.00,82.00
2026-05-05T19:50:00Z,20.00,82.00
2026-05-05T19:51:00Z,20.00,82.00
2026-05-05T19:54:00Z,20.65,82.00
2026-05-05T19:56:00Z,20.00,81.45
2026-05-05T19:58:00Z,20.00,81.45
2026-05-05T20:00:00Z,20.00,81.00
2026-05-05T20:02:00Z,20.00,81.00
2026-05-05T20:03:00Z,20.00,81.00
2026-05-05T20:05:00Z,20.00,81.00
2026-05-05T20:06:00Z,20.00,81.00
2026-05-05T20:07:00Z,20.00,81.00
2026-05-05T20:09:00Z,20.00,81.00
2026-05-05T20:10:00Z,20.00,81.00
2026-05-05T20:11:00Z,18.00,83.06
2026-05-05T20:12:00Z,17.02,83.40
2026-05-05T20:13:00Z,18.30,83.19
2026-05-05T20:14:00Z,17.00,84.00
2026-05-05T20:15:00Z,16.42,84.85
2026-05-05T20:16:00Z,15.55,85.73
2026-05-05T20:17:00Z,16.15,85.32
2026-05-05T20:18:00Z,15.07,86.57
2026-05-05T20:19:00Z,9.73,90.85
2026-05-05T20:20:00Z,12.03,89.35
2026-05-05T20:21:00Z,15.54,85.96
2026-05-05T20:22:00Z,14.93,85.19
2026-05-05T20:23:00Z,13.25,87.22
2026-05-05T20:24:00Z,15.68,85.05
2026-05-05T20:25:00Z,15.99,85.00
2026-05-05T20:26:00Z,14.89,86.97
2026-05-05T20:27:00Z,16.00,85.61
2026-05-05T20:28:00Z,10.54,88.15
2026-05-05T20:29:00Z,8.34,91.90
2026-05-05T20:30:00Z,9.28,91.90
2026-05-05T20:31:00Z,10.00,91.00
2026-05-05T20:32:00Z,10.62,89.35
2026-05-05T20:33:00Z,13.44,84.07
2026-05-05T20:34:00Z,15.91,84.00
2026-05-05T20:35:00Z,16.13,84.19
2026-05-05T20:36:00Z,18.59,83.98
2026-05-05T20:37:00Z,20.65,79.02
2026-05-05T20:38:00Z,22.57,79.00
2026-05-05T20:39:00Z,24.35,76.72
2026-05-05T20:40:00Z,27.47,71.34
2026-05-05T20:41:00Z,27.39,72.36
2026-05-05T20:42:00Z,32.84,69.46
2026-05-05T20:43:00Z,32.65,68.36
2026-05-05T20:44:00Z,36.88,63.86
2026-05-05T20:45:00Z,37.10,63.48
2026-05-05T20:46:00Z,33.01,67.85
2026-05-05T20:47:00Z,27.31,73.36
2026-05-05T20:48:00Z,25.12,72.66
2026-05-05T20:49:00Z,23.74,76.68
2026-05-05T20:50:00Z,24.50,75.71
2026-05-05T20:51:00Z,25.39,74.07
2026-05-05T20:52:00Z,23.67,77.30
2026-05-05T20:53:00Z,17.41,81.98
2026-05-05T20:54:00Z,17.00,83.05
2026-05-05T20:55:00Z,17.12,82.84
2026-05-05T20:56:00Z,14.25,84.97
2026-05-05T20:57:00Z,18.25,84.89
2026-05-05T20:58:00Z,20.17,80.03
2026-05-05T20:59:00Z,22.43,77.55
2026-05-05T21:00:00Z,22.08,78.33
2026-05-05T21:01:00Z,23.65,78.16
2026-05-05T21:02:00Z,20.43,80.17
2026-05-05T21:03:00Z,19.40,81.07
2026-05-05T21:04:00Z,17.96,83.03
2026-05-05T21:05:00Z,13.96,86.21
2026-05-05T21:06:00Z,11.78,88.28
2026-05-05T21:07:00Z,16.69,85.73
2026-05-05T21:08:00Z,13.85,86.60
2026-05-05T21:09:00Z,14.39,84.96
2026-05-05T21:10:00Z,8.50,91.36
