# event_ticker=KXATPMATCH-25OCT15HALBAS
# final_score=6-4 6-4
# match_winner=Nikoloz Basilashvili
# fav_player=Nikoloz Basilashvili
# dog_player=Quentin Halys
# kalshi_date=2025-10-15
timestamp,Nikoloz Basilashvili,Quentin Halys
2025-10-14T23:16:00Z,,48.00
2025-10-15T00:19:00Z,,48.00
2025-10-15T01:25:00Z,,48.00
2025-10-15T01:35:00Z,53.00,48.00
2025-10-15T01:37:00Z,53.00,48.00
2025-10-15T01:51:00Z,53.00,48.00
2025-10-15T02:01:00Z,53.00,48.00
2025-10-15T02:29:00Z,53.00,48.00
2025-10-15T02:41:00Z,53.00,48.00
2025-10-15T02:43:00Z,54.00,48.00
2025-10-15T02:47:00Z,54.00,48.00
2025-10-15T02:54:00Z,54.00,48.00
2025-10-15T03:05:00Z,54.00,48.00
2025-10-15T03:11:00Z,54.00,48.00
2025-10-15T03:13:00Z,54.00,48.00
2025-10-15T03:18:00Z,54.00,48.00
2025-10-15T03:28:00Z,54.00,48.00
2025-10-15T03:35:00Z,54.00,48.00
2025-10-15T03:38:00Z,54.00,46.00
2025-10-15T03:39:00Z,54.00,46.00
2025-10-15T03:40:00Z,54.00,46.00
2025-10-15T03:44:00Z,54.00,48.00
2025-10-15T03:56:00Z,54.00,48.00
2025-10-15T04:06:00Z,54.00,48.00
2025-10-15T04:07:00Z,54.00,48.00
2025-10-15T04:26:00Z,53.63,48.00
2025-10-15T04:27:00Z,53.63,47.00
2025-10-15T04:34:00Z,55.00,47.00
2025-10-15T04:44:00Z,55.00,46.00
2025-10-15T04:46:00Z,55.00,46.00
2025-10-15T04:48:00Z,55.00,46.00
2025-10-15T05:02:00Z,55.00,46.00
2025-10-15T05:18:00Z,52.09,47.76
2025-10-15T05:27:00Z,53.00,47.76
2025-10-15T05:30:00Z,53.00,48.00
2025-10-15T05:33:00Z,53.00,49.00
2025-10-15T05:35:00Z,50.00,49.00
2025-10-15T05:36:00Z,50.00,49.00
2025-10-15T05:37:00Z,50.00,49.00
2025-10-15T05:39:00Z,50.00,49.00
2025-10-15T05:40:00Z,50.00,50.23
2025-10-15T05:41:00Z,49.00,50.23
2025-10-15T05:45:00Z,49.00,52.00
2025-10-15T05:46:00Z,48.00,52.00
2025-10-15T05:47:00Z,48.00,54.00
2025-10-15T05:51:00Z,48.00,54.00
2025-10-15T05:59:00Z,48.00,54.00
2025-10-15T06:12:00Z,45.90,55.00
2025-10-15T06:23:00Z,47.00,55.00
2025-10-15T06:47:00Z,47.00,54.00
2025-10-15T07:11:00Z,47.00,54.00
2025-10-15T07:12:00Z,45.81,55.00
2025-10-15T07:19:00Z,47.00,55.00
2025-10-15T07:20:00Z,47.00,54.00
2025-10-15T07:25:00Z,47.00,54.00
2025-10-15T07:37:00Z,47.00,53.00
2025-10-15T07:47:00Z,47.00,53.00
2025-10-15T07:50:00Z,47.00,53.00
2025-10-15T07:51:00Z,47.00,53.00
2025-10-15T07:52:00Z,47.00,53.00
2025-10-15T07:57:00Z,47.46,53.00
2025-10-15T08:01:00Z,47.46,53.00
2025-10-15T08:02:00Z,46.00,53.97
2025-10-15T08:03:00Z,48.00,53.97
2025-10-15T08:06:00Z,48.00,54.00
2025-10-15T08:08:00Z,48.00,54.00
2025-10-15T08:11:00Z,48.00,54.00
2025-10-15T08:36:00Z,48.00,54.00
2025-10-15T08:37:00Z,47.00,54.00
2025-10-15T08:38:00Z,47.00,52.51
2025-10-15T08:39:00Z,48.00,52.51
2025-10-15T08:43:00Z,48.00,52.00
2025-10-15T08:44:00Z,48.00,53.00
2025-10-15T08:49:00Z,48.00,53.00
2025-10-15T08:51:00Z,48.00,53.00
2025-10-15T08:52:00Z,48.00,53.00
2025-10-15T08:54:00Z,46.00,53.30
2025-10-15T08:57:00Z,46.00,56.00
2025-10-15T08:58:00Z,46.00,56.00
