# event_ticker=KXATPCHALLENGERMATCH-26JUN01LAJRIE
# final_score=6-2 7-6(1)
# score_resolution=6-2 7-6
# match_winner=Mark Lajal
# fav_player=Mark Lajal
# dog_player=Leandro Riedi
# kalshi_date=2026-06-01
timestamp,Mark Lajal,Leandro Riedi
2026-06-01T22:06:00Z,38.00,
2026-06-01T22:51:00Z,38.00,64.00
2026-06-01T23:10:00Z,36.00,64.00
2026-06-01T23:16:00Z,38.00,64.00
2026-06-02T00:02:00Z,38.00,64.00
2026-06-02T00:26:00Z,38.00,64.00
2026-06-02T00:50:00Z,36.00,64.00
2026-06-02T01:37:00Z,36.00,63.00
2026-06-02T01:57:00Z,36.00,64.00
2026-06-02T02:14:00Z,36.00,65.00
2026-06-02T02:46:00Z,36.00,65.00
2026-06-02T02:58:00Z,36.00,65.00
2026-06-02T03:07:00Z,36.00,65.00
2026-06-02T03:13:00Z,36.00,64.00
2026-06-02T03:19:00Z,36.00,64.00
2026-06-02T03:21:00Z,36.00,65.00
2026-06-02T03:27:00Z,36.00,65.00
2026-06-02T03:45:00Z,36.00,65.00
2026-06-02T03:59:00Z,36.00,65.00
2026-06-02T04:00:00Z,36.00,65.00
2026-06-02T04:17:00Z,36.00,65.00
2026-06-02T04:18:00Z,36.00,65.00
2026-06-02T04:25:00Z,36.00,65.00
2026-06-02T04:31:00Z,36.00,65.00
2026-06-02T04:49:00Z,36.00,65.00
2026-06-02T04:50:00Z,36.00,65.00
2026-06-02T04:52:00Z,34.00,65.00
2026-06-02T05:00:00Z,34.00,65.00
2026-06-02T05:04:00Z,36.00,65.00
2026-06-02T05:06:00Z,36.00,65.00
2026-06-02T05:07:00Z,36.00,65.00
2026-06-02T05:11:00Z,36.00,65.00
2026-06-02T05:16:00Z,36.00,65.00
2026-06-02T05:18:00Z,36.00,65.00
2026-06-02T05:44:00Z,36.00,65.00
2026-06-02T05:45:00Z,36.00,65.00
2026-06-02T05:46:00Z,36.00,65.00
2026-06-02T05:47:00Z,35.00,65.00
2026-06-02T05:58:00Z,35.00,65.00
2026-06-02T06:11:00Z,35.00,65.00
2026-06-02T06:14:00Z,35.00,64.00
2026-06-02T06:31:00Z,35.00,65.00
2026-06-02T06:39:00Z,36.00,65.00
2026-06-02T06:41:00Z,36.00,65.00
2026-06-02T06:42:00Z,36.00,65.00
2026-06-02T06:45:00Z,36.00,65.00
2026-06-02T06:48:00Z,36.00,65.00
2026-06-02T06:49:00Z,36.00,65.00
2026-06-02T06:54:00Z,36.00,65.00
2026-06-02T07:16:00Z,34.00,65.00
2026-06-02T07:17:00Z,34.00,65.00
2026-06-02T07:21:00Z,36.00,65.00
2026-06-02T07:26:00Z,37.00,65.00
2026-06-02T07:31:00Z,37.00,65.00
2026-06-02T07:58:00Z,37.00,65.00
2026-06-02T08:09:00Z,37.00,65.00
2026-06-02T08:10:00Z,37.00,65.00
2026-06-02T08:19:00Z,37.00,63.00
2026-06-02T08:26:00Z,37.00,65.00
2026-06-02T08:34:00Z,37.00,65.00
2026-06-02T08:38:00Z,37.00,65.00
2026-06-02T08:40:00Z,37.00,65.00
2026-06-02T08:47:00Z,37.00,65.00
2026-06-02T08:55:00Z,37.00,65.00
2026-06-02T09:14:00Z,37.00,65.00
2026-06-02T09:31:00Z,37.00,66.00
2026-06-02T09:34:00Z,37.00,66.00
2026-06-02T09:44:00Z,36.62,66.00
2026-06-02T09:47:00Z,37.85,69.00
2026-06-02T09:48:00Z,35.00,69.00
2026-06-02T09:49:00Z,30.97,69.00
2026-06-02T09:50:00Z,33.29,67.05
2026-06-02T09:51:00Z,37.07,63.22
2026-06-02T09:52:00Z,38.00,65.00
2026-06-02T09:53:00Z,38.00,65.08
2026-06-02T09:54:00Z,35.00,65.08
2026-06-02T09:55:00Z,39.00,62.06
2026-06-02T09:58:00Z,36.96,62.06
2026-06-02T09:59:00Z,37.79,64.00
2026-06-02T10:00:00Z,38.65,62.00
2026-06-02T10:01:00Z,39.00,64.00
2026-06-02T10:02:00Z,38.58,64.00
2026-06-02T10:03:00Z,39.92,61.61
2026-06-02T10:04:00Z,40.00,60.65
2026-06-02T10:05:00Z,41.00,58.00
2026-06-02T10:06:00Z,47.15,50.00
2026-06-02T10:07:00Z,54.41,40.99
2026-06-02T10:08:00Z,60.79,43.00
2026-06-02T10:09:00Z,62.49,37.49
2026-06-02T10:10:00Z,64.99,36.00
2026-06-02T10:11:00Z,65.00,36.00
2026-06-02T10:12:00Z,64.99,35.00
2026-06-02T10:14:00Z,71.88,28.31
