# event_ticker=KXATPCHALLENGERMATCH-26FEB12TRABAR
# final_score=6-1 6-3
# match_winner=Stefano Travaglia
# fav_player=Stefano Travaglia
# dog_player=Hynek Barton
# kalshi_date=2026-02-12
timestamp,Stefano Travaglia,Hynek Barton
2026-02-12T01:52:00Z,60.00,
2026-02-12T03:47:00Z,60.50,
2026-02-12T04:50:00Z,61.00,
2026-02-12T04:55:00Z,61.00,
2026-02-12T05:00:00Z,61.00,
2026-02-12T05:35:00Z,61.00,
2026-02-12T05:43:00Z,61.00,
2026-02-12T05:44:00Z,61.00,42.00
2026-02-12T05:57:00Z,61.00,42.00
2026-02-12T06:02:00Z,61.00,42.00
2026-02-12T06:03:00Z,61.00,42.00
2026-02-12T06:09:00Z,61.00,39.00
2026-02-12T06:13:00Z,61.00,39.00
2026-02-12T06:15:00Z,61.00,39.00
2026-02-12T06:20:00Z,61.00,39.00
2026-02-12T06:23:00Z,61.00,39.00
2026-02-12T06:24:00Z,61.00,39.00
2026-02-12T06:37:00Z,61.00,42.00
2026-02-12T06:40:00Z,61.00,42.00
2026-02-12T06:42:00Z,61.00,42.00
2026-02-12T06:57:00Z,61.00,42.00
2026-02-12T07:05:00Z,61.00,42.00
2026-02-12T07:07:00Z,61.00,42.00
2026-02-12T07:11:00Z,61.00,42.00
2026-02-12T07:13:00Z,61.00,42.00
2026-02-12T07:17:00Z,61.00,42.00
2026-02-12T07:36:00Z,61.00,42.00
2026-02-12T07:41:00Z,61.00,42.00
2026-02-12T10:04:00Z,61.00,42.00
2026-02-12T10:07:00Z,57.41,42.00
2026-02-12T10:08:00Z,60.00,42.00
2026-02-12T10:27:00Z,60.00,42.00
2026-02-12T10:29:00Z,60.00,42.00
2026-02-12T10:35:00Z,61.00,42.00
2026-02-12T10:51:00Z,61.00,42.00
2026-02-12T11:09:00Z,61.00,42.00
2026-02-12T11:13:00Z,61.00,42.00
2026-02-12T11:22:00Z,61.00,42.00
2026-02-12T11:29:00Z,61.00,42.00
2026-02-12T11:42:00Z,61.00,42.00
2026-02-12T11:48:00Z,61.92,42.00
2026-02-12T11:50:00Z,62.00,42.00
2026-02-12T11:52:00Z,62.00,41.00
2026-02-12T11:57:00Z,62.61,41.00
