# event_ticker=KXATPCHALLENGERMATCH-26MAY21GADNES
# final_score=6-4 6-4
# match_winner=Buvaysar Gadamauri
# fav_player=Buvaysar Gadamauri
# dog_player=Pyotr Nesterov
# kalshi_date=2026-05-21
timestamp,Buvaysar Gadamauri,Pyotr Nesterov
2026-05-21T02:40:00Z,,36.00
2026-05-21T03:20:00Z,65.00,36.00
2026-05-21T03:27:00Z,65.00,36.00
2026-05-21T03:42:00Z,65.82,36.00
2026-05-21T03:56:00Z,65.00,36.00
2026-05-21T04:26:00Z,65.00,35.00
2026-05-21T04:29:00Z,65.00,35.00
2026-05-21T04:58:00Z,65.00,35.00
2026-05-21T05:20:00Z,65.00,35.00
2026-05-21T05:43:00Z,65.00,35.00
2026-05-21T05:59:00Z,65.00,35.00
2026-05-21T07:01:00Z,65.00,35.00
2026-05-21T09:08:00Z,65.00,35.00
2026-05-21T10:19:00Z,65.00,35.00
2026-05-21T10:35:00Z,65.00,35.00
2026-05-21T11:12:00Z,65.00,35.00
2026-05-21T11:13:00Z,69.80,35.00
2026-05-21T11:14:00Z,69.80,34.00
2026-05-21T11:15:00Z,64.00,35.94
2026-05-21T11:16:00Z,65.00,38.38
2026-05-21T11:17:00Z,55.00,39.00
2026-05-21T11:18:00Z,56.00,41.00
2026-05-21T11:19:00Z,52.39,41.00
2026-05-21T11:20:00Z,53.00,41.00
2026-05-21T11:21:00Z,55.36,45.48
2026-05-21T11:23:00Z,53.00,45.50
2026-05-21T11:24:00Z,55.00,45.50
2026-05-21T11:25:00Z,55.00,43.00
2026-05-21T11:26:00Z,49.32,51.16
2026-05-21T11:27:00Z,49.32,56.00
2026-05-21T11:28:00Z,41.00,61.00
2026-05-21T11:29:00Z,41.13,61.00
2026-05-21T11:30:00Z,41.13,62.00
2026-05-21T11:31:00Z,40.04,62.00
2026-05-21T11:32:00Z,38.00,62.00
2026-05-21T11:36:00Z,38.00,64.00
2026-05-21T11:38:00Z,38.00,63.50
2026-05-21T11:39:00Z,39.00,63.50
2026-05-21T11:40:00Z,36.00,63.00
2026-05-21T11:41:00Z,39.00,63.00
2026-05-21T11:42:00Z,39.00,60.00
2026-05-21T11:44:00Z,49.00,60.00
2026-05-21T11:47:00Z,54.00,60.00
2026-05-21T11:48:00Z,59.06,60.00
2026-05-21T11:49:00Z,55.00,60.00
2026-05-21T11:51:00Z,62.00,60.00
2026-05-21T11:52:00Z,62.00,37.00
2026-05-21T11:53:00Z,64.00,37.00
2026-05-21T11:54:00Z,65.70,37.00
2026-05-21T11:55:00Z,75.79,22.59
2026-05-21T11:57:00Z,81.02,22.59
2026-05-21T11:58:00Z,76.61,27.97
2026-05-21T12:00:00Z,83.91,16.25
2026-05-21T12:04:00Z,88.00,23.00
2026-05-21T12:05:00Z,90.90,9.02
2026-05-21T12:07:00Z,90.90,8.00
2026-05-21T12:08:00Z,92.00,8.00
2026-05-21T12:09:00Z,92.00,7.48
2026-05-21T12:10:00Z,91.13,7.48
2026-05-21T12:11:00Z,91.13,6.00
2026-05-21T12:12:00Z,94.83,5.06
2026-05-21T12:13:00Z,96.00,4.00
2026-05-21T12:14:00Z,96.00,3.34
2026-05-21T12:15:00Z,97.00,3.34
2026-05-21T12:16:00Z,97.00,5.84
2026-05-21T12:19:00Z,94.14,6.15
2026-05-21T12:22:00Z,94.25,8.34
2026-05-21T12:24:00Z,96.66,6.00
2026-05-21T12:25:00Z,96.66,6.00
2026-05-21T12:26:00Z,95.00,6.00
2026-05-21T12:27:00Z,95.00,6.98
2026-05-21T12:28:00Z,95.00,4.00
2026-05-21T12:31:00Z,96.00,4.00
2026-05-21T12:32:00Z,96.00,4.00
2026-05-21T12:34:00Z,96.00,4.70
2026-05-21T12:35:00Z,96.00,4.81
2026-05-21T12:36:00Z,96.00,4.00
2026-05-21T12:37:00Z,98.00,5.00
2026-05-21T12:38:00Z,95.80,5.00
2026-05-21T12:40:00Z,94.86,6.85
2026-05-21T12:41:00Z,94.87,5.00
2026-05-21T12:42:00Z,96.38,5.97
2026-05-21T12:43:00Z,99.00,2.00
2026-05-21T12:44:00Z,98.00,3.00
2026-05-21T12:45:00Z,97.00,5.47
2026-05-21T12:46:00Z,98.00,4.00
2026-05-21T12:47:00Z,98.00,3.95
2026-05-21T12:48:00Z,95.04,4.60
2026-05-21T12:49:00Z,95.33,6.03
2026-05-21T12:50:00Z,97.92,2.74
2026-05-21T12:51:00Z,98.65,4.75
2026-05-21T12:52:00Z,98.78,1.15
