# event_ticker=KXATPMATCH-25OCT15DEJFUC
# final_score=6-1 6-2
# score_resolution=1-6 2-6
# match_winner=Marton Fucsovics
# fav_player=Jesper De Jong
# dog_player=Marton Fucsovics
# kalshi_date=2025-10-15
timestamp,Jesper De Jong,Marton Fucsovics
2025-10-15T04:29:00Z,42.00,
2025-10-15T04:49:00Z,42.00,60.00
2025-10-15T05:29:00Z,42.00,61.00
2025-10-15T05:35:00Z,42.00,62.00
2025-10-15T05:41:00Z,40.00,62.00
2025-10-15T05:46:00Z,40.00,61.00
2025-10-15T06:06:00Z,40.00,61.00
2025-10-15T07:14:00Z,41.00,61.00
2025-10-15T07:20:00Z,41.00,61.00
2025-10-15T07:27:00Z,41.00,61.00
2025-10-15T07:28:00Z,41.00,61.00
2025-10-15T07:54:00Z,41.00,61.00
2025-10-15T08:22:00Z,41.00,61.00
2025-10-15T08:58:00Z,41.00,61.00
2025-10-15T10:02:00Z,41.00,60.00
2025-10-15T10:08:00Z,41.00,60.00
2025-10-15T10:20:00Z,41.00,60.00
2025-10-15T10:36:00Z,41.00,60.00
2025-10-15T10:42:00Z,41.00,60.00
2025-10-15T10:47:00Z,41.00,60.00
2025-10-15T11:02:00Z,41.00,60.00
2025-10-15T11:24:00Z,41.00,60.00
2025-10-15T11:40:00Z,41.00,60.00
2025-10-15T11:57:00Z,41.00,60.00
2025-10-15T12:02:00Z,41.00,60.00
2025-10-15T12:06:00Z,41.00,60.00
2025-10-15T12:07:00Z,41.00,60.00
2025-10-15T12:09:00Z,41.00,60.00
2025-10-15T12:17:00Z,41.00,61.55
2025-10-15T12:20:00Z,43.00,64.00
2025-10-15T12:21:00Z,43.00,65.00
2025-10-15T12:23:00Z,40.00,65.00
2025-10-15T12:33:00Z,40.00,65.00
2025-10-15T12:37:00Z,40.00,65.00
2025-10-15T12:38:00Z,42.00,65.00
2025-10-15T12:42:00Z,42.00,65.00
2025-10-15T12:46:00Z,42.00,65.00
2025-10-15T12:53:00Z,42.00,64.00
2025-10-15T12:54:00Z,42.00,64.00
2025-10-15T12:57:00Z,42.00,64.00
2025-10-15T12:58:00Z,42.00,62.00
2025-10-15T13:00:00Z,39.13,62.00
2025-10-15T13:02:00Z,42.00,62.00
2025-10-15T13:04:00Z,42.00,62.00
2025-10-15T13:06:00Z,42.00,62.00
2025-10-15T13:08:00Z,41.00,62.00
2025-10-15T13:09:00Z,41.00,62.00
2025-10-15T13:11:00Z,41.00,62.00
2025-10-15T13:13:00Z,41.00,62.00
2025-10-15T13:16:00Z,41.00,62.00
2025-10-15T13:19:00Z,41.00,62.00
2025-10-15T13:21:00Z,41.00,62.00
2025-10-15T13:31:00Z,41.00,61.00
2025-10-15T13:32:00Z,41.00,61.00
2025-10-15T13:33:00Z,40.00,62.00
2025-10-15T13:34:00Z,41.39,62.00
2025-10-15T13:35:00Z,42.00,60.00
2025-10-15T13:36:00Z,42.00,60.00
2025-10-15T13:37:00Z,38.00,66.26
2025-10-15T13:38:00Z,29.95,70.63
2025-10-15T13:39:00Z,27.19,73.93
2025-10-15T13:40:00Z,26.36,72.00
2025-10-15T13:41:00Z,29.40,71.16
2025-10-15T13:42:00Z,31.56,69.13
2025-10-15T13:43:00Z,25.21,75.00
2025-10-15T13:44:00Z,25.06,77.00
2025-10-15T13:45:00Z,24.95,77.00
