# event_ticker=KXATPMATCH-26JAN10BROWAT
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Jenson Brooksby
# fav_player=James Watt
# dog_player=Jenson Brooksby
# kalshi_date=2026-01-10
timestamp,James Watt,Jenson Brooksby
2026-01-11T13:12:00Z,9.00,
2026-01-11T13:23:00Z,10.78,
2026-01-11T13:46:00Z,9.00,
2026-01-11T14:20:00Z,9.00,
2026-01-11T14:26:00Z,9.00,
2026-01-11T15:25:00Z,10.00,
2026-01-11T15:56:00Z,9.00,
2026-01-11T16:11:00Z,9.00,91.00
2026-01-11T16:46:00Z,9.00,91.00
2026-01-11T16:50:00Z,9.00,91.00
2026-01-11T17:32:00Z,10.00,91.00
2026-01-11T18:09:00Z,10.00,91.00
2026-01-11T18:27:00Z,10.00,91.00
2026-01-11T19:06:00Z,10.00,91.00
2026-01-11T19:45:00Z,10.00,91.00
2026-01-11T19:46:00Z,10.00,91.00
2026-01-11T20:00:00Z,10.00,90.50
2026-01-11T20:20:00Z,10.00,90.50
2026-01-11T20:27:00Z,10.00,91.00
2026-01-11T20:37:00Z,10.00,91.00
2026-01-11T20:41:00Z,10.00,91.00
2026-01-11T21:17:00Z,10.00,91.00
2026-01-11T21:29:00Z,10.00,91.00
2026-01-11T21:42:00Z,9.00,91.00
2026-01-11T21:43:00Z,9.00,91.00
2026-01-11T21:49:00Z,10.00,91.00
2026-01-11T21:53:00Z,10.00,91.00
2026-01-11T22:04:00Z,10.00,91.00
2026-01-11T22:08:00Z,9.00,91.00
2026-01-11T22:11:00Z,9.00,91.00
2026-01-11T22:24:00Z,9.00,91.00
2026-01-11T22:32:00Z,9.00,91.00
2026-01-11T22:35:00Z,9.00,91.00
2026-01-11T22:40:00Z,9.00,91.00
2026-01-11T22:56:00Z,9.00,91.00
2026-01-11T23:05:00Z,9.00,91.00
2026-01-11T23:07:00Z,9.00,91.00
2026-01-11T23:15:00Z,9.00,91.00
2026-01-11T23:16:00Z,9.00,91.00
2026-01-11T23:22:00Z,9.00,91.63
2026-01-11T23:24:00Z,9.00,91.63
2026-01-11T23:31:00Z,9.25,91.63
2026-01-11T23:42:00Z,10.00,91.63
2026-01-11T23:53:00Z,9.00,91.63
2026-01-12T00:13:00Z,9.00,93.00
2026-01-12T00:43:00Z,8.00,93.00
2026-01-12T00:44:00Z,8.00,93.00
2026-01-12T00:46:00Z,9.61,93.00
2026-01-12T00:47:00Z,9.82,90.06
2026-01-12T00:48:00Z,9.00,90.06
2026-01-12T00:49:00Z,11.25,90.06
2026-01-12T00:50:00Z,11.04,90.06
2026-01-12T00:51:00Z,9.89,90.06
2026-01-12T00:52:00Z,9.38,93.00
2026-01-12T00:53:00Z,11.31,93.00
2026-01-12T00:54:00Z,12.00,90.00
2026-01-12T00:55:00Z,12.00,87.09
2026-01-12T00:56:00Z,14.45,86.30
2026-01-12T00:57:00Z,15.75,88.00
2026-01-12T00:58:00Z,11.78,88.00
2026-01-12T00:59:00Z,12.61,88.59
2026-01-12T01:00:00Z,14.99,89.22
2026-01-12T01:01:00Z,13.85,89.22
2026-01-12T01:02:00Z,12.99,89.22
2026-01-12T01:03:00Z,13.13,88.38
2026-01-12T01:04:00Z,14.03,87.00
2026-01-12T01:05:00Z,14.00,88.00
2026-01-12T01:06:00Z,12.08,88.00
2026-01-12T01:07:00Z,12.07,88.00
2026-01-12T01:08:00Z,10.04,89.75
2026-01-12T01:09:00Z,9.65,91.27
2026-01-12T01:10:00Z,6.83,93.01
2026-01-12T01:11:00Z,6.00,94.00
2026-01-12T01:12:00Z,7.94,92.00
2026-01-12T01:13:00Z,8.92,92.00
2026-01-12T01:14:00Z,10.22,92.00
2026-01-12T01:15:00Z,8.57,92.56
2026-01-12T01:16:00Z,10.38,92.56
2026-01-12T01:17:00Z,14.00,92.56
2026-01-12T01:20:00Z,9.79,92.00
2026-01-12T01:21:00Z,7.05,93.01
2026-01-12T01:22:00Z,6.90,93.00
2026-01-12T01:23:00Z,11.53,93.00
2026-01-12T01:24:00Z,7.00,93.00
2026-01-12T01:25:00Z,7.03,92.98
2026-01-12T01:26:00Z,10.16,92.98
2026-01-12T01:27:00Z,6.00,95.00
2026-01-12T01:28:00Z,5.33,94.48
2026-01-12T01:29:00Z,5.33,95.00
2026-01-12T01:30:00Z,7.30,94.00
2026-01-12T01:31:00Z,5.00,95.00
2026-01-12T01:32:00Z,4.96,95.00
2026-01-12T01:34:00Z,10.94,94.33
2026-01-12T01:35:00Z,7.45,95.00
2026-01-12T01:37:00Z,6.33,95.00
2026-01-12T01:38:00Z,8.70,94.00
2026-01-12T01:39:00Z,10.22,94.00
2026-01-12T01:40:00Z,6.00,95.00
2026-01-12T01:41:00Z,8.00,95.00
2026-01-12T01:43:00Z,11.05,91.25
2026-01-12T01:44:00Z,10.21,89.00
2026-01-12T01:45:00Z,9.83,89.00
2026-01-12T01:46:00Z,15.75,87.09
2026-01-12T01:47:00Z,7.84,87.09
2026-01-12T01:48:00Z,4.00,94.97
2026-01-12T01:49:00Z,4.95,96.00
2026-01-12T01:50:00Z,1.63,97.31
2026-01-12T01:51:00Z,4.00,98.00
2026-01-12T01:52:00Z,4.00,98.00
2026-01-12T01:53:00Z,6.00,96.00
2026-01-12T01:54:00Z,5.61,96.00
2026-01-12T01:56:00Z,2.74,98.00
2026-01-12T01:57:00Z,1.00,98.00
2026-01-12T01:58:00Z,4.00,98.00
2026-01-12T01:59:00Z,3.12,98.00
2026-01-12T02:00:00Z,2.43,98.00
2026-01-12T02:01:00Z,4.90,98.00
2026-01-12T02:02:00Z,2.47,97.00
2026-01-12T02:03:00Z,3.00,97.00
2026-01-12T02:04:00Z,3.00,98.00
2026-01-12T02:05:00Z,3.00,98.61
2026-01-12T02:06:00Z,3.00,99.00
2026-01-12T02:07:00Z,1.00,99.00
2026-01-12T02:08:00Z,2.75,99.00
2026-01-12T02:09:00Z,3.03,99.00
2026-01-12T02:10:00Z,3.00,99.00
2026-01-12T02:11:00Z,3.00,99.00
2026-01-12T02:12:00Z,2.13,98.76
2026-01-12T02:13:00Z,1.00,98.76
2026-01-12T02:18:00Z,1.00,98.76
2026-01-12T02:19:00Z,1.00,98.76
2026-01-12T02:24:00Z,1.00,98.76
2026-01-12T02:28:00Z,1.00,99.00
