# event_ticker=KXATPCHALLENGERMATCH-26APR28MARSAN
# final_score=7-6(4) 7-6(4)
# score_resolution=7-6 7-6
# match_winner=Elijah Sanogo
# fav_player=Elijah Sanogo
# dog_player=Ivan Marrero Curbelo
# kalshi_date=2026-04-28
timestamp,Ivan Marrero Curbelo,Elijah Sanogo
2026-04-28T11:10:00Z,85.00,
2026-04-28T11:23:00Z,85.00,
2026-04-28T11:49:00Z,85.00,16.00
2026-04-28T13:45:00Z,87.00,16.00
2026-04-28T14:06:00Z,87.00,15.00
2026-04-28T14:45:00Z,87.00,15.88
2026-04-28T15:10:00Z,87.00,15.00
2026-04-28T15:11:00Z,87.00,13.00
2026-04-28T16:56:00Z,87.00,13.00
2026-04-28T16:57:00Z,87.00,15.00
2026-04-28T17:00:00Z,87.00,15.00
2026-04-28T17:10:00Z,87.00,15.00
2026-04-28T17:27:00Z,87.00,16.00
2026-04-28T17:39:00Z,87.00,15.00
2026-04-28T17:56:00Z,87.00,15.00
2026-04-28T17:57:00Z,87.00,15.00
2026-04-28T18:00:00Z,87.00,15.00
2026-04-28T18:09:00Z,87.00,15.00
2026-04-28T18:15:00Z,87.00,15.00
2026-04-28T18:18:00Z,88.00,15.79
2026-04-28T18:20:00Z,88.00,15.60
2026-04-28T18:22:00Z,87.00,15.60
2026-04-28T18:23:00Z,85.00,17.47
2026-04-28T18:24:00Z,85.00,16.30
2026-04-28T18:25:00Z,85.00,16.00
2026-04-28T18:26:00Z,84.00,15.50
2026-04-28T18:27:00Z,84.00,15.92
2026-04-28T18:28:00Z,84.00,14.11
2026-04-28T18:29:00Z,84.00,13.00
2026-04-28T18:30:00Z,84.00,13.00
2026-04-28T18:32:00Z,86.00,14.91
2026-04-28T18:33:00Z,83.00,17.20
2026-04-28T18:34:00Z,82.00,19.27
2026-04-28T18:35:00Z,82.00,16.00
2026-04-28T18:36:00Z,85.00,15.04
2026-04-28T18:37:00Z,87.00,15.04
2026-04-28T18:38:00Z,86.56,14.20
2026-04-28T18:39:00Z,87.00,13.53
2026-04-28T18:40:00Z,87.00,14.00
2026-04-28T18:41:00Z,83.00,14.96
2026-04-28T18:42:00Z,83.00,15.00
2026-04-28T18:43:00Z,83.00,16.49
2026-04-28T18:44:00Z,86.00,16.49
2026-04-28T18:45:00Z,86.00,16.00
2026-04-28T18:46:00Z,82.00,18.00
2026-04-28T18:47:00Z,82.00,20.00
2026-04-28T18:48:00Z,84.00,18.43
2026-04-28T18:49:00Z,82.00,18.00
2026-04-28T18:50:00Z,84.00,17.00
2026-04-28T18:51:00Z,84.00,17.00
2026-04-28T18:52:00Z,85.00,14.48
2026-04-28T18:53:00Z,85.00,15.00
2026-04-28T18:54:00Z,85.00,12.97
2026-04-28T18:55:00Z,85.00,13.02
2026-04-28T18:56:00Z,85.00,13.36
2026-04-28T18:57:00Z,85.00,18.32
2026-04-28T18:58:00Z,81.00,20.00
2026-04-28T18:59:00Z,81.00,19.68
2026-04-28T19:00:00Z,80.55,20.04
2026-04-28T19:01:00Z,80.55,17.00
2026-04-28T19:02:00Z,84.00,17.00
2026-04-28T19:03:00Z,84.00,16.41
2026-04-28T19:04:00Z,86.87,15.00
2026-04-28T19:05:00Z,86.87,10.19
2026-04-28T19:06:00Z,86.87,15.15
2026-04-28T19:07:00Z,81.00,19.93
2026-04-28T19:08:00Z,83.68,19.90
2026-04-28T19:09:00Z,83.68,15.99
2026-04-28T19:10:00Z,83.68,16.00
2026-04-28T19:11:00Z,82.00,16.00
2026-04-28T19:12:00Z,81.00,20.25
2026-04-28T19:13:00Z,82.00,19.12
2026-04-28T19:14:00Z,83.91,17.00
2026-04-28T19:15:00Z,83.91,17.00
2026-04-28T19:16:00Z,83.91,17.17
2026-04-28T19:17:00Z,81.59,18.00
2026-04-28T19:18:00Z,80.00,18.00
2026-04-28T19:19:00Z,79.13,23.95
2026-04-28T19:20:00Z,79.92,21.79
2026-04-28T19:21:00Z,75.77,26.96
2026-04-28T19:22:00Z,81.16,20.48
2026-04-28T19:23:00Z,75.28,24.85
2026-04-28T19:24:00Z,70.00,30.79
2026-04-28T19:25:00Z,63.11,36.93
2026-04-28T19:26:00Z,54.83,44.57
2026-04-28T19:27:00Z,54.83,46.07
2026-04-28T19:28:00Z,54.83,47.00
2026-04-28T19:29:00Z,54.00,46.00
2026-04-28T19:30:00Z,53.00,46.33
2026-04-28T19:31:00Z,53.00,47.82
2026-04-28T19:32:00Z,53.00,48.00
2026-04-28T19:33:00Z,52.85,45.17
2026-04-28T19:34:00Z,53.00,48.00
2026-04-28T19:35:00Z,52.03,48.00
2026-04-28T19:36:00Z,54.22,50.73
2026-04-28T19:37:00Z,57.14,40.73
2026-04-28T19:38:00Z,49.48,50.12
2026-04-28T19:39:00Z,49.45,51.84
2026-04-28T19:40:00Z,45.40,56.54
2026-04-28T19:41:00Z,39.01,64.42
2026-04-28T19:42:00Z,44.74,58.82
2026-04-28T19:43:00Z,38.64,59.84
2026-04-28T19:44:00Z,43.36,62.20
2026-04-28T19:45:00Z,29.14,70.25
2026-04-28T19:46:00Z,26.88,74.42
2026-04-28T19:47:00Z,27.90,70.86
2026-04-28T19:48:00Z,31.31,72.05
2026-04-28T19:49:00Z,38.42,59.99
2026-04-28T19:50:00Z,45.93,54.51
2026-04-28T19:51:00Z,48.70,53.17
2026-04-28T19:52:00Z,46.30,54.89
2026-04-28T19:53:00Z,49.00,45.69
2026-04-28T19:54:00Z,50.67,51.89
2026-04-28T19:55:00Z,50.27,49.18
2026-04-28T19:56:00Z,47.47,53.66
2026-04-28T19:57:00Z,50.21,51.92
2026-04-28T19:58:00Z,49.38,50.22
2026-04-28T19:59:00Z,46.44,54.03
2026-04-28T20:00:00Z,45.62,55.00
2026-04-28T20:01:00Z,45.79,54.55
2026-04-28T20:02:00Z,40.31,62.03
2026-04-28T20:03:00Z,18.38,80.65
2026-04-28T20:04:00Z,17.21,80.66
2026-04-28T20:05:00Z,42.40,64.40
2026-04-28T20:06:00Z,37.81,63.52
2026-04-28T20:07:00Z,42.91,58.51
2026-04-28T20:08:00Z,41.01,61.49
2026-04-28T20:09:00Z,43.98,59.20
2026-04-28T20:10:00Z,46.56,51.79
2026-04-28T20:11:00Z,46.44,55.24
2026-04-28T20:12:00Z,42.50,54.68
2026-04-28T20:13:00Z,47.44,53.12
2026-04-28T20:14:00Z,48.97,53.84
2026-04-28T20:15:00Z,44.93,54.87
2026-04-28T20:16:00Z,57.73,45.16
2026-04-28T20:17:00Z,49.17,52.54
2026-04-28T20:18:00Z,41.67,59.67
2026-04-28T20:19:00Z,38.77,61.62
2026-04-28T20:20:00Z,38.00,62.11
2026-04-28T20:21:00Z,38.33,62.23
2026-04-28T20:22:00Z,40.30,59.78
2026-04-28T20:23:00Z,46.01,54.55
2026-04-28T20:24:00Z,44.07,55.49
2026-04-28T20:25:00Z,41.20,60.11
2026-04-28T20:26:00Z,44.60,57.01
2026-04-28T20:27:00Z,54.47,46.98
2026-04-28T20:28:00Z,56.18,42.79
2026-04-28T20:29:00Z,70.68,29.05
2026-04-28T20:30:00Z,71.11,28.88
2026-04-28T20:31:00Z,64.39,35.95
2026-04-28T20:32:00Z,56.39,42.48
2026-04-28T20:33:00Z,53.55,49.67
2026-04-28T20:34:00Z,44.18,54.12
2026-04-28T20:35:00Z,51.99,50.17
2026-04-28T20:36:00Z,49.05,53.09
2026-04-28T20:37:00Z,35.13,64.71
2026-04-28T20:38:00Z,25.14,76.33
2026-04-28T20:39:00Z,17.24,81.45
2026-04-28T20:40:00Z,22.22,78.88
2026-04-28T20:41:00Z,8.76,90.84
2026-04-28T20:42:00Z,12.92,88.51
