# event_ticker=KXATPCHALLENGERMATCH-26FEB19ZHUSAK
# final_score=4-6 6-1 6-4
# score_resolution=6-4 1-6 4-6
# match_winner=Stefanos Sakellaridis
# fav_player=Beibit Zhukayev
# dog_player=Stefanos Sakellaridis
# kalshi_date=2026-02-19
timestamp,Beibit Zhukayev,Stefanos Sakellaridis
2026-02-19T00:40:00Z,53.00,
2026-02-19T02:09:00Z,53.00,50.00
2026-02-19T02:31:00Z,53.00,50.00
2026-02-19T02:32:00Z,53.00,50.00
2026-02-19T02:36:00Z,53.00,50.00
2026-02-19T03:03:00Z,53.00,50.00
2026-02-19T03:14:00Z,54.00,50.00
2026-02-19T03:21:00Z,54.00,50.00
2026-02-19T03:38:00Z,53.05,50.00
2026-02-19T03:42:00Z,53.05,49.00
2026-02-19T03:45:00Z,54.00,49.00
2026-02-19T03:47:00Z,59.48,49.00
2026-02-19T03:48:00Z,55.00,49.00
2026-02-19T03:52:00Z,55.00,49.00
2026-02-19T03:53:00Z,55.00,49.00
2026-02-19T03:57:00Z,55.00,49.00
2026-02-19T04:00:00Z,55.00,49.00
2026-02-19T04:06:00Z,55.00,49.00
2026-02-19T04:07:00Z,55.00,49.00
2026-02-19T04:13:00Z,55.00,47.00
2026-02-19T04:20:00Z,55.00,47.00
2026-02-19T04:22:00Z,55.00,47.00
2026-02-19T04:23:00Z,55.00,47.00
2026-02-19T04:31:00Z,55.00,47.00
2026-02-19T04:32:00Z,55.00,47.00
2026-02-19T04:36:00Z,55.00,47.00
2026-02-19T04:42:00Z,55.00,47.00
2026-02-19T04:43:00Z,55.00,47.00
2026-02-19T04:45:00Z,55.00,47.00
2026-02-19T04:46:00Z,55.00,47.00
2026-02-19T04:50:00Z,55.00,47.00
2026-02-19T04:51:00Z,55.00,47.00
2026-02-19T04:55:00Z,55.00,47.00
2026-02-19T04:57:00Z,55.00,47.00
2026-02-19T05:01:00Z,55.00,47.00
2026-02-19T05:02:00Z,55.00,47.00
2026-02-19T05:03:00Z,55.00,47.00
2026-02-19T05:04:00Z,55.00,47.00
2026-02-19T05:06:00Z,55.00,47.00
2026-02-19T05:07:00Z,55.00,47.00
2026-02-19T05:11:00Z,55.00,47.00
2026-02-19T05:15:00Z,55.00,47.00
2026-02-19T05:17:00Z,55.00,47.00
2026-02-19T05:18:00Z,55.00,47.00
2026-02-19T05:19:00Z,55.00,47.00
2026-02-19T05:21:00Z,55.00,47.00
2026-02-19T05:22:00Z,55.00,47.00
2026-02-19T05:23:00Z,56.00,47.00
2026-02-19T05:24:00Z,55.05,47.00
2026-02-19T05:28:00Z,56.00,47.00
2026-02-19T05:29:00Z,56.00,47.00
2026-02-19T05:30:00Z,56.00,47.00
2026-02-19T05:32:00Z,55.00,47.00
2026-02-19T05:33:00Z,55.00,47.00
2026-02-19T05:34:00Z,55.00,47.00
2026-02-19T05:35:00Z,55.00,44.61
2026-02-19T05:36:00Z,55.00,44.61
2026-02-19T05:37:00Z,55.00,47.00
2026-02-19T05:38:00Z,55.00,47.00
2026-02-19T05:39:00Z,55.00,46.00
2026-02-19T05:40:00Z,56.00,46.00
2026-02-19T05:42:00Z,56.00,46.00
2026-02-19T05:44:00Z,56.00,46.00
2026-02-19T05:45:00Z,56.00,46.00
2026-02-19T05:46:00Z,56.00,44.66
2026-02-19T05:47:00Z,56.00,47.00
2026-02-19T05:52:00Z,56.00,47.00
2026-02-19T05:54:00Z,56.00,47.00
2026-02-19T05:55:00Z,56.00,47.00
2026-02-19T05:56:00Z,56.00,47.00
