# event_ticker=KXATPCHALLENGERMATCH-26MAR10BOUGEA
# final_score=2-6 7-6(3) 6-4
# score_resolution=2-6 7-6 6-4
# match_winner=Arthur Gea
# fav_player=Arthur Gea
# dog_player=Cesar Bouchelaghem
# kalshi_date=2026-03-10
timestamp,Arthur Gea,Cesar Bouchelaghem
2026-03-10T02:27:00Z,93.00,
2026-03-10T05:47:00Z,93.00,8.00
2026-03-10T06:45:00Z,93.00,9.00
2026-03-10T08:22:00Z,93.00,7.00
2026-03-10T09:19:00Z,93.00,8.00
2026-03-10T10:22:00Z,94.00,8.00
2026-03-10T10:25:00Z,94.00,8.00
2026-03-10T10:29:00Z,94.00,8.00
2026-03-10T10:56:00Z,94.00,7.00
2026-03-10T11:18:00Z,94.00,7.00
2026-03-10T11:21:00Z,94.00,7.00
2026-03-10T11:50:00Z,94.00,7.00
2026-03-10T12:24:00Z,94.00,7.00
2026-03-10T12:25:00Z,94.00,7.00
2026-03-10T12:26:00Z,93.00,7.80
2026-03-10T12:27:00Z,92.00,8.00
2026-03-10T12:28:00Z,91.10,8.59
2026-03-10T12:29:00Z,91.10,6.63
2026-03-10T12:30:00Z,94.00,6.00
2026-03-10T12:31:00Z,93.94,8.56
2026-03-10T12:32:00Z,90.51,9.43
2026-03-10T12:33:00Z,87.60,12.00
2026-03-10T12:34:00Z,87.60,14.00
2026-03-10T12:35:00Z,87.60,20.83
2026-03-10T12:36:00Z,79.00,22.08
2026-03-10T12:37:00Z,79.00,24.91
2026-03-10T12:38:00Z,72.00,28.81
2026-03-10T12:39:00Z,72.60,28.08
2026-03-10T12:40:00Z,75.00,25.00
2026-03-10T12:41:00Z,75.00,26.00
2026-03-10T12:42:00Z,76.00,26.00
2026-03-10T12:43:00Z,76.00,23.17
2026-03-10T12:44:00Z,77.65,24.25
2026-03-10T12:45:00Z,77.65,28.29
2026-03-10T12:46:00Z,72.20,29.97
2026-03-10T12:47:00Z,76.00,28.00
2026-03-10T12:48:00Z,67.00,33.42
2026-03-10T12:49:00Z,66.00,39.05
2026-03-10T12:50:00Z,62.17,43.82
2026-03-10T12:51:00Z,56.62,43.61
2026-03-10T12:52:00Z,54.00,47.00
2026-03-10T12:53:00Z,54.28,46.56
2026-03-10T12:54:00Z,55.51,44.44
2026-03-10T12:55:00Z,56.45,45.72
2026-03-10T12:56:00Z,61.68,41.93
2026-03-10T12:57:00Z,59.43,41.16
2026-03-10T12:58:00Z,59.43,48.55
2026-03-10T12:59:00Z,54.16,46.94
2026-03-10T13:00:00Z,55.00,46.00
2026-03-10T13:01:00Z,55.00,45.99
2026-03-10T13:02:00Z,55.12,45.38
2026-03-10T13:03:00Z,59.37,42.15
2026-03-10T13:04:00Z,63.29,39.06
2026-03-10T13:05:00Z,62.34,39.72
2026-03-10T13:06:00Z,57.12,44.59
2026-03-10T13:07:00Z,57.00,45.52
2026-03-10T13:08:00Z,57.22,47.61
2026-03-10T13:09:00Z,60.24,41.16
2026-03-10T13:10:00Z,53.57,49.31
2026-03-10T13:11:00Z,40.92,61.13
2026-03-10T13:12:00Z,35.29,66.74
2026-03-10T13:13:00Z,35.04,65.92
2026-03-10T13:14:00Z,29.89,71.38
2026-03-10T13:15:00Z,25.40,73.94
2026-03-10T13:16:00Z,27.51,74.18
2026-03-10T13:17:00Z,30.99,72.05
2026-03-10T13:18:00Z,31.00,72.20
2026-03-10T13:19:00Z,31.52,69.96
2026-03-10T13:20:00Z,25.40,75.25
2026-03-10T13:21:00Z,19.07,80.85
2026-03-10T13:22:00Z,14.52,82.05
2026-03-10T13:23:00Z,14.58,85.43
2026-03-10T13:24:00Z,16.26,83.33
2026-03-10T13:25:00Z,21.88,79.10
2026-03-10T13:26:00Z,21.15,79.92
2026-03-10T13:27:00Z,14.70,89.55
2026-03-10T13:28:00Z,10.01,90.31
2026-03-10T13:29:00Z,10.60,89.43
2026-03-10T13:30:00Z,10.94,88.60
2026-03-10T13:31:00Z,10.10,90.25
2026-03-10T13:32:00Z,11.19,88.00
2026-03-10T13:33:00Z,13.02,88.35
2026-03-10T13:34:00Z,16.03,86.14
2026-03-10T13:35:00Z,20.29,82.91
2026-03-10T13:36:00Z,17.41,84.81
2026-03-10T13:37:00Z,25.12,75.48
2026-03-10T13:38:00Z,27.78,74.46
2026-03-10T13:39:00Z,28.50,73.55
2026-03-10T13:40:00Z,20.06,79.74
2026-03-10T13:41:00Z,44.93,59.49
2026-03-10T13:42:00Z,49.78,54.01
2026-03-10T13:43:00Z,50.70,50.74
2026-03-10T13:44:00Z,27.02,72.15
2026-03-10T13:45:00Z,15.05,85.56
2026-03-10T13:46:00Z,20.99,79.80
2026-03-10T13:47:00Z,18.01,73.35
2026-03-10T13:48:00Z,36.30,56.12
2026-03-10T13:49:00Z,50.60,48.68
2026-03-10T13:50:00Z,54.16,44.65
2026-03-10T13:51:00Z,69.51,31.50
2026-03-10T13:52:00Z,74.54,25.50
2026-03-10T13:53:00Z,73.73,25.15
2026-03-10T13:54:00Z,72.48,30.28
2026-03-10T13:55:00Z,75.82,24.04
2026-03-10T13:56:00Z,75.12,25.37
2026-03-10T13:57:00Z,73.65,25.34
2026-03-10T13:58:00Z,72.43,27.10
2026-03-10T13:59:00Z,73.73,26.11
2026-03-10T14:00:00Z,74.40,28.29
2026-03-10T14:01:00Z,71.45,28.96
2026-03-10T14:02:00Z,70.47,31.94
2026-03-10T14:03:00Z,62.63,34.83
2026-03-10T14:04:00Z,64.33,36.04
2026-03-10T14:05:00Z,54.06,43.99
2026-03-10T14:06:00Z,52.34,47.25
2026-03-10T14:07:00Z,61.23,37.23
2026-03-10T14:08:00Z,62.82,36.60
2026-03-10T14:09:00Z,68.18,33.00
2026-03-10T14:10:00Z,69.68,29.12
2026-03-10T14:11:00Z,78.99,19.98
2026-03-10T14:12:00Z,82.65,17.89
2026-03-10T14:13:00Z,87.80,12.25
2026-03-10T14:14:00Z,87.95,12.53
2026-03-10T14:15:00Z,86.08,13.87
2026-03-10T14:16:00Z,85.06,16.93
2026-03-10T14:17:00Z,90.65,10.68
2026-03-10T14:18:00Z,91.96,8.23
2026-03-10T14:19:00Z,91.99,8.67
2026-03-10T14:20:00Z,94.02,6.12
2026-03-10T14:21:00Z,94.35,5.11
2026-03-10T14:22:00Z,91.69,8.62
2026-03-10T14:23:00Z,88.69,13.00
2026-03-10T14:24:00Z,89.13,10.81
2026-03-10T14:25:00Z,86.27,13.07
2026-03-10T14:26:00Z,86.32,14.93
2026-03-10T14:27:00Z,78.91,16.61
2026-03-10T14:28:00Z,78.42,21.70
2026-03-10T14:29:00Z,90.08,10.74
2026-03-10T14:30:00Z,90.60,11.26
2026-03-10T14:31:00Z,87.71,12.95
2026-03-10T14:32:00Z,88.00,13.05
2026-03-10T14:33:00Z,87.52,13.01
2026-03-10T14:34:00Z,90.20,9.84
2026-03-10T14:35:00Z,93.84,7.51
2026-03-10T14:36:00Z,94.80,5.93
2026-03-10T14:37:00Z,91.58,7.69
2026-03-10T14:38:00Z,91.72,8.07
2026-03-10T14:39:00Z,94.14,6.30
2026-03-10T14:40:00Z,92.43,8.64
2026-03-10T14:41:00Z,98.57,2.58
2026-03-10T14:42:00Z,99.00,2.58
2026-03-10T14:43:00Z,99.00,1.00
2026-03-10T14:44:00Z,99.00,1.00
2026-03-10T14:45:00Z,99.00,1.00
2026-03-10T14:46:00Z,99.00,1.00
2026-03-10T14:47:00Z,99.00,1.00
