# event_ticker=KXATPCHALLENGERMATCH-26MAY12ZHOBLA
# final_score=6-7(4) 7-5 6-0
# score_resolution=6-7 7-5 6-0
# match_winner=Dali Blanch
# fav_player=Dali Blanch
# dog_player=Yi Zhou
# kalshi_date=2026-05-12
timestamp,Yi Zhou,Dali Blanch
2026-05-12T04:32:00Z,,79.00
2026-05-12T05:54:00Z,,79.50
2026-05-12T06:12:00Z,23.00,79.50
2026-05-12T11:45:00Z,23.00,80.00
2026-05-12T12:16:00Z,23.00,80.00
2026-05-12T13:05:00Z,23.00,80.00
2026-05-12T13:11:00Z,23.00,79.00
2026-05-12T13:27:00Z,22.00,79.00
2026-05-12T14:03:00Z,22.00,80.00
2026-05-12T14:12:00Z,22.00,80.00
2026-05-12T14:24:00Z,22.00,80.00
2026-05-12T14:38:00Z,22.00,80.00
2026-05-12T14:41:00Z,22.00,80.00
2026-05-12T14:44:00Z,22.00,80.00
2026-05-12T14:45:00Z,22.00,80.75
2026-05-12T14:46:00Z,22.94,80.00
2026-05-12T14:47:00Z,22.96,80.00
2026-05-12T14:48:00Z,17.57,83.00
2026-05-12T14:49:00Z,18.59,83.00
2026-05-12T14:50:00Z,18.38,81.00
2026-05-12T14:51:00Z,18.73,81.56
2026-05-12T14:52:00Z,20.05,81.56
2026-05-12T14:53:00Z,23.00,78.00
2026-05-12T14:54:00Z,23.00,78.00
2026-05-12T14:55:00Z,23.03,77.97
2026-05-12T14:56:00Z,22.92,78.00
2026-05-12T14:57:00Z,22.48,78.00
2026-05-12T14:58:00Z,22.00,80.00
2026-05-12T14:59:00Z,23.96,76.00
2026-05-12T15:00:00Z,23.96,76.00
2026-05-12T15:01:00Z,26.00,75.00
2026-05-12T15:02:00Z,27.74,72.06
2026-05-12T15:03:00Z,37.90,67.83
2026-05-12T15:04:00Z,42.15,59.37
2026-05-12T15:05:00Z,37.54,63.73
2026-05-12T15:06:00Z,34.53,64.06
2026-05-12T15:07:00Z,29.96,71.00
2026-05-12T15:08:00Z,27.28,73.17
2026-05-12T15:09:00Z,25.35,74.57
2026-05-12T15:10:00Z,24.74,75.00
2026-05-12T15:11:00Z,20.38,80.22
2026-05-12T15:12:00Z,18.61,83.28
2026-05-12T15:13:00Z,19.53,80.38
2026-05-12T15:14:00Z,23.72,76.00
2026-05-12T15:15:00Z,28.00,76.00
2026-05-12T15:16:00Z,30.77,70.25
2026-05-12T15:17:00Z,30.77,75.00
2026-05-12T15:18:00Z,29.63,72.00
2026-05-12T15:19:00Z,34.73,65.28
2026-05-12T15:20:00Z,31.33,68.12
2026-05-12T15:21:00Z,26.20,75.91
2026-05-12T15:22:00Z,28.48,73.50
2026-05-12T15:23:00Z,26.80,74.46
2026-05-12T15:24:00Z,18.64,82.13
2026-05-12T15:25:00Z,12.00,88.00
2026-05-12T15:26:00Z,13.59,87.77
2026-05-12T15:27:00Z,14.04,86.01
2026-05-12T15:28:00Z,12.15,89.55
2026-05-12T15:29:00Z,15.00,83.00
2026-05-12T15:30:00Z,23.96,76.47
2026-05-12T15:31:00Z,23.51,74.38
2026-05-12T15:32:00Z,22.09,81.23
2026-05-12T15:33:00Z,14.15,84.66
2026-05-12T15:34:00Z,12.89,88.00
2026-05-12T15:35:00Z,14.00,86.57
2026-05-12T15:36:00Z,17.48,80.16
2026-05-12T15:37:00Z,24.09,79.00
2026-05-12T15:38:00Z,29.84,67.45
2026-05-12T15:39:00Z,39.52,59.90
2026-05-12T15:40:00Z,46.91,53.88
2026-05-12T15:41:00Z,51.25,50.34
2026-05-12T15:42:00Z,54.02,45.08
2026-05-12T15:43:00Z,50.18,51.76
2026-05-12T15:44:00Z,53.16,47.00
2026-05-12T15:45:00Z,53.62,46.99
2026-05-12T15:46:00Z,53.00,47.00
2026-05-12T15:47:00Z,52.08,48.00
2026-05-12T15:48:00Z,51.37,50.00
2026-05-12T15:49:00Z,50.27,49.39
2026-05-12T15:50:00Z,48.67,51.26
2026-05-12T15:51:00Z,45.52,56.59
2026-05-12T15:52:00Z,41.00,61.00
2026-05-12T15:53:00Z,45.17,55.00
